GEO_ID,B18020F_001E,B18020F_001M,B18020F_002E,B18020F_002M,B18020F_003E,B18020F_003M,B18020F_004E,B18020F_004M,B18020F_005E,B18020F_005M,B18020F_006E,B18020F_006M,B18020F_007E,B18020F_007M,B18020F_008E,B18020F_008M,B18020F_009E,B18020F_009M,B18020F_010E,B18020F_010M,B18020F_011E,B18020F_011M,B18020F_012E,B18020F_012M,B18020F_013E,B18020F_013M,B18020F_014E,B18020F_014M,B18020F_015E,B18020F_015M,B18020F_016E,B18020F_016M,B18020F_017E,B18020F_017M,B18020F_018E,B18020F_018M,B18020F_019E,B18020F_019M,B18020F_020E,B18020F_020M,B18020F_021E,B18020F_021M,B18020F_022E,B18020F_022M,B18020F_023E,B18020F_023M,B18020F_024E,B18020F_024M,B18020F_025E,B18020F_025M,B18020F_026E,B18020F_026M,B18020F_027E,B18020F_027M,B18020F_028E,B18020F_028M,B18020F_029E,B18020F_029M,B18020F_030E,B18020F_030M,B18020F_031E,B18020F_031M,NAME,B18020F_001MA,B18020F_001EA,B18020F_002EA,B18020F_002MA,B18020F_003EA,B18020F_003MA,B18020F_004EA,B18020F_004MA,B18020F_005MA,B18020F_005EA,B18020F_006MA,B18020F_006EA,B18020F_007EA,B18020F_007MA,B18020F_008EA,B18020F_008MA,B18020F_009EA,B18020F_009MA,B18020F_010EA,B18020F_010MA,B18020F_011MA,B18020F_011EA,B18020F_012MA,B18020F_012EA,B18020F_013EA,B18020F_013MA,B18020F_014EA,B18020F_014MA,B18020F_015EA,B18020F_015MA,B18020F_016MA,B18020F_016EA,B18020F_017MA,B18020F_017EA,B18020F_018EA,B18020F_018MA,B18020F_019EA,B18020F_019MA,B18020F_020EA,B18020F_020MA,B18020F_021MA,B18020F_021EA,B18020F_022MA,B18020F_022EA,B18020F_023MA,B18020F_023EA,B18020F_024EA,B18020F_024MA,B18020F_025EA,B18020F_025MA,B18020F_026MA,B18020F_026EA,B18020F_027MA,B18020F_027EA,B18020F_028MA,B18020F_028EA,B18020F_029EA,B18020F_029MA,B18020F_030EA,B18020F_030MA,B18020F_031EA,B18020F_031MA,state
0400000US01,21672,2816,1326,579,426,355,405,351,405,351,0,265,21,46,21,46,0,265,900,420,123,142,58,87,65,120,777,393,187,154,590,367,20346,2778,12422,1980,7907,1553,6517,1435,1390,547,4515,966,3820,849,695,445,7924,1250,4975,1083,2153,664,2822,885,2949,694,2145,662,804,425,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9162,1870,1241,713,303,224,70,113,0,235,70,113,233,209,32,53,201,203,938,605,212,248,66,94,146,231,726,568,611,525,115,192,7921,1618,3913,1148,2022,777,1218,570,804,516,1891,772,1659,792,232,150,4008,1092,1781,801,629,374,1152,697,2227,658,1554,592,673,376,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,401505,12536,42261,3575,21333,2586,7768,1390,3761,1045,4007,990,13565,2046,5234,1259,8331,1627,20928,2257,3597,1145,1197,596,2400,940,17331,2064,6301,1448,11030,1574,359244,11243,186839,7577,101199,5942,77763,5478,23436,2261,85640,4685,77124,4613,8516,1610,172405,6515,94297,4716,51903,3832,42394,3384,78108,3746,51403,3735,26705,2414,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,44116,3909,3164,928,1713,663,550,347,449,322,101,149,1163,589,1037,557,126,127,1451,570,562,308,120,154,442,300,889,495,557,454,332,235,40952,3702,23295,2833,13254,1761,10835,1846,2419,696,10041,1871,9376,1835,665,521,17657,1707,10137,1383,4757,1099,5380,1227,7520,946,4760,1071,2760,810,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4043092,39214,338621,9649,168458,6244,52362,3910,22855,2722,29507,2753,116096,5552,50412,3630,65684,4510,170163,7428,44343,3494,15345,2268,28998,2641,125820,6048,38312,3647,87508,4787,3704471,39124,1914701,21718,1044384,15757,779232,13201,265152,9343,870317,13587,767278,14148,103039,4674,1789770,21961,957011,14276,512284,10585,444727,11851,832759,11437,526385,10008,306374,9226,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,220392,9185,26078,3011,13230,2093,4504,1194,2063,869,2441,806,8726,1799,3713,1268,5013,1109,12848,1963,3084,850,1171,483,1913,735,9764,1727,3652,1201,6112,1264,194314,8361,105374,5711,58135,4300,47544,4018,10591,1993,47239,3320,40081,3198,7158,1337,88940,4721,46509,3404,25871,2655,20638,2103,42431,2841,28883,2373,13548,1956,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,125138,7462,14565,2241,6849,1553,2396,908,1404,654,992,499,4453,1206,1585,666,2868,898,7716,1562,2430,884,1034,630,1396,620,5286,1285,1572,788,3714,989,110573,7355,59251,4760,34891,3598,25556,3372,9335,1686,24360,2579,21206,2697,3154,1109,51322,4033,27966,2497,17382,2192,10584,1827,23356,2346,16771,2193,6585,1403,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14226,2658,1690,853,1028,668,128,162,128,162,0,261,900,609,285,279,615,453,662,522,385,382,171,275,214,275,277,237,132,161,145,181,12536,2335,6956,1543,4052,1086,3250,982,802,463,2904,947,2753,908,151,180,5580,1149,3506,1037,2124,870,1382,555,2074,671,1472,650,602,378,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20938,2592,1681,768,778,485,127,206,80,132,47,78,651,440,383,279,268,330,903,576,182,182,63,106,119,145,721,555,325,331,396,481,19257,2624,11195,1673,5733,1354,4441,1369,1292,594,5462,902,4546,867,916,617,8062,1416,3950,1117,2566,971,1384,706,4112,844,3414,948,698,388,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,529718,17121,52480,5452,25830,3319,8327,1858,4961,1413,3366,1050,17503,2366,8821,1716,8682,1545,26650,3024,6688,1533,3079,1060,3609,1072,19962,2291,5667,1114,14295,2048,477238,15865,255150,9110,140059,6246,113738,6363,26321,3419,115091,5915,102905,5456,12186,2195,222088,8989,113034,5502,67134,4791,45900,3945,109054,6161,77744,5121,31310,3188,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
