GEO_ID,B21001H_001E,B21001H_001M,B21001H_002E,B21001H_002M,B21001H_003E,B21001H_003M,B21001H_004E,B21001H_004M,B21001H_005E,B21001H_005M,B21001H_006E,B21001H_006M,B21001H_007E,B21001H_007M,B21001H_008E,B21001H_008M,B21001H_009E,B21001H_009M,B21001H_010E,B21001H_010M,B21001H_011E,B21001H_011M,B21001H_012E,B21001H_012M,B21001H_013E,B21001H_013M,B21001H_014E,B21001H_014M,B21001H_015E,B21001H_015M,B21001H_016E,B21001H_016M,B21001H_017E,B21001H_017M,B21001H_018E,B21001H_018M,B21001H_019E,B21001H_019M,B21001H_020E,B21001H_020M,B21001H_021E,B21001H_021M,B21001H_022E,B21001H_022M,B21001H_023E,B21001H_023M,B21001H_024E,B21001H_024M,B21001H_025E,B21001H_025M,B21001H_026E,B21001H_026M,B21001H_027E,B21001H_027M,B21001H_028E,B21001H_028M,B21001H_029E,B21001H_029M,B21001H_030E,B21001H_030M,B21001H_031E,B21001H_031M,B21001H_032E,B21001H_032M,B21001H_033E,B21001H_033M,NAME,B21001H_001MA,B21001H_001EA,B21001H_002EA,B21001H_002MA,B21001H_003MA,B21001H_003EA,B21001H_004MA,B21001H_004EA,B21001H_005MA,B21001H_005EA,B21001H_006MA,B21001H_006EA,B21001H_007EA,B21001H_007MA,B21001H_008EA,B21001H_008MA,B21001H_009EA,B21001H_009MA,B21001H_010MA,B21001H_010EA,B21001H_011MA,B21001H_011EA,B21001H_012EA,B21001H_012MA,B21001H_013EA,B21001H_013MA,B21001H_014EA,B21001H_014MA,B21001H_015MA,B21001H_015EA,B21001H_016MA,B21001H_016EA,B21001H_017EA,B21001H_017MA,B21001H_018EA,B21001H_018MA,B21001H_019EA,B21001H_019MA,B21001H_020EA,B21001H_020MA,B21001H_021MA,B21001H_021EA,B21001H_022MA,B21001H_022EA,B21001H_023EA,B21001H_023MA,B21001H_024EA,B21001H_024MA,B21001H_025EA,B21001H_025MA,B21001H_026MA,B21001H_026EA,B21001H_027MA,B21001H_027EA,B21001H_028MA,B21001H_028EA,B21001H_029EA,B21001H_029MA,B21001H_030EA,B21001H_030MA,B21001H_031EA,B21001H_031MA,B21001H_032MA,B21001H_032EA,B21001H_033MA,B21001H_033EA,state
0400000US01,2471530,1625,1188123,1300,333153,1330,19899,2448,313254,2763,458443,1379,75364,4165,383079,4470,191624,385,81511,3158,110113,3129,120296,672,65736,2339,54560,2369,84607,674,62036,1709,22571,1623,1283407,720,329771,869,3459,1049,326312,1270,462912,943,7833,1402,455079,1802,204782,394,1976,536,202806,625,140820,407,2055,593,138765,767,145122,490,2821,741,142301,869,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,332038,1515,170614,1387,52259,1232,4495,1289,47764,1644,74124,682,19262,1797,54862,1834,28399,285,16119,1044,12280,1080,10166,160,6313,643,3853,648,5666,245,4390,358,1276,353,161424,593,49936,626,1319,556,48617,803,70947,655,3106,791,67841,972,23883,57,656,363,23227,376,9185,139,172,178,9013,226,7473,128,243,171,7230,222,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2925256,2587,1420584,2179,377561,2158,27226,2624,350335,3580,518712,1057,94157,5178,424555,5137,229181,341,104233,3501,124948,3562,153306,362,92638,2509,60668,2545,141824,469,111835,2883,29989,2800,1504672,1043,366935,925,5167,1237,361768,1611,524310,603,13322,1830,510988,2026,247918,305,3957,770,243961,851,173310,430,3431,912,169879,1047,192199,519,6032,1340,186167,1429,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1665934,1512,802355,1303,228566,1216,13461,1671,215105,1827,297973,1033,48856,3331,249117,3455,129687,410,55988,2435,73699,2418,83276,405,44543,1730,38733,1627,62853,400,45665,1484,17188,1470,863579,548,224964,898,2239,884,222725,1188,302781,827,5604,1090,297177,1265,138769,74,2156,693,136613,698,95706,78,1108,528,94598,540,101359,30,1595,424,99764,426,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12560974,9217,6133351,5934,1581999,5071,92718,5660,1489281,7108,2478754,2738,303968,8321,2174786,8194,989859,927,384330,7275,605529,7369,567578,647,292722,5248,274856,5102,515161,493,362689,4485,152472,4483,6427623,5211,1543345,3409,14094,2283,1529251,4238,2424404,2500,37786,3144,2386618,4390,1021690,1004,12479,1707,1009211,2023,638587,832,9835,1322,628752,1460,799597,674,24301,1900,775296,2063,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2658423,2692,1304220,2166,386104,1816,24204,2800,361900,3375,541664,1573,93184,4672,448480,4767,200922,261,88547,2720,112375,2778,101173,383,57923,2183,43250,2156,74357,243,55367,1504,18990,1504,1354203,1598,373846,1315,5524,1208,368322,1657,546239,1204,12983,1548,533256,1676,205492,416,3376,810,202116,931,111487,691,1894,589,109593,905,117139,594,3378,804,113761,954,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2060529,3070,980845,1827,235217,1033,8875,1805,226342,2178,415020,995,39966,2736,375054,3153,158855,326,61740,2960,97115,2910,88567,361,46650,2356,41917,2378,83186,269,59516,1930,23670,1930,1079684,1556,235690,959,1924,692,233766,1375,428709,548,6145,1084,422564,1108,170265,495,1370,593,168895,771,103922,269,1163,459,102759,459,141098,288,3024,603,138074,648,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,465542,1025,221470,964,58323,559,3443,851,54880,977,85665,674,13714,1657,71951,1873,36149,261,15682,1275,20467,1275,22710,261,12676,1066,10034,1066,18623,261,14100,699,4523,699,244072,250,61694,162,440,266,61254,281,88197,195,1961,618,86236,668,39137,261,265,235,38872,235,26495,20,635,307,25860,306,28549,261,758,404,27791,404,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,161322,2236,78142,1758,31721,1697,2941,1349,28780,2887,26997,417,2277,907,24720,976,9922,106,2901,661,7021,658,5364,292,2830,528,2534,528,4138,292,3261,338,877,338,83180,677,39528,621,111,129,39417,632,22359,295,569,438,21790,472,10383,292,0,292,10383,292,4944,292,120,145,4824,145,5966,292,151,179,5815,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8983109,6209,4322310,5182,996452,3837,73534,5241,922918,5214,1555628,3570,264632,7616,1290996,7461,712821,819,323170,7333,389651,7267,509646,642,297372,5007,212274,4991,547763,364,408522,5410,139241,5387,4660799,3335,981706,2744,13674,2055,968032,3333,1564224,3044,40255,3467,1523969,4707,766551,666,14056,1894,752495,1993,587331,378,9190,1230,578141,1283,760987,371,21879,1936,739108,1960,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
