GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001EA,C08105G_001MA,C08105G_002MA,C08105G_002EA,C08105G_003MA,C08105G_003EA,C08105G_004MA,C08105G_004EA,C08105G_005MA,C08105G_005EA,C08105G_006EA,C08105G_006MA,state
0400000US01,14166,1659,11536,1607,1790,678,408,261,35,61,397,198,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,16089,2219,11485,2108,1659,629,304,274,2283,752,358,284,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,44708,3456,32093,3025,7356,1768,801,351,3243,955,1215,543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10922,1453,8065,1262,2169,833,0,257,553,292,135,127,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,388483,12656,280707,10756,50618,4023,17238,2475,22945,3106,16975,2172,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40006,3572,28940,3128,5304,1269,1139,501,2986,1040,1637,678,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,19033,2759,14739,2378,1518,664,1273,553,1107,561,396,226,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,3421,933,1413,593,323,272,1262,512,423,364,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,112303,6424,82376,5421,17914,3145,3152,1156,4392,1254,4469,1122,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,33923,2875,24081,2320,3615,1056,1665,723,1550,651,3012,1081,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,109097,6188,74841,5623,19066,2602,4979,1348,6630,1271,3581,1006,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8852,1277,6526,958,1032,483,22,41,685,390,587,341,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,61777,4773,42790,3703,5953,1203,6296,1574,3916,1203,2822,855,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27857,2681,22198,2338,3047,868,253,199,1250,552,1109,501,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11153,1752,7936,1301,1704,642,353,321,794,399,366,293,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20151,2125,16026,1926,2129,655,0,237,1150,543,846,390,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,13213,1977,9326,1724,2163,671,439,572,891,409,394,342,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
