GEO_ID,B16002_001E,B16002_001M,B16002_002E,B16002_002M,B16002_003E,B16002_003M,B16002_004E,B16002_004M,B16002_005E,B16002_005M,B16002_006E,B16002_006M,B16002_007E,B16002_007M,B16002_008E,B16002_008M,B16002_009E,B16002_009M,B16002_010E,B16002_010M,B16002_011E,B16002_011M,B16002_012E,B16002_012M,B16002_013E,B16002_013M,B16002_014E,B16002_014M,NAME,B16002_001MA,B16002_001EA,B16002_002EA,B16002_002MA,B16002_003EA,B16002_003MA,B16002_004MA,B16002_004EA,B16002_005MA,B16002_005EA,B16002_006MA,B16002_006EA,B16002_007EA,B16002_007MA,B16002_008MA,B16002_008EA,B16002_009MA,B16002_009EA,B16002_010MA,B16002_010EA,B16002_011MA,B16002_011EA,B16002_012MA,B16002_012EA,B16002_013MA,B16002_013EA,B16002_014EA,B16002_014MA,state
0400000US01,1796058,10547,1704342,10329,51781,3382,12561,1300,39220,3529,21184,1837,2256,644,18928,1853,14129,1747,3695,870,10434,1487,4622,1194,390,366,4232,1160,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,188221,2867,10040,1500,1938,641,8102,1502,7250,1137,400,217,6850,1121,11416,1177,2516,790,8900,1157,12951,1241,1571,584,11380,1151,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1621190,10738,445436,8125,131013,5457,314423,7496,63729,3747,8280,1305,55449,3337,40771,2835,9782,1639,30989,2529,53866,2783,5076,1213,48790,2896,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,1028888,7179,50865,2619,14706,1786,36159,2678,11813,1840,628,348,11185,1786,8803,1347,2019,596,6784,1339,3059,1196,355,411,2704,999,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7226001,22903,2981053,18205,844189,14636,2136864,19826,690481,13598,121369,6059,569112,11566,1134336,11298,325386,8737,808950,9872,119356,6030,18649,2226,100707,5276,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1508723,9581,225146,6564,63746,4361,161400,6183,63311,3697,7542,1332,55769,3215,37319,2514,10305,1814,27014,2359,12489,1621,3090,832,9399,1456,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,1027398,8102,128147,3839,32565,2095,95582,4160,133239,5730,25032,2441,108207,5002,26475,1701,6950,1166,19525,1927,10184,1618,1172,641,9012,1470,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,276066,3855,21521,1695,6040,1191,15481,1591,13445,1622,1339,560,12106,1555,5531,943,1176,379,4355,877,3547,1034,237,214,3310,1054,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,206710,3645,19427,1770,4525,1132,14902,1872,14967,1997,1096,592,13871,1907,4800,926,1134,484,3666,933,4552,1014,642,450,3910,912,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,5271340,19857,1278062,12642,395830,10162,882232,14047,411471,9736,79759,5304,331712,8740,99851,4391,20389,1865,79462,3856,45318,3414,5940,1462,39378,3407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3376763,13781,2967273,13906,226628,5717,76787,3760,149841,5289,94348,4315,11016,1811,83332,4139,62692,3259,16665,1908,46027,2881,25822,2763,2736,1035,23086,2594,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,432632,4384,301607,4929,9204,1210,633,269,8571,1232,10244,1502,291,211,9953,1484,111019,4242,25922,2772,85097,3956,558,398,0,267,558,398,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,548555,3560,483831,4769,44558,2157,10673,1605,33885,2266,11710,1474,1482,602,10228,1302,5613,1097,650,280,4963,1062,2843,834,106,96,2737,832,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
