GEO_ID,B08103_001E,B08103_001M,B08103_002E,B08103_002M,B08103_003E,B08103_003M,B08103_004E,B08103_004M,B08103_005E,B08103_005M,B08103_006E,B08103_006M,B08103_007E,B08103_007M,NAME,B08103_001EA,B08103_001MA,B08103_002EA,B08103_002MA,B08103_003MA,B08103_003EA,B08103_004MA,B08103_004EA,B08103_005MA,B08103_005EA,B08103_006MA,B08103_006EA,B08103_007EA,B08103_007MA,state
0400000US01,41.3,0.2,41.6,0.2,38.0,0.9,36.4,3.4,39.1,3.6,41.4,2.9,47.1,1.2,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41.3,0.5,42.2,0.6,36.4,2.2,40.7,6.8,38.7,2.2,42.2,3.0,44.4,2.4,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,39.3,0.2,40.2,0.3,34.7,0.7,34.1,2.7,32.2,2.1,35.0,1.5,45.4,0.9,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41.0,0.3,41.5,0.3,36.8,0.8,40.3,6.3,41.2,3.9,40.2,2.3,47.6,1.7,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,40.0,0.1,40.6,0.2,36.5,0.3,37.3,0.5,33.9,0.8,36.3,0.6,45.8,0.3,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,40.5,0.2,41.1,0.3,36.2,0.6,37.2,1.7,33.4,1.2,38.0,1.6,46.0,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,42.8,0.2,43.3,0.2,38.6,1.1,42.5,1.4,31.0,2.1,36.1,2.0,48.0,1.0,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41.2,0.4,41.6,0.5,36.1,1.7,41.3,2.7,34.1,4.3,39.8,12.7,48.7,3.3,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,38.4,0.7,41.8,1.5,38.6,4.1,36.0,0.9,31.6,1.1,37.7,1.9,42.7,3.8,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41.6,0.1,42.1,0.1,37.4,0.5,39.2,1.6,36.2,1.7,37.6,0.8,46.9,0.6,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,40.1,0.2,40.6,0.2,36.5,0.6,40.6,1.2,32.2,2.6,35.1,1.7,43.2,0.7,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,40.9,0.3,41.3,0.5,40.1,1.0,42.3,2.6,30.5,1.9,36.9,2.1,48.2,2.5,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39.8,0.3,40.1,0.4,36.5,0.9,42.1,7.5,34.1,4.1,39.7,2.7,48.7,1.9,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,41.0,0.2,41.5,0.2,38.2,0.5,38.6,0.5,34.2,1.5,38.4,1.7,45.7,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41.3,0.2,41.8,0.2,37.6,0.7,37.8,2.3,36.2,2.0,37.7,2.0,44.8,0.9,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,41.9,0.2,42.3,0.2,38.0,0.9,34.3,3.2,34.2,3.1,39.2,2.6,47.5,1.0,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,41.6,0.2,41.9,0.3,38.6,0.8,37.1,6.3,37.2,2.7,39.8,2.9,46.6,1.3,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,40.8,0.2,41.2,0.3,37.3,0.8,40.7,2.0,32.0,3.0,38.4,1.7,46.0,1.4,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,40.9,0.3,41.4,0.3,36.7,1.1,39.5,2.8,37.9,2.3,37.8,2.5,48.4,1.5,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,43.3,0.2,43.9,0.3,38.3,1.3,39.0,4.3,35.5,4.2,38.9,1.5,48.1,1.5,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,41.8,0.2,42.4,0.2,38.2,0.7,40.0,0.6,31.8,2.1,38.3,1.5,46.5,0.9,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,42.0,0.2,43.2,0.2,38.8,1.0,35.8,0.6,31.5,0.8,37.4,1.3,46.3,0.7,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,41.4,0.2,41.8,0.2,38.2,0.5,37.5,1.6,33.4,1.8,39.0,1.3,46.5,0.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41.4,0.1,41.8,0.2,37.5,0.6,38.4,1.1,34.9,1.8,36.5,1.5,46.6,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,41.1,0.3,41.5,0.3,37.7,0.9,38.0,8.5,37.3,3.2,37.2,2.4,45.6,2.0,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,41.3,0.2,41.6,0.3,37.8,0.6,42.1,1.9,35.4,1.2,39.3,2.0,45.6,0.8,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,43.0,0.3,43.5,0.4,40.1,1.4,45.5,4.6,35.7,3.6,35.4,2.5,47.1,2.4,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
