GEO_ID,C18024_001E,C18024_001M,C18024_002E,C18024_002M,C18024_003E,C18024_003M,C18024_004E,C18024_004M,C18024_005E,C18024_005M,C18024_006E,C18024_006M,C18024_007E,C18024_007M,C18024_008E,C18024_008M,C18024_009E,C18024_009M,C18024_010E,C18024_010M,C18024_011E,C18024_011M,C18024_012E,C18024_012M,C18024_013E,C18024_013M,C18024_014E,C18024_014M,C18024_015E,C18024_015M,NAME,C18024_001MA,C18024_001EA,C18024_002EA,C18024_002MA,C18024_003EA,C18024_003MA,C18024_004EA,C18024_004MA,C18024_005MA,C18024_005EA,C18024_006MA,C18024_006EA,C18024_007MA,C18024_007EA,C18024_008MA,C18024_008EA,C18024_009EA,C18024_009MA,C18024_010EA,C18024_010MA,C18024_011MA,C18024_011EA,C18024_012MA,C18024_012EA,C18024_013EA,C18024_013MA,C18024_014EA,C18024_014MA,C18024_015EA,C18024_015MA,state
0400000US20,1756190,3397,33351,2593,16393,2077,3669,1050,12724,1628,16958,1509,3692,827,13266,1304,1722839,4145,859782,3636,702364,5742,157418,4595,863057,2747,620947,6704,242110,5947,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2736210,4684,89672,4700,40162,3287,5063,1265,35099,2967,49510,3091,5422,1262,44088,3043,2646538,6764,1302484,5135,953733,9226,348751,9067,1344054,4865,843957,9370,500097,8101,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2732075,5364,81926,4044,41660,3030,5949,1255,35711,2975,40266,2999,5540,1102,34726,2727,2650149,6763,1272953,5043,931299,8288,341654,7101,1377196,4821,841754,10090,535442,9311,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,874798,2300,20817,2330,9421,1547,2097,772,7324,1269,11396,1715,1949,650,9447,1533,853981,3168,420014,2379,329431,3892,90583,3472,433967,2328,304066,4492,129901,3980,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3701954,4420,65062,4447,28600,3126,4644,996,23956,2969,36462,2900,7757,1280,28705,2660,3636892,6417,1746266,5137,1399633,9510,346633,9289,1890626,4247,1352122,9360,538504,9232,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4268589,3903,76847,5202,36907,3557,6936,1565,29971,3002,39940,2976,7745,1620,32195,2428,4191742,6306,2048536,4777,1607627,10418,440909,9376,2143206,4327,1523054,10255,620152,9954,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6583481,5392,171242,7141,75696,3801,11545,1432,64151,3321,95546,4817,15087,1698,80459,4191,6412239,8184,3178710,5065,2313663,12508,865047,12665,3233529,6281,2094673,11767,1138856,12057,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3404922,3624,53581,3009,26752,2084,9678,1251,17074,1463,26829,2188,7759,1091,19070,2048,3351341,4539,1683917,3280,1371639,7250,312278,7014,1667424,3639,1250519,8835,416905,8776,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1833556,4030,74542,5317,32956,3237,4738,1263,28218,3073,41586,3396,6786,1311,34800,3055,1759014,6897,847257,5612,599031,8039,248226,8238,911757,4376,548918,8055,362839,8218,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3744132,4536,98198,5482,44975,3307,6668,1262,38307,3116,53223,3775,6855,1248,46368,3233,3645934,6870,1790899,5457,1396867,9688,394032,9145,1855035,5226,1278982,10299,576053,9003,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
