GEO_ID,C18032_001E,C18032_001M,C18032_002E,C18032_002M,C18032_003E,C18032_003M,C18032_004E,C18032_004M,C18032_005E,C18032_005M,C18032_006E,C18032_006M,C18032_007E,C18032_007M,C18032_008E,C18032_008M,C18032_009E,C18032_009M,C18032_010E,C18032_010M,C18032_011E,C18032_011M,C18032_012E,C18032_012M,C18032_013E,C18032_013M,C18032_014E,C18032_014M,C18032_015E,C18032_015M,NAME,C18032_001EA,C18032_001MA,C18032_002MA,C18032_002EA,C18032_003EA,C18032_003MA,C18032_004EA,C18032_004MA,C18032_005EA,C18032_005MA,C18032_006EA,C18032_006MA,C18032_007EA,C18032_007MA,C18032_008EA,C18032_008MA,C18032_009EA,C18032_009MA,C18032_010MA,C18032_010EA,C18032_011EA,C18032_011MA,C18032_012EA,C18032_012MA,C18032_013EA,C18032_013MA,C18032_014EA,C18032_014MA,C18032_015MA,C18032_015EA,state
0400000US01,4183331,3707,555834,10282,237008,7190,50981,4014,186027,6560,318826,7565,86675,4774,232151,6011,3627497,11011,1770111,8591,220205,8953,1549906,12850,1857386,8312,308639,9237,1548747,12834,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,597192,1823,53868,3569,24461,2130,4287,1429,20174,1905,29407,2997,5815,1642,23592,2551,543324,4060,277613,3190,24854,2583,252759,4054,265711,3353,28208,3827,237503,5186,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5569950,11682,512353,10567,222099,6724,39083,3555,183016,5581,290254,8067,58792,4557,231462,7306,5057597,14874,2541495,10104,298891,12430,2242604,12728,2516102,8555,354252,13763,2161850,14859,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2532591,3010,369979,9006,162560,5368,33848,2572,128712,5170,207419,6279,54856,3878,152563,5361,2162612,9633,1065014,6988,138353,7502,926661,9375,1097598,6114,187908,7625,909690,10808,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,32969824,8313,2650840,23749,1117205,15342,184156,6867,933049,13845,1533635,16245,267489,7788,1266146,14800,30318984,24082,15206423,16857,1705895,34267,13500528,34518,15112561,18242,2027607,34790,13084954,41027,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4303770,3083,322588,7712,143286,5444,24664,2543,118622,4972,179302,5704,35274,3175,144028,5077,3981182,8629,2001967,6822,199308,8621,1802659,10891,1979215,7058,235688,9899,1743527,11048,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3188109,2308,253098,7552,104975,4698,15116,2013,89859,4085,148123,4845,25564,2540,122559,4227,2935011,7795,1436542,4930,90883,5551,1345659,7473,1498469,5698,123666,6738,1374803,8408,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,769423,1264,77406,4270,34569,2590,5440,1343,29129,2345,42837,2940,7155,1365,35682,2982,692017,4319,336657,2914,29324,3750,307333,5092,355360,3143,40610,4091,314750,5054,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,515199,1044,44198,2838,15602,1754,4616,1038,10986,1534,28596,2153,9425,1528,19171,1819,471001,3087,221803,2729,37108,3271,184695,4010,249198,3170,47465,4477,201733,5300,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16546347,6783,1738157,20084,750401,14338,133822,6139,616579,13164,987756,13462,205988,7245,781768,12458,14808190,20901,7274208,17693,712287,20432,6561921,21812,7533982,15376,950497,21670,6583485,26308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
