GEO_ID,C18035_001E,C18035_001M,C18035_002E,C18035_002M,C18035_003E,C18035_003M,C18035_004E,C18035_004M,C18035_005E,C18035_005M,C18035_006E,C18035_006M,C18035_007E,C18035_007M,C18035_008E,C18035_008M,C18035_009E,C18035_009M,C18035_010E,C18035_010M,C18035_011E,C18035_011M,C18035_012E,C18035_012M,C18035_013E,C18035_013M,C18035_014E,C18035_014M,C18035_015E,C18035_015M,NAME,C18035_001MA,C18035_001EA,C18035_002MA,C18035_002EA,C18035_003EA,C18035_003MA,C18035_004MA,C18035_004EA,C18035_005EA,C18035_005MA,C18035_006EA,C18035_006MA,C18035_007MA,C18035_007EA,C18035_008EA,C18035_008MA,C18035_009MA,C18035_009EA,C18035_010EA,C18035_010MA,C18035_011EA,C18035_011MA,C18035_012MA,C18035_012EA,C18035_013EA,C18035_013MA,C18035_014EA,C18035_014MA,C18035_015EA,C18035_015MA,state
0400000US01,3502035,4165,259197,7146,97256,4484,23635,2618,73621,3448,161941,5153,44979,3348,116962,4828,3242838,7904,1556419,6461,170969,7203,1385450,8790,1686419,5464,274300,7985,1412119,8640,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,490456,1936,19267,1961,7035,1132,968,442,6067,1052,12232,1704,2738,953,9494,1423,471189,2849,238545,2220,18900,2209,219645,2904,232644,2455,23960,2709,208684,3851,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4619138,12186,234169,7849,89907,4705,17048,2273,72859,4449,144262,6334,28788,3018,115474,5785,4384969,14145,2186252,9264,233337,9796,1952915,10331,2198717,8138,297285,10256,1901432,11753,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2125581,3947,158678,6153,63454,3741,13998,1572,49456,3231,95224,4337,25950,2558,69274,3344,1966903,7744,955359,6020,110738,5744,844621,6861,1011544,5452,170219,6985,841325,8648,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27301585,10839,1397304,19125,525783,11100,103411,5789,422372,9116,871521,13848,162742,6736,708779,12676,25904281,20479,12899240,14104,1262699,26631,11636541,30085,13005041,15616,1635195,27815,11369846,29560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3613380,4295,145353,6266,57704,3984,14400,1946,43304,3240,87649,4807,18473,2117,69176,3976,3468027,7842,1734813,5410,156165,6456,1578648,8051,1733214,5942,202609,7975,1530605,9071,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2681461,3385,127353,4940,45960,3041,8148,1585,37812,2616,81393,4027,14532,2077,66861,3118,2554108,5671,1236997,4411,70803,4722,1166194,6656,1317111,4529,108098,5161,1209013,6823,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,648525,1628,34162,3154,13710,1795,2788,1032,10922,1413,20452,2299,3622,1006,16830,1907,614363,3639,295973,2506,21315,2800,274658,3712,318390,2709,35385,3248,283005,4104,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,449340,1357,21601,2046,8022,1220,2824,806,5198,1047,13579,1624,4024,863,9555,1528,427739,2816,195592,2564,26715,2832,168877,3315,232147,2926,41252,3812,190895,4601,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14170318,8522,826972,14506,307102,8438,67527,4404,239575,6777,519870,11013,117416,6312,402454,10113,13343346,17226,6507229,12103,574639,14829,5932590,17493,6836117,12726,851004,18554,5985113,22109,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
