GEO_ID,C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,NAME,C17019_001MA,C17019_001EA,C17019_002EA,C17019_002MA,C17019_003MA,C17019_003EA,C17019_004MA,C17019_004EA,C17019_005MA,C17019_005EA,C17019_006MA,C17019_006EA,C17019_007EA,C17019_007MA,state
0400000US01,1222858,13632,153968,6153,68316,3858,85652,4877,1068890,11900,887669,11369,181221,6387,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,12892,1711,5738,1119,7154,1207,145047,3941,106130,2914,38917,2509,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,148379,6609,59963,3862,88416,5271,1327890,11552,1042657,12897,285233,8914,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,98994,5334,36966,2942,62028,4443,659201,9520,524749,8323,134452,5779,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,808722,15542,205249,7481,603473,12738,7495071,27100,5187195,22964,2307876,24665,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,100852,5718,33837,2488,67015,4706,1095371,10184,890423,9151,204948,7240,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,52378,3369,12154,1682,40224,2705,841970,8324,683967,8533,158003,5669,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,16254,2392,6114,1185,10140,1974,197311,4638,164626,3797,32685,3452,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,17690,2103,2466,780,15224,1828,91069,3784,58294,2735,32775,2987,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,417106,11793,172341,8088,244765,8796,4215868,21877,3343261,19993,872607,15087,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2296694,17833,254447,8999,89786,4576,164661,7544,2042247,16550,1614233,16301,428014,11748,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301102,5471,21376,2564,5271,1110,16105,2284,279726,5264,190821,4389,88905,3558,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,382686,5514,35602,2629,15012,1987,20590,1874,347084,5517,281707,5062,65377,4061,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3146342,17216,285732,8528,90988,4913,194744,6930,2860610,18614,2352214,16115,508396,10651,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1645031,12308,148710,6770,49879,3497,98831,5902,1496321,12215,1262561,12323,233760,8437,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796970,7397,58184,3653,21912,1947,36272,2855,738786,7218,634564,7331,104222,4144,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,724553,7620,62329,3366,21971,1909,40358,2859,662224,8195,545791,6919,116433,4675,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1106404,10897,144528,5686,60251,3747,84277,5488,961876,11068,798304,9276,163572,6244,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1072568,11225,154976,6335,61085,4418,93891,5534,917592,11016,742248,10033,175344,6837,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
