GEO_ID,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M,NAME,B02001_001MA,B02001_001EA,B02001_002MA,B02001_002EA,B02001_003MA,B02001_003EA,B02001_004EA,B02001_004MA,B02001_005EA,B02001_005MA,B02001_006MA,B02001_006EA,B02001_007MA,B02001_007EA,B02001_008MA,B02001_008EA,B02001_009EA,B02001_009MA,B02001_010EA,B02001_010MA,state
0400000US01,4599030,0,3237958,4503,1209321,4826,20592,2441,45882,3284,3244,1920,34990,4307,47043,4036,3992,1303,43051,3699,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,670053,0,460170,2621,21476,2347,88026,2936,30151,1962,3753,753,11968,2391,54509,4888,2976,1217,51533,4733,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6166318,0,4741310,21386,207837,5456,277732,6563,144858,3149,10960,1605,633350,18921,150271,10832,51759,5185,98512,8244,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2810872,0,2208224,5887,437680,4670,22787,2426,28168,2264,2045,440,68264,5663,43704,4292,5452,1384,38252,3873,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36457549,0,21810156,62036,2260648,14374,265963,10150,4483252,16220,129483,4369,6296602,59882,1211445,26548,401601,15925,809844,20684,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4753377,0,3934971,14748,177902,4693,41161,3427,133079,3599,3745,557,337442,13603,125077,7048,33146,4162,91931,6389,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3504809,0,2800344,9041,332711,4745,7319,1417,117054,2323,1005,570,183188,9941,63188,5676,18836,3351,44352,4183,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,853476,0,615638,3832,176845,1971,2581,650,24413,1224,154,182,21555,3839,12290,2043,1531,636,10759,1914,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581530,0,200395,3340,322105,2958,1903,430,19827,454,203,206,28127,3566,8970,2349,1662,808,7308,2213,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18089889,0,13767248,25188,2778549,13414,54150,4931,393427,4935,9125,2086,770503,24337,316887,13353,102476,8878,214411,10549,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9363941,0,5816513,13245,2794300,9565,19771,2971,254899,4190,4229,1977,356334,13864,117895,9171,24963,4874,92932,7454,Georgia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1285498,0,337507,2426,28062,2260,4153,950,512995,10350,111488,4031,14513,2251,276780,11664,8460,1884,268320,11747,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1466465,0,1357129,5032,6842,1148,16250,2087,15335,1451,2021,851,37435,4674,31453,2359,4236,1198,27217,2069,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
