GEO_ID,C08406_001E,C08406_001M,C08406_002E,C08406_002M,C08406_003E,C08406_003M,C08406_004E,C08406_004M,C08406_005E,C08406_005M,C08406_006E,C08406_006M,C08406_007E,C08406_007M,C08406_008E,C08406_008M,C08406_009E,C08406_009M,C08406_010E,C08406_010M,C08406_011E,C08406_011M,C08406_012E,C08406_012M,C08406_013E,C08406_013M,C08406_014E,C08406_014M,C08406_015E,C08406_015M,C08406_016E,C08406_016M,C08406_017E,C08406_017M,C08406_018E,C08406_018M,C08406_019E,C08406_019M,C08406_020E,C08406_020M,C08406_021E,C08406_021M,C08406_022E,C08406_022M,C08406_023E,C08406_023M,C08406_024E,C08406_024M,C08406_025E,C08406_025M,C08406_026E,C08406_026M,C08406_027E,C08406_027M,C08406_028E,C08406_028M,C08406_029E,C08406_029M,C08406_030E,C08406_030M,C08406_031E,C08406_031M,C08406_032E,C08406_032M,C08406_033E,C08406_033M,NAME,C08406_001EA,C08406_001MA,C08406_002EA,C08406_002MA,C08406_003MA,C08406_003EA,C08406_004MA,C08406_004EA,C08406_005MA,C08406_005EA,C08406_006EA,C08406_006MA,C08406_007EA,C08406_007MA,C08406_008EA,C08406_008MA,C08406_009MA,C08406_009EA,C08406_010MA,C08406_010EA,C08406_011EA,C08406_011MA,C08406_012EA,C08406_012MA,C08406_013EA,C08406_013MA,C08406_014MA,C08406_014EA,C08406_015MA,C08406_015EA,C08406_016EA,C08406_016MA,C08406_017EA,C08406_017MA,C08406_018EA,C08406_018MA,C08406_019MA,C08406_019EA,C08406_020MA,C08406_020EA,C08406_021EA,C08406_021MA,C08406_022EA,C08406_022MA,C08406_023EA,C08406_023MA,C08406_024MA,C08406_024EA,C08406_025MA,C08406_025EA,C08406_026EA,C08406_026MA,C08406_027EA,C08406_027MA,C08406_028EA,C08406_028MA,C08406_029MA,C08406_029EA,C08406_030MA,C08406_030EA,C08406_031MA,C08406_031EA,C08406_032MA,C08406_032EA,C08406_033MA,C08406_033EA,state
0400000US46,399314,5017,348518,5367,309483,5957,39035,2730,28860,2503,6246,1139,3929,879,1581,720,16766,1694,6337,1166,26112,2003,212972,3520,181140,3868,160246,4384,20894,2026,15709,1830,3047,795,2138,695,1055,641,9632,1405,4872,1025,16273,1477,186342,3418,167378,3632,149237,3715,18141,1492,13151,1298,3199,763,1791,606,526,353,7134,893,1465,493,9839,1161,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2745278,18441,2572540,19070,2290878,20255,281662,9540,219353,7570,36520,4085,25789,3502,19791,2385,37897,3729,29070,3576,85980,4880,1476055,14000,1381615,14022,1219086,14245,162529,6464,125745,5521,21044,3207,15740,2878,8948,1537,21738,2782,19325,2812,44429,3550,1269223,11901,1190925,11924,1071792,11978,119133,5149,93608,4439,15476,1953,10049,1631,10843,1788,16159,1974,9745,1690,41551,2927,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,10489374,26788,9573602,26282,8246333,34831,1327269,24421,980951,21436,194487,8350,151831,7802,175644,7302,192610,7667,179078,9148,368440,11101,5870518,20935,5354141,22835,4573250,25576,780891,18676,551261,15846,119193,6621,110437,7041,84317,5066,114744,5911,129638,7398,187678,7497,4618856,20745,4219461,20816,3673083,23848,546378,13060,429690,11962,75294,4548,41394,3728,91327,4997,77866,4711,49440,4283,180762,7002,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,1190619,11287,1051229,11033,896456,10644,154773,6808,116095,6136,22854,3383,15824,2287,31099,3464,32676,3271,21057,2021,54558,2916,675238,7012,598462,7313,506239,7550,92223,5360,65486,4100,15780,2888,10957,1752,18404,2505,17724,2068,15296,1649,25352,2438,515381,7941,452767,7925,390217,7425,62550,3779,50609,3685,7074,1701,4867,1029,12695,2169,14952,2070,5761,1126,29206,2076,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,317938,5028,273743,5532,239176,5715,34567,2906,29188,2940,3670,872,1709,587,2416,626,20099,2389,4133,804,17547,1731,167435,3356,145378,3611,126603,3678,18775,2111,16274,1909,1495,568,1006,432,812,384,10257,1623,2859,736,8129,1116,150503,3287,128365,3447,112573,3507,15792,1842,12914,1828,2175,595,703,306,1604,480,9842,1430,1274,494,9418,1164,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,3708749,20489,3316555,21149,2898524,22243,418031,10077,310926,8312,64403,5445,42702,4897,110455,7058,85901,4875,46670,4081,149168,6429,1986961,13990,1769819,13879,1528633,14529,241186,7102,171917,6248,40766,4049,28503,3916,54951,4559,51786,3374,32215,3286,78190,3884,1721788,14579,1546736,14716,1369891,14945,176845,7009,139009,6389,23637,2965,14199,2021,55504,4847,34115,3026,14455,2044,70978,4290,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,2983535,16338,2524519,16692,2173565,18829,350954,12178,277438,10742,41745,4288,31771,3414,154111,7305,97767,4938,53106,4381,154032,5281,1623838,10610,1376494,10891,1179962,11985,196532,7762,154297,6988,22783,3091,19452,2399,76553,4818,54305,3314,41870,3827,74616,3496,1359697,12179,1148025,12113,993603,12406,154422,7529,123141,6533,18962,2380,12319,1785,77558,5162,43462,3293,11236,1574,79416,4040,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,722416,9679,665822,9715,582731,9961,83091,4815,67965,4210,10251,1821,4875,1095,6065,1142,23183,2721,9221,2080,18125,2323,387330,6920,356336,6763,307241,6523,49095,3277,39615,2948,6382,1403,3098,823,3169,814,13136,2041,5987,1618,8702,1298,335086,6535,309486,6511,275490,6664,33996,2976,28350,2598,3869,893,1777,662,2896,979,10047,1576,3234,1159,9423,1617,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2769424,14626,2460132,15291,2209013,14497,251119,8543,200768,7722,31452,2926,18899,2088,52421,3698,99957,4525,46570,2739,110344,4056,1455093,9824,1286939,10150,1150923,10420,136016,5447,109851,4914,16021,2021,10144,1410,24007,2495,50629,3799,33994,2371,59524,2990,1314331,9611,1173193,9539,1058090,9024,115103,4972,90917,4534,15431,1589,8755,1298,28414,2695,49328,2361,12576,1564,50820,2660,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,273007,4646,242001,5080,207130,4763,34871,2917,24451,2553,4923,1074,5497,1040,3634,1134,8212,1484,5245,1230,13915,1929,150413,2753,132392,3346,110803,3493,21589,1803,14507,1584,2766,685,4316,874,2666,890,5109,1200,4349,1127,5897,1189,122594,3224,109609,3144,96327,2942,13282,1857,9944,1631,2157,817,1181,455,968,566,3103,636,896,377,8018,1450,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1163621,14744,1008644,15881,875387,15159,133257,5311,102131,4624,19053,2140,12073,1593,42752,3386,49785,3519,37678,3084,24762,2633,639515,9089,556062,9397,488266,9761,67796,3479,51916,3054,7816,1325,8064,1325,17438,2165,28576,2934,23039,2467,14400,1753,524106,8912,452582,9132,387121,8361,65461,3300,50215,2926,11237,1530,4009,938,25314,2334,21209,1962,14639,1906,10362,1851,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
