GEO_ID,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,NAME,B19049_001MA,B19049_001EA,B19049_002EA,B19049_002MA,B19049_003EA,B19049_003MA,B19049_004MA,B19049_004EA,B19049_005MA,B19049_005EA,state
0400000US01,38783,512,18869,1954,44544,1165,48109,1082,25362,629,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,59393,1442,38106,3801,57852,2353,70844,1843,40577,3671,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,47265,439,29872,1872,51565,741,57995,918,33234,729,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36599,491,20635,1398,42345,937,43821,1126,24788,655,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,56645,236,31137,910,60576,271,70076,537,35583,376,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,52015,491,26518,1380,55569,1029,64756,1125,33213,764,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,63422,824,35274,2589,68537,1754,78880,1531,35408,964,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,52833,1415,32184,5112,58887,2618,62784,2978,32664,2032,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,51847,1221,29762,5466,60856,3355,56328,6076,36691,2560,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,45495,247,26836,892,51372,404,54948,678,31077,352,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,46832,401,24477,1403,50443,528,56891,846,28301,836,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,61160,1162,37673,3810,62967,2807,72154,2421,47361,2245,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42865,877,27183,2102,47485,1469,52079,1351,29846,1234,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,52006,274,25140,824,57497,677,64040,791,30856,436,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,45394,421,23531,1497,50417,595,56666,777,28694,533,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,44491,523,24077,1240,51439,858,55615,896,28544,593,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,45478,506,23244,1393,50098,1111,58902,1067,30240,759,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,39372,535,21715,1418,45439,786,45813,950,23956,642,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,39337,603,20120,1541,44340,1383,47463,1042,25269,777,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,43439,773,26433,2730,49133,1516,52848,1432,25701,1349,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,65144,659,34538,2141,69024,1295,80105,1226,38689,952,Maryland,null,null,null,null,null,null,null,null,null,null,24
