GEO_ID,B20017_001E,B20017_001M,B20017_002E,B20017_002M,B20017_003E,B20017_003M,B20017_004E,B20017_004M,B20017_005E,B20017_005M,B20017_006E,B20017_006M,B20017_007E,B20017_007M,NAME,B20017_001MA,B20017_001EA,B20017_002MA,B20017_002EA,B20017_003EA,B20017_003MA,B20017_004EA,B20017_004MA,B20017_005EA,B20017_005MA,B20017_006MA,B20017_006EA,B20017_007EA,B20017_007MA,state
0400000US01,24357,413,30645,265,39528,1024,10519,356,18854,473,27893,538,8150,317,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30086,921,36026,985,48703,2063,17153,1629,23941,1159,36655,886,11353,624,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27283,245,31457,281,40056,526,12211,350,22781,442,32468,388,10878,220,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22183,231,27326,439,35144,632,10903,369,17861,414,26277,391,8301,346,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29584,212,33868,299,44905,375,14893,236,24079,217,37019,182,11570,97,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29511,439,34675,637,45017,691,14019,752,23439,432,35847,427,11080,226,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34215,609,41416,440,52372,715,12505,695,27519,593,41831,409,12427,294,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30839,515,36314,929,46043,798,11650,710,25766,806,35506,799,10356,819,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36215,978,37676,1878,49544,3053,15096,1935,34961,2001,48586,2160,12329,1522,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26498,144,30886,166,38005,598,12427,202,22258,140,30896,161,10964,115,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,26861,197,31538,214,40646,258,11652,240,22149,249,31637,259,10434,195,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,30218,482,34941,1092,41821,458,16922,964,25911,639,33780,1204,11372,555,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23519,474,29179,744,38278,1345,12066,522,17270,414,28019,1081,8708,507,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29430,268,35770,231,46526,399,11974,200,22932,326,35092,254,10515,157,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,26383,197,32415,204,41991,285,11169,285,20782,235,30537,239,9316,269,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25216,217,30636,303,39753,690,9774,431,20373,264,29824,451,8804,282,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
