GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001EA,C17022_001MA,C17022_002EA,C17022_002MA,C17022_003EA,C17022_003MA,C17022_004EA,C17022_004MA,C17022_005MA,C17022_005EA,C17022_006EA,C17022_006MA,C17022_007EA,C17022_007MA,C17022_008EA,C17022_008MA,C17022_009EA,C17022_009MA,C17022_010MA,C17022_010EA,C17022_011EA,C17022_011MA,C17022_012EA,C17022_012MA,C17022_013EA,C17022_013MA,C17022_014EA,C17022_014MA,C17022_015MA,C17022_015EA,C17022_016MA,C17022_016EA,C17022_017EA,C17022_017MA,C17022_018MA,C17022_018EA,C17022_019EA,C17022_019MA,C17022_020EA,C17022_020MA,C17022_021EA,C17022_021MA,state
0400000US01,1222858,13632,219441,8217,81533,4897,137908,6172,17475,2439,120433,5712,46477,3324,28346,2390,18131,2243,3202,926,14929,2126,84311,4166,50859,3032,33452,3235,7208,1549,26244,2592,872629,9881,727871,9393,144758,5862,46882,3338,97876,4503,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,17881,1992,6621,1245,11260,1759,2189,549,9071,1683,4327,878,1935,545,2392,756,282,178,2110,765,6639,1182,4161,968,2478,668,513,345,1965,553,129092,3754,104612,3546,24480,1942,9564,1224,14916,1690,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,216679,8874,105713,6006,110966,5363,21527,2534,89439,5219,50773,3973,32416,2969,18357,2539,5042,1518,13315,2117,94552,5504,61200,4431,33352,3109,11428,1708,21924,2564,1114265,11964,905479,11251,208786,6046,77080,4130,131706,4748,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,142616,6280,60628,4128,81988,4952,13152,1984,68836,4425,34512,2619,22064,1990,12448,2141,3247,1016,9201,1688,56509,3295,38406,2768,18103,1978,4630,1086,13473,1681,524558,9277,446131,7976,78427,4432,27792,2919,50635,3282,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,1200186,19593,574203,12408,625983,13211,125449,6896,500534,11772,279182,9533,173925,7129,105257,5934,30374,3331,74883,4335,478770,11868,301612,9629,177158,6555,54041,4377,123117,5176,6345655,23622,5001961,25372,1343694,17909,488568,12600,855126,11895,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,145848,7450,65660,4376,80188,5322,15215,2503,64973,4152,31022,3139,20111,2771,10911,1880,3040,1106,7871,1415,59705,2933,37994,2507,21711,2250,6210,1548,15501,1885,959648,9816,810383,10449,149265,6033,55964,3616,93301,4703,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,74636,3967,24159,2223,50477,3121,6277,1384,44200,3070,15926,2420,7119,1319,8807,1886,2016,962,6791,1667,34077,3107,19528,2279,14549,2175,3264,1045,11285,1966,769709,7454,629850,7774,139859,4136,41631,3090,98228,3917,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,21956,2599,6840,1439,15116,2085,2314,938,12802,1826,4936,1218,2601,733,2335,941,411,361,1924,779,9376,1409,5350,1033,4026,979,1097,539,2929,747,177297,4294,142418,4126,34879,2708,11387,1694,23492,2276,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,22102,2448,4669,1138,17433,2154,1825,750,15608,2024,2645,904,925,483,1720,756,369,287,1351,639,5368,1128,873,361,4495,1056,801,525,3694,924,78644,3498,49404,3346,29240,2330,6406,1233,22834,2062,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,629939,14111,276570,8474,353369,10734,61434,4946,291935,9392,156593,6803,90224,5535,66369,4482,15782,2159,50587,4013,286487,10032,178273,7197,108214,6428,28590,3147,79624,5425,3559955,22314,2907060,19655,652895,13843,213804,7368,439091,11263,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
