B18006_012M,B18006_013E,B18006_013M,B18006_014E,B18006_014M,B18006_015E,B18006_015M,B18006_016E,B18006_016M,B18006_017E,B18006_017M,B18006_018E,B18006_018M,B18006_019E,B18006_019M,B18006_020E,B18006_020M,B18006_021E,B18006_021M,B18006_022E,B18006_022M,B18006_023E,B18006_023M,B18006_024E,B18006_024M,B18006_025E,B18006_025M,B18006_026E,B18006_026M,B18006_027E,B18006_027M,B18006_028E,B18006_028M,B18006_029E,B18006_029M,B18006_030E,B18006_030M,B18006_031E,B18006_031M,B18006_032E,B18006_032M,B18006_033E,B18006_033M,GEO_ID,B18006_001E,B18006_001M,B18006_002E,B18006_002M,B18006_003E,B18006_003M,B18006_004E,B18006_004M,B18006_005E,B18006_005M,B18006_006E,B18006_006M,B18006_007E,B18006_007M,B18006_008E,B18006_008M,B18006_009E,B18006_009M,B18006_010E,B18006_010M,B18006_011E,B18006_011M,B18006_012E,B18006_012MA,B18006_013EA,B18006_013MA,B18006_014MA,B18006_014EA,B18006_015MA,B18006_015EA,B18006_016MA,B18006_016EA,B18006_017MA,B18006_017EA,B18006_018EA,B18006_018MA,B18006_019MA,B18006_019EA,B18006_020MA,B18006_020EA,B18006_021MA,B18006_021EA,B18006_022MA,B18006_022EA,B18006_023MA,B18006_023EA,B18006_024EA,B18006_024MA,B18006_025MA,B18006_025EA,B18006_026MA,B18006_026EA,B18006_027MA,B18006_027EA,B18006_028MA,B18006_028EA,B18006_029EA,B18006_029MA,B18006_030MA,B18006_030EA,B18006_031MA,B18006_031EA,B18006_032MA,B18006_032EA,B18006_033MA,B18006_033EA,NAME,B18006_001MA,B18006_001EA,B18006_002EA,B18006_002MA,B18006_003EA,B18006_003MA,B18006_004MA,B18006_004EA,B18006_005MA,B18006_005EA,B18006_006MA,B18006_006EA,B18006_007EA,B18006_007MA,B18006_008EA,B18006_008MA,B18006_009MA,B18006_009EA,B18006_010MA,B18006_010EA,B18006_011MA,B18006_011EA,B18006_012EA,state
1791,10663,1306,134292,1744,98048,1466,15848,1648,82200,2114,2198624,3769,333072,3204,2195,712,330877,3276,166515,5464,1325,658,165190,5360,1358031,4644,51567,3684,1306464,6013,176461,1798,14047,1466,162414,2003,164545,1951,37484,2914,127061,2820,0400000US01,4227433,3183,2028809,4847,358364,3715,4567,1148,353797,3810,175078,4913,1145,663,173933,5016,1252364,5177,38105,2887,1214259,5947,144955,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
506,566,306,12352,602,6858,571,978,421,5880,564,299208,1647,51951,1390,288,237,51663,1375,25907,1993,57,78,25850,1997,198051,1885,4992,1251,193059,2361,13062,662,756,295,12306,754,10237,779,2403,795,7834,832,0400000US02,605065,1896,305857,2086,57595,1407,640,373,56955,1427,28227,2183,359,315,27868,2132,200259,2423,3443,925,196816,2604,12918,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1216,8663,1598,179216,1749,159844,1194,15068,2078,144776,2547,2823588,2265,471787,3040,3274,961,468513,2994,202117,4793,1606,570,200511,4736,1721163,3993,39373,3224,1681790,4838,214483,1263,13989,1858,200494,1978,214038,1461,29716,2820,184322,2980,0400000US04,5605494,3897,2781906,4003,497229,2896,5209,1315,492020,3066,221313,5255,1416,779,219897,5411,1715641,5067,31470,2816,1684171,6245,187879,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1121,6210,1057,86323,1449,64884,907,10010,1260,54874,1436,1318610,2596,201611,2673,1785,654,199826,2767,95431,3864,627,349,94804,3838,809389,3640,31731,2877,777658,4493,107805,1082,9576,1281,98229,1626,104374,1462,20715,1985,83659,2259,0400000US05,2561959,2402,1243349,3866,213590,2917,1491,501,212099,2913,102494,3945,644,349,101850,3966,769848,4568,26560,2443,743288,5154,92533,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2743,53640,3487,856752,4766,729412,2709,102532,4753,626880,5364,16776348,6260,2817252,6773,18029,2155,2799223,7085,1321474,10900,7937,1509,1313537,11161,10469327,10073,224804,8249,10244523,12280,1069078,2312,80764,4451,988314,5000,1099217,3237,225031,7587,874186,8188,0400000US06,33211121,5156,16434773,7277,2948558,8130,30122,3055,2918436,8483,1376487,11063,11291,1709,1365196,11031,10469924,10407,188286,7914,10281638,13038,910392,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1445,4896,1036,114631,1717,83295,1282,7489,1026,75806,1668,2174566,2883,342671,2884,1439,547,341232,2886,154746,4545,542,280,154204,4572,1418892,4209,24987,3028,1393905,4791,134570,1458,7743,1375,126827,1940,123687,1638,17859,2110,105828,2277,0400000US08,4336687,2598,2162121,3075,357005,2675,1988,759,355017,2815,163254,5042,1353,527,161901,5044,1439040,4781,23220,2497,1415820,5786,119527,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
847,5410,1109,96897,1403,83496,987,8391,1316,75105,1517,1675755,1996,252320,2225,1650,672,250670,2261,118748,3359,502,428,118246,3331,1046862,2872,19484,2095,1027378,3369,120160,1009,6538,1225,113622,1697,137665,1291,20435,2026,117230,2118,0400000US09,3241592,1339,1565837,2306,262789,2267,2095,742,260694,2313,123996,3134,469,275,123527,3155,993249,2668,15138,1824,978111,2947,102307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
586,1261,507,25825,789,20497,497,1836,492,18661,750,405426,1210,60642,1223,60,105,60582,1231,30532,1888,0,261,30532,1888,251811,1662,5503,930,246308,1896,33002,620,1462,545,31540,767,29439,565,4106,1011,25333,1012,0400000US10,781963,827,376537,1194,63025,916,783,392,62242,1012,31207,1703,141,173,31066,1736,234722,1697,7403,1543,227319,2198,27086,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
526,740,461,14099,508,11007,468,1558,537,9449,580,287525,1221,32685,876,121,141,32564,878,21730,2034,102,124,21628,2040,190702,1469,3377,820,187325,1678,20367,524,1837,604,18530,773,22041,602,4657,1075,17384,1299,0400000US11,531139,4160,243614,3505,34089,934,519,378,33570,931,18224,1933,247,255,17977,1935,165455,2582,3203,864,162252,2657,14839,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2522,29874,2184,628962,2947,632515,2557,60077,3566,572438,4077,8576346,6918,1186390,4852,6882,1478,1179508,5022,557378,8152,3815,993,553563,8325,5172170,7891,136581,6698,5035589,9284,779786,2714,44981,3126,734805,4288,880622,2883,133847,5704,746775,5895,0400000US12,16653760,4594,8077414,7593,1235252,5666,13905,2115,1221347,6200,586931,9116,4541,1257,582390,9149,4963880,10054,112800,6426,4851080,12532,658836,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
2523,12196,1621,214817,3058,133574,2373,20259,2021,113315,3248,4361967,5579,721204,4769,4425,924,716779,4740,343181,7724,2049,832,341132,7796,2786723,7626,67643,4071,2719080,8719,272298,2742,22826,2460,249472,3248,238561,1895,50438,2843,188123,3314,0400000US13,8455369,4186,4093402,6087,752883,4523,8441,1867,744442,5086,343998,7982,2796,981,341202,8009,2635934,8119,54021,4241,2581913,8110,227013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
487,2049,644,36564,811,37065,586,3676,824,33389,1017,591008,1411,82948,1287,528,480,82420,1226,40614,2277,122,174,40492,2299,368152,2159,6183,1366,361969,2457,45687,488,1872,662,43815,762,53607,659,7371,1062,46236,1184,0400000US15,1151598,2607,560590,2273,91703,1375,737,390,90966,1405,40848,2253,263,307,40585,2270,352361,2643,4734,1076,347627,2700,38613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
