GEO_ID,C19001F_001E,C19001F_001M,C19001F_002E,C19001F_002M,C19001F_003E,C19001F_003M,C19001F_004E,C19001F_004M,C19001F_005E,C19001F_005M,C19001F_006E,C19001F_006M,C19001F_007E,C19001F_007M,C19001F_008E,C19001F_008M,C19001F_009E,C19001F_009M,C19001F_010E,C19001F_010M,C19001F_011E,C19001F_011M,NAME,C19001F_001MA,C19001F_001EA,C19001F_002EA,C19001F_002MA,C19001F_003MA,C19001F_003EA,C19001F_004EA,C19001F_004MA,C19001F_005EA,C19001F_005MA,C19001F_006EA,C19001F_006MA,C19001F_007MA,C19001F_007EA,C19001F_008MA,C19001F_008EA,C19001F_009MA,C19001F_009EA,C19001F_010MA,C19001F_010EA,C19001F_011MA,C19001F_011EA,state
0400000US01,8554,1371,1197,687,942,487,1069,531,1607,648,1663,553,758,392,696,331,378,293,162,127,82,136,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3435,887,237,335,152,131,596,409,179,241,682,418,653,362,823,520,113,128,0,235,0,235,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172718,6117,12139,2084,11672,2052,25633,2770,23528,2492,33862,3199,34502,2822,17957,2338,10719,1564,1657,592,1049,424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17266,2153,1197,679,1152,567,4424,1225,4269,1151,2735,906,2314,757,648,492,498,383,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1550822,15040,92305,4883,91083,4615,214039,7672,209440,8032,275211,8709,310318,9190,168975,7152,136744,5207,33725,3180,18982,2443,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99784,3771,8683,1583,7885,1613,12859,2342,15905,2171,19040,2321,17887,2271,9516,1774,6062,1190,1315,589,632,328,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54207,2915,7233,1268,4093,1284,9659,1711,6430,1454,7932,1566,9529,1556,4504,1290,3290,784,814,499,723,388,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5112,860,223,227,351,355,608,372,428,313,1093,470,1384,578,523,401,451,395,0,261,51,85,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8410,1304,344,349,525,432,1002,672,939,489,1252,580,2006,679,827,526,917,716,370,281,228,241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222371,8260,15513,2093,11501,1796,30450,3116,32370,3332,43690,4654,46737,3575,21446,2680,14308,2288,3780,1083,2576,946,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
