B19131_099E,B19131_099M,B19131_100E,B19131_100M,B19131_101E,B19131_101M,B19131_102E,B19131_102M,B19131_103E,B19131_103M,B19131_104E,B19131_104M,B19131_105E,B19131_105M,B19131_106E,B19131_106M,B19131_107E,B19131_107M,GEO_ID,B19131_001E,B19131_001M,B19131_002E,B19131_002M,B19131_003E,B19131_003M,B19131_004E,B19131_004M,B19131_005E,B19131_005M,B19131_006E,B19131_006M,B19131_007E,B19131_007M,B19131_008E,B19131_008M,B19131_009E,B19131_009M,B19131_010E,B19131_010M,B19131_011E,B19131_011M,B19131_012E,B19131_012M,B19131_013E,B19131_013M,B19131_014E,B19131_014M,B19131_015E,B19131_015M,B19131_016E,B19131_016M,B19131_017E,B19131_017M,B19131_018E,B19131_018M,B19131_019E,B19131_019M,B19131_020E,B19131_020M,B19131_021E,B19131_021M,B19131_022E,B19131_022M,B19131_023E,B19131_023M,B19131_024E,B19131_024M,B19131_025E,B19131_025M,B19131_026E,B19131_026M,B19131_027E,B19131_027M,B19131_028E,B19131_028M,B19131_029E,B19131_029M,B19131_030E,B19131_030M,B19131_031E,B19131_031M,B19131_032E,B19131_032M,B19131_033E,B19131_033M,B19131_034E,B19131_034M,B19131_035E,B19131_035M,B19131_036E,B19131_036M,B19131_037E,B19131_037M,B19131_038E,B19131_038M,B19131_039E,B19131_039M,B19131_040E,B19131_040M,B19131_041E,B19131_041M,B19131_042E,B19131_042M,B19131_043E,B19131_043M,B19131_044E,B19131_044M,B19131_045E,B19131_045M,B19131_046E,B19131_046M,B19131_047E,B19131_047M,B19131_048E,B19131_048M,B19131_049E,B19131_049M,B19131_050E,B19131_050M,B19131_051E,B19131_051M,B19131_052E,B19131_052M,B19131_053E,B19131_053M,B19131_054E,B19131_054M,B19131_055E,B19131_055M,B19131_056E,B19131_056M,B19131_057E,B19131_057M,B19131_058E,B19131_058M,B19131_059E,B19131_059M,B19131_060E,B19131_060M,B19131_061E,B19131_061M,B19131_062E,B19131_062M,B19131_063E,B19131_063M,B19131_064E,B19131_064M,B19131_065E,B19131_065M,B19131_066E,B19131_066M,B19131_067E,B19131_067M,B19131_068E,B19131_068M,B19131_069E,B19131_069M,B19131_070E,B19131_070M,B19131_071E,B19131_071M,B19131_072E,B19131_072M,B19131_073E,B19131_073M,B19131_074E,B19131_074M,B19131_075E,B19131_075M,B19131_076E,B19131_076M,B19131_077E,B19131_077M,B19131_078E,B19131_078M,B19131_079E,B19131_079M,B19131_080E,B19131_080M,B19131_081E,B19131_081M,B19131_082E,B19131_082M,B19131_083E,B19131_083M,B19131_084E,B19131_084M,B19131_085E,B19131_085M,B19131_086E,B19131_086M,B19131_087E,B19131_087M,B19131_088E,B19131_088M,B19131_089E,B19131_089M,B19131_090E,B19131_090M,B19131_091E,B19131_091M,B19131_092E,B19131_092M,B19131_093E,B19131_093M,B19131_094E,B19131_094M,B19131_095E,B19131_095M,B19131_096E,B19131_096M,B19131_097E,B19131_097M,B19131_098E,B19131_098M,B19131_099EA,B19131_099MA,B19131_100EA,B19131_100MA,B19131_101MA,B19131_101EA,B19131_102EA,B19131_102MA,B19131_103MA,B19131_103EA,B19131_104EA,B19131_104MA,B19131_105EA,B19131_105MA,B19131_106MA,B19131_106EA,B19131_107EA,B19131_107MA,NAME,B19131_001MA,B19131_001EA,B19131_002MA,B19131_002EA,B19131_003MA,B19131_003EA,B19131_004MA,B19131_004EA,B19131_005EA,B19131_005MA,B19131_006MA,B19131_006EA,B19131_007MA,B19131_007EA,B19131_008MA,B19131_008EA,B19131_009MA,B19131_009EA,B19131_010EA,B19131_010MA,B19131_011EA,B19131_011MA,B19131_012MA,B19131_012EA,B19131_013MA,B19131_013EA,B19131_014MA,B19131_014EA,B19131_015MA,B19131_015EA,B19131_016EA,B19131_016MA,B19131_017MA,B19131_017EA,B19131_018MA,B19131_018EA,B19131_019MA,B19131_019EA,B19131_020MA,B19131_020EA,B19131_021EA,B19131_021MA,B19131_022EA,B19131_022MA,B19131_023EA,B19131_023MA,B19131_024MA,B19131_024EA,B19131_025MA,B19131_025EA,B19131_026EA,B19131_026MA,B19131_027EA,B19131_027MA,B19131_028EA,B19131_028MA,B19131_029MA,B19131_029EA,B19131_030MA,B19131_030EA,B19131_031MA,B19131_031EA,B19131_032EA,B19131_032MA,B19131_033EA,B19131_033MA,B19131_034MA,B19131_034EA,B19131_035MA,B19131_035EA,B19131_036EA,B19131_036MA,B19131_037MA,B19131_037EA,B19131_038EA,B19131_038MA,B19131_039EA,B19131_039MA,B19131_040EA,B19131_040MA,B19131_041EA,B19131_041MA,B19131_042EA,B19131_042MA,B19131_043EA,B19131_043MA,B19131_044EA,B19131_044MA,B19131_045EA,B19131_045MA,B19131_046MA,B19131_046EA,B19131_047EA,B19131_047MA,B19131_048MA,B19131_048EA,B19131_049EA,B19131_049MA,B19131_050EA,B19131_050MA,B19131_051MA,B19131_051EA,B19131_052EA,B19131_052MA,B19131_053MA,B19131_053EA,B19131_054EA,B19131_054MA,B19131_055EA,B19131_055MA,B19131_056MA,B19131_056EA,B19131_057MA,B19131_057EA,B19131_058MA,B19131_058EA,B19131_059MA,B19131_059EA,B19131_060EA,B19131_060MA,B19131_061MA,B19131_061EA,B19131_062MA,B19131_062EA,B19131_063MA,B19131_063EA,B19131_064MA,B19131_064EA,B19131_065EA,B19131_065MA,B19131_066EA,B19131_066MA,B19131_067MA,B19131_067EA,B19131_068MA,B19131_068EA,B19131_069MA,B19131_069EA,B19131_070MA,B19131_070EA,B19131_071EA,B19131_071MA,B19131_072MA,B19131_072EA,B19131_073MA,B19131_073EA,B19131_074MA,B19131_074EA,B19131_075MA,B19131_075EA,B19131_076EA,B19131_076MA,B19131_077EA,B19131_077MA,B19131_078EA,B19131_078MA,B19131_079MA,B19131_079EA,B19131_080MA,B19131_080EA,B19131_081EA,B19131_081MA,B19131_082EA,B19131_082MA,B19131_083MA,B19131_083EA,B19131_084MA,B19131_084EA,B19131_085EA,B19131_085MA,B19131_086EA,B19131_086MA,B19131_087MA,B19131_087EA,B19131_088EA,B19131_088MA,B19131_089EA,B19131_089MA,B19131_090EA,B19131_090MA,B19131_091EA,B19131_091MA,B19131_092MA,B19131_092EA,B19131_093EA,B19131_093MA,B19131_094EA,B19131_094MA,B19131_095EA,B19131_095MA,B19131_096EA,B19131_096MA,B19131_097EA,B19131_097MA,B19131_098EA,B19131_098MA,state
6153,1060,4552,974,9025,1602,9725,1684,5530,1092,1537,488,467,258,871,492,103,119,0400000US01,1222858,13632,888609,11580,348704,8156,8347,1742,6805,1484,7531,1415,12147,2035,16906,2067,16831,2139,16447,2301,16267,2030,17778,1882,34905,2696,53943,3407,63782,3826,35255,2862,16136,2002,12830,1678,12794,1512,539905,8196,11546,1387,16693,1848,24929,2201,26145,2186,30291,2431,32077,2676,31599,2876,30564,2504,28011,2129,51818,3085,72098,4309,76985,4407,45457,2848,23066,2221,20336,1932,18290,1926,334249,8550,74767,4587,33361,3445,3472,1060,2341,981,2433,812,3194,1107,2354,770,3120,803,1807,704,2720,779,1677,785,2982,1021,3136,959,1728,597,831,412,397,341,565,423,604,385,41406,3467,2770,857,3091,979,3266,1067,3986,1012,2368,699,4372,1298,2138,825,2807,728,2854,973,4176,1194,3512,871,3363,748,1205,598,713,412,469,294,316,305,259482,6700,149388,5527,47050,3963,18028,2297,17960,2034,13975,1949,11575,1818,9933,1517,6302,1355,6795,1227,3614,966,5738,1221,3450,820,3499,968,1057,492,60,98,104,151,248,208,110094,4302,12075,1777,9462,1597,12961,1592,11384,1603,10026,1426,8999,1360,7224,1091,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
795,318,474,360,565,274,924,413,790,350,646,360,198,168,97,113,24,42,0400000US02,157939,4094,117329,3572,55831,3039,338,230,756,314,643,428,1238,598,1328,594,1805,604,2276,659,2150,699,2428,646,6063,1183,6088,1036,12373,1504,7150,1200,4607,1012,4604,947,1984,604,61498,3007,889,515,956,504,1189,418,980,319,1851,520,1720,491,1819,635,2014,517,1890,489,4168,686,8688,1314,12550,1549,7893,1089,5748,977,5393,914,3750,826,40610,2570,12548,1357,7443,1199,628,324,517,394,347,262,289,175,365,345,315,200,170,185,946,537,356,254,919,390,1041,528,1047,500,73,89,204,166,64,70,162,160,5105,973,214,150,165,109,138,87,220,148,452,326,431,434,285,183,212,247,322,259,467,386,604,296,634,339,346,240,355,289,26,44,234,232,28062,2352,19620,1972,2873,891,2784,1070,1463,625,1811,628,1323,502,1718,674,1731,744,1331,588,942,519,1019,397,1646,589,697,400,86,74,28,49,17,28,151,243,8442,1308,151,131,580,339,761,413,556,308,783,403,409,235,689,324,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
5025,1031,6607,1318,9996,1437,12640,1743,8949,1700,4205,1007,1906,645,1424,553,540,308,0400000US04,1476269,13649,1104808,11797,466953,8717,9171,1828,8872,1551,14144,2344,20294,2172,19334,2299,23331,2525,23965,2548,22390,2724,21041,2517,41012,3449,61551,3456,79816,4494,52007,3534,24026,2244,23963,2207,22036,2299,637855,9157,13422,1676,14454,1875,20248,2365,29067,2834,27856,2488,34708,2687,35378,2663,34074,2902,31651,2161,57666,3863,79304,4118,95300,4345,64898,3715,34639,2707,33946,2949,31244,2612,371461,8499,115077,4892,57909,4666,3469,912,3522,1026,4474,1506,4712,1289,4918,1338,4327,1144,5275,1233,4690,1386,3309,951,4321,1012,5449,1184,4005,1038,1895,746,1965,988,810,537,768,434,57168,3969,3017,977,1818,642,3019,1087,4219,1201,3371,1107,2414,917,4759,1150,3902,1080,3323,936,6685,1329,6934,1505,6317,1095,2853,943,1369,620,1757,774,1411,589,256384,7207,159263,5722,31337,3169,15505,2435,15025,2077,14453,2242,13326,1938,13415,2220,10274,1745,9858,1786,7271,1433,9922,1648,7676,1508,6970,1309,2072,678,670,381,978,504,511,461,97121,4499,6794,1320,5636,1251,5756,1269,7385,1470,6629,1220,7217,1292,6412,1508,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3265,1041,3105,789,4224,1049,3925,1031,2867,861,710,555,324,239,143,145,204,203,0400000US05,758195,10004,567229,8579,224782,5961,4722,1200,4757,1139,7614,1596,11335,1585,11716,1875,12032,1853,13125,1537,13164,2035,14102,1832,27205,2467,28598,2465,37689,2957,17272,1838,8556,1172,6987,1199,5908,975,342447,7009,7398,1337,11411,1284,20891,1824,21640,1942,21784,2189,20477,1847,22687,2372,23653,1977,18784,1788,36120,2248,44238,2637,43963,3047,20314,2065,11808,1768,9208,1260,8071,1206,190966,7167,48821,3874,24788,2626,2630,926,2242,829,2708,868,2194,655,3094,1023,3249,972,1442,718,1203,718,1483,616,1693,690,1305,632,1009,550,262,252,0,257,144,169,130,202,24033,2650,1370,548,1271,735,2459,679,1597,552,2047,737,2619,791,2023,674,973,499,1450,601,3361,1037,2618,861,1129,418,835,363,143,163,138,165,0,257,142145,5997,83877,4338,25896,2845,10775,1751,10958,1813,7167,1484,8120,1642,6552,1556,2641,686,1876,749,2472,869,3013,1166,1814,610,1627,610,278,230,135,135,323,249,230,305,58268,3791,7216,1272,6348,1192,5462,1186,6083,1048,5277,1302,5040,954,4075,1014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
35834,2819,34738,3004,61776,3793,79952,4471,84573,4764,41487,3020,20526,2603,14806,1918,8356,1365,0400000US06,8303793,26257,6051701,25589,3010321,21578,45258,3313,61602,4109,94150,5711,109530,5599,110423,6109,119425,6052,118482,6657,130115,6418,115328,4719,239639,7677,332762,8293,465594,8634,367962,9602,218977,7692,231040,6701,250034,7161,3041380,22568,53157,3276,56807,3710,100076,5234,104184,4491,107118,5299,115179,5043,118668,4879,119434,4751,117076,5099,239441,6465,327887,8920,470566,10434,360412,9008,235984,6945,256712,6352,258679,6584,2252092,21647,698432,14287,338125,10354,24212,2662,19621,2306,25939,2973,28771,2639,24623,3318,26615,2434,21708,2765,22313,2676,16303,2280,25929,2984,39032,3104,29211,2775,15530,2336,6054,1243,5372,1069,6892,1222,360307,9919,12036,1956,10608,1683,14511,2023,20236,2346,19901,2775,17964,2482,20578,2212,18726,2209,21985,2841,34296,2904,51708,3672,49994,3631,28213,2993,15783,2053,13933,2047,9835,1651,1553660,16324,890994,13084,160985,6803,93984,5745,85590,5412,76699,5057,62221,4547,63361,4311,49810,3165,42911,3567,36724,3337,58938,4029,63768,3797,51838,3413,22327,3010,8152,1513,7602,1527,6084,1136,662666,13090,36082,2897,35570,3553,41120,3177,44475,3429,42040,3419,44244,2913,37087,2557,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
4045,1028,3829,921,6004,1159,7161,1329,7263,1119,2262,625,1214,553,787,372,375,280,0400000US08,1196223,10837,934148,11111,419803,8472,5648,1087,7642,1570,7954,1699,11987,2033,14096,2718,15993,2093,17232,2228,17962,1805,15994,2207,36027,3345,52225,3463,77006,4626,55863,2932,27505,2488,27878,2586,28791,2365,514345,8994,7478,1353,8521,1356,11375,1929,18262,2007,17479,1984,19432,1883,21583,2126,25815,2664,20003,2150,46011,3175,67354,3861,89410,4445,60252,3235,34828,2285,37544,2599,28998,2543,262075,8681,80429,4678,42810,3656,3566,1023,2420,904,2546,1057,3610,1123,4083,1475,3156,948,3070,1167,3376,900,2365,816,3436,779,3721,957,3804,965,1595,672,676,427,759,447,627,306,37619,3245,2289,1022,1506,757,1004,545,2619,1012,1699,639,1683,700,3007,986,2228,832,2693,997,4204,1112,5366,1366,4275,1117,2746,952,813,428,431,361,1056,610,181646,6741,118660,5721,26832,2787,12091,1774,10552,1562,10432,1703,9484,1863,9865,2188,5887,1379,8024,1509,5021,1290,5983,1245,6716,1401,4801,1095,1294,538,527,343,762,426,389,331,62986,3440,3696,859,3974,992,3156,684,4882,1060,4550,1067,5883,1384,3905,910,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
3815,898,3893,859,5619,1113,7714,1215,10468,1418,3538,844,1638,574,2123,751,2236,827,0400000US09,894348,7766,680656,7528,310225,6703,1827,613,2121,742,2700,850,3552,998,3931,986,7525,1463,6184,1191,8537,1940,9215,1330,19416,1816,37355,2966,59452,3719,49589,2905,29391,2350,29528,2309,39902,2410,370431,6801,3878,946,4266,885,6546,1199,10566,1409,10226,1179,12534,1579,12645,1653,13519,1733,12199,1601,26066,2168,43278,3448,66742,3703,47227,2886,31683,2236,33270,2433,35786,2440,213692,5379,53188,3842,25062,2587,1815,647,740,485,982,552,1806,947,1760,878,1269,613,1944,725,1690,803,1282,665,3442,1009,2657,946,2109,773,1238,504,952,547,402,275,974,524,28126,2670,941,507,558,406,1142,634,1719,725,1454,636,769,321,1477,583,958,506,1752,768,4099,1184,3441,906,5030,1006,2560,769,1081,497,615,401,530,256,160504,5038,94780,4144,15914,1944,9042,1687,7290,1458,7564,1460,7404,1551,7581,1259,7322,1422,4081,885,3701,949,8070,1505,6537,1308,5248,1176,2638,839,906,396,778,437,704,359,65724,3934,3296,1018,2325,764,3110,869,3780,1080,3214,858,5236,1304,3719,849,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1400,528,1206,495,1666,638,1915,736,2740,963,938,448,281,194,129,127,38,66,0400000US10,213565,5010,157209,4491,65144,3573,413,315,398,317,1326,748,1396,673,1464,632,1635,761,2170,767,2273,775,3265,993,5644,1550,9538,1419,11696,1651,9471,1470,5736,1274,4371,865,4348,970,92065,2961,1245,570,855,304,2262,655,3054,676,4315,861,4059,849,4580,982,4797,904,4442,935,8788,1207,10817,1359,16695,1845,10449,1306,6715,1157,4726,824,4266,745,56356,3852,15209,2161,7209,1590,520,511,188,226,323,494,621,420,234,209,686,520,822,444,785,541,660,359,799,493,657,448,777,464,137,110,0,261,0,261,0,261,8000,1497,599,565,257,172,358,305,265,252,421,272,380,279,889,550,539,395,43,56,620,272,1633,712,828,413,598,440,327,273,169,209,74,123,41147,3043,23846,2453,4895,1302,2247,849,2174,850,2913,874,1791,716,1273,627,2004,846,853,358,1341,517,1713,718,1072,564,1103,620,232,256,68,110,89,104,78,132,17301,1951,534,252,490,316,960,443,1190,561,562,344,1229,593,2023,720,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1010,457,447,272,2366,608,2184,664,3287,797,954,316,729,409,725,416,187,236,0400000US11,108759,4148,55871,3656,18333,2209,159,198,272,315,451,415,811,631,485,343,249,260,432,341,329,254,553,487,926,497,1433,671,1613,662,2386,753,826,392,2255,594,5153,936,37538,2552,1184,586,1048,551,562,329,802,391,574,299,1028,389,1977,763,921,442,673,362,1797,542,2607,838,3738,801,4139,911,2880,783,5278,1056,8330,1257,52888,2845,9401,1476,2829,963,385,346,131,207,141,232,306,366,157,264,291,295,351,336,58,92,363,392,156,126,0,292,238,205,0,292,66,117,186,299,0,292,6572,1236,267,158,219,186,572,358,314,286,136,157,876,472,294,246,237,315,342,322,587,376,598,402,880,538,432,349,441,350,97,150,280,271,43487,2681,21070,2008,5649,1295,1885,719,1291,611,1928,813,1378,638,1228,614,1078,654,1091,538,864,454,1536,675,771,425,933,472,623,409,338,293,267,243,210,197,22417,1923,2591,874,1860,767,1132,532,1232,492,1111,446,1899,521,703,329,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
22753,2807,23746,2765,37417,3324,40020,3228,34528,3242,11190,1518,5965,1357,3203,861,2456,752,0400000US12,4632974,21331,3452127,20939,1293023,14913,13803,1836,19455,3069,31197,3722,40805,3934,48710,3639,61381,4838,60726,4446,61498,4891,63280,4644,137014,5834,186505,7606,215218,7369,142502,6114,73548,3841,61530,4099,75851,4248,2159104,18454,51115,3907,56053,3834,82561,4603,101999,5024,113458,4726,108139,5476,119478,6055,116249,4758,111037,4836,213280,6361,269879,7393,316269,8280,195393,6880,98682,4804,98621,4762,106891,4509,1180847,15939,319610,8930,142952,6573,9592,1794,9356,1917,14053,2652,14322,2518,13630,2329,12592,2150,11188,1967,10477,2027,8215,1832,9178,1591,10109,1967,9658,1607,4762,1205,1393,689,2108,782,2319,713,176658,6652,9513,1676,9282,1821,8952,1674,11251,1987,11902,1992,11639,1684,11912,1963,12255,1995,12819,1671,21133,2599,18872,2205,20785,2742,8088,1247,3672,1190,2619,863,1964,707,861237,13446,495043,12016,92447,5598,52191,4406,51900,4528,53489,4619,45498,4232,42730,3776,30974,3358,26342,2953,16848,2184,27102,3130,25472,2666,16714,2080,6952,1597,3197,1094,2105,714,1082,551,366194,9212,23888,2937,25617,2935,27739,3064,28286,2740,27878,2393,28320,2877,23188,2217,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
