GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002EA,B15002I_002MA,B15002I_003EA,B15002I_003MA,B15002I_004EA,B15002I_004MA,B15002I_005MA,B15002I_005EA,B15002I_006MA,B15002I_006EA,B15002I_007MA,B15002I_007EA,B15002I_008EA,B15002I_008MA,B15002I_009EA,B15002I_009MA,B15002I_010MA,B15002I_010EA,B15002I_011MA,B15002I_011EA,B15002I_012EA,B15002I_012MA,B15002I_013EA,B15002I_013MA,B15002I_014EA,B15002I_014MA,B15002I_015EA,B15002I_015MA,B15002I_016MA,B15002I_016EA,B15002I_017MA,B15002I_017EA,state
0400000US01,53801,2193,30242,1677,9871,1722,4611,1156,8719,1402,3127,777,655,290,2107,767,1152,537,23559,1490,5766,1038,2206,957,6583,1198,4063,1001,1087,487,2472,774,1382,595,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18280,993,9221,806,992,698,1228,435,3153,748,2438,791,138,137,842,423,430,375,9059,739,1687,880,463,296,2619,710,2128,690,392,287,1220,617,550,449,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,922119,2297,479153,932,110374,7068,83709,4891,138956,6881,76227,4740,27294,3683,30328,3352,12265,2027,442966,1873,94092,5590,74931,4670,123667,6170,76454,4003,28367,2869,31710,2716,13745,2363,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68411,1802,39757,1716,13404,1926,8525,1373,10827,1619,3049,978,1043,508,1463,701,1446,584,28654,1459,7827,1170,5792,1076,7709,1350,4771,1009,276,239,1799,581,480,273,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6901288,1983,3537155,1677,965075,16462,623670,12896,977237,18534,498875,12129,157212,6601,218825,7573,96261,4821,3364133,1590,930100,14443,528291,11214,861126,13900,528866,10302,185972,7878,237292,7912,92486,5382,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,505737,2037,268395,1315,56028,4151,51197,3490,84937,4805,36287,3198,12154,1788,19205,2019,8587,1676,237342,1465,42673,3251,41630,2844,68776,3691,43715,3152,12283,1789,21759,1942,6506,1173,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,218931,1075,108525,955,17936,2634,17484,2283,39402,2921,15783,1934,5094,1438,7936,1487,4890,1063,110406,806,18261,1739,14757,1952,36930,2758,17487,1967,7355,1490,9125,1390,6491,1381,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27374,599,14659,491,5017,1066,2335,832,4086,1257,1394,666,621,395,859,489,347,224,12715,579,3680,943,1030,514,4441,1154,1167,552,366,225,1580,584,451,283,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30777,0,16358,0,5694,1422,1767,837,2677,1035,1415,685,299,358,1644,808,2862,879,14419,0,4764,1080,1273,619,1471,671,684,377,715,514,2976,749,2536,775,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2307316,2939,1150067,3064,184314,8408,139501,6755,340199,10980,162793,5910,81615,5363,159027,7069,82618,4990,1157249,2023,171912,6370,120750,6573,324299,9902,179996,7483,105773,5920,176031,6410,78488,4841,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
