GEO_ID,B25101_001E,B25101_001M,B25101_002E,B25101_002M,B25101_003E,B25101_003M,B25101_004E,B25101_004M,B25101_005E,B25101_005M,B25101_006E,B25101_006M,B25101_007E,B25101_007M,B25101_008E,B25101_008M,B25101_009E,B25101_009M,B25101_010E,B25101_010M,B25101_011E,B25101_011M,B25101_012E,B25101_012M,B25101_013E,B25101_013M,B25101_014E,B25101_014M,B25101_015E,B25101_015M,B25101_016E,B25101_016M,B25101_017E,B25101_017M,B25101_018E,B25101_018M,B25101_019E,B25101_019M,B25101_020E,B25101_020M,B25101_021E,B25101_021M,B25101_022E,B25101_022M,B25101_023E,B25101_023M,B25101_024E,B25101_024M,B25101_025E,B25101_025M,B25101_026E,B25101_026M,B25101_027E,B25101_027M,B25101_028E,B25101_028M,B25101_029E,B25101_029M,B25101_030E,B25101_030M,B25101_031E,B25101_031M,B25101_032E,B25101_032M,B25101_033E,B25101_033M,B25101_034E,B25101_034M,B25101_035E,B25101_035M,B25101_036E,B25101_036M,B25101_037E,B25101_037M,B25101_038E,B25101_038M,B25101_039E,B25101_039M,B25101_040E,B25101_040M,B25101_041E,B25101_041M,B25101_042E,B25101_042M,B25101_043E,B25101_043M,B25101_044E,B25101_044M,B25101_045E,B25101_045M,NAME,B25101_001EA,B25101_001MA,B25101_002EA,B25101_002MA,B25101_003MA,B25101_003EA,B25101_004MA,B25101_004EA,B25101_005EA,B25101_005MA,B25101_006EA,B25101_006MA,B25101_007EA,B25101_007MA,B25101_008EA,B25101_008MA,B25101_009MA,B25101_009EA,B25101_010MA,B25101_010EA,B25101_011EA,B25101_011MA,B25101_012EA,B25101_012MA,B25101_013MA,B25101_013EA,B25101_014MA,B25101_014EA,B25101_015MA,B25101_015EA,B25101_016MA,B25101_016EA,B25101_017EA,B25101_017MA,B25101_018EA,B25101_018MA,B25101_019MA,B25101_019EA,B25101_020MA,B25101_020EA,B25101_021MA,B25101_021EA,B25101_022MA,B25101_022EA,B25101_023EA,B25101_023MA,B25101_024MA,B25101_024EA,B25101_025MA,B25101_025EA,B25101_026MA,B25101_026EA,B25101_027MA,B25101_027EA,B25101_028EA,B25101_028MA,B25101_029EA,B25101_029MA,B25101_030EA,B25101_030MA,B25101_031MA,B25101_031EA,B25101_032MA,B25101_032EA,B25101_033EA,B25101_033MA,B25101_034EA,B25101_034MA,B25101_035EA,B25101_035MA,B25101_036MA,B25101_036EA,B25101_037MA,B25101_037EA,B25101_038MA,B25101_038EA,B25101_039EA,B25101_039MA,B25101_040EA,B25101_040MA,B25101_041EA,B25101_041MA,B25101_042MA,B25101_042EA,B25101_043MA,B25101_043EA,B25101_044EA,B25101_044MA,B25101_045EA,B25101_045MA,state
0400000US01,1289272,11970,789058,11033,79632,4378,229,237,2197,657,77206,4176,113677,4039,8055,1267,32096,2903,73526,3378,119055,5035,29535,2496,50197,3365,39323,2895,185633,6387,96734,4955,64504,3663,24395,2349,287080,7281,216557,6346,57470,3293,13053,1657,3981,988,500214,8788,154115,5696,46504,3213,39008,2334,68603,4195,113725,5211,94873,4660,14669,1783,4183,876,77066,3297,75228,3325,1549,581,289,218,76240,4325,75554,4320,508,412,178,238,73208,3261,73054,3236,102,117,52,86,5860,1264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,102554,3334,6000,1153,52,51,120,76,5828,1150,7118,1116,207,89,1069,344,5842,1046,9866,1197,795,311,3542,876,5529,977,22262,1904,3522,792,7386,1175,11354,1718,57102,2783,30239,2095,20383,1862,6480,1110,206,212,45695,2226,7717,1076,2186,556,1377,430,4154,736,7330,978,3932,768,2837,664,561,256,7105,1192,5999,1066,888,364,218,212,8658,981,8600,983,58,70,0,235,14695,1413,14461,1420,234,184,0,235,190,188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,1084174,13330,68643,3938,238,201,1349,559,67056,3950,128584,5389,5362,1160,19533,1890,103689,4804,162665,6016,16972,1918,49717,3067,95976,4889,248116,7203,59731,3957,103141,4285,85244,4566,469935,8609,275520,7011,141308,5480,53107,3439,6231,1457,438867,6668,106761,5103,34518,2934,24160,2352,48083,3496,98847,4380,78598,3655,15156,1926,5093,1003,74723,3374,71655,3119,2682,824,386,251,69878,3311,69343,3370,400,348,135,158,82299,3554,82062,3553,164,162,73,119,6359,1176,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,439018,9299,42837,3507,273,189,1544,544,41020,3489,67777,3774,5749,1263,20630,2026,41398,2990,77347,4354,24524,2214,32129,2716,20694,2448,107498,4727,62997,3882,34147,2717,10354,1339,142035,5607,116511,4951,20742,2035,4782,966,1524,659,314394,6698,92641,4143,30175,1904,27099,2083,35367,2716,77035,3575,65803,3289,9026,1397,2206,752,52410,2788,51679,2772,619,341,112,124,47681,3158,47450,3160,231,156,0,257,41140,2953,41089,2946,51,86,0,257,3487,904,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,5431478,25319,263305,9535,627,382,3978,948,258700,9457,423308,9781,7738,1277,25350,2385,390220,9763,563793,10763,25198,2092,76099,4346,462496,9222,1047813,14907,105710,4810,240086,6504,702017,11894,3111359,24139,1083783,15153,1026402,17343,1001174,13552,21900,2584,1670719,15863,330931,8217,75488,3616,63895,4075,191548,6308,327941,7320,203497,6137,73794,4250,50650,3697,250666,6923,211219,5821,30113,2472,9334,1446,281662,7509,265553,7058,12704,1493,3405,838,462863,9145,456642,9053,4740,992,1481,601,16656,2210,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,980544,9125,51678,3087,87,113,580,289,51011,3057,97323,4718,2460,694,8493,1259,86370,4515,127601,5345,8831,1361,30508,2655,88262,4815,215767,6729,35452,2791,87223,4200,93092,4847,485158,9095,252270,7095,174202,5720,58686,2688,3017,799,288877,5949,58816,3226,12304,1465,15702,1772,30810,2425,58316,3016,38966,2409,13952,1726,5398,870,49424,3497,45380,3300,3401,816,643,327,49467,2784,48416,2686,930,489,121,119,70068,3222,69692,3231,329,223,47,80,2786,893,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,665431,8070,22098,2343,49,80,107,126,21942,2361,40934,2538,675,383,1905,555,38354,2418,62356,3283,2956,754,10004,1302,49396,3240,133382,5006,14060,1779,42629,2951,76693,3687,404767,7235,184606,5110,143002,5378,77159,3915,1894,748,255951,5671,37040,2636,1097,413,3429,764,32514,2453,47386,2981,8362,1234,20421,2044,18603,1657,37547,2449,20621,2066,13254,1396,3672,743,45084,2498,38046,2204,5451,1089,1587,595,87333,3709,84269,3695,2459,760,605,254,1561,569,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,158699,3796,6844,1125,36,62,69,81,6739,1119,15459,2011,275,177,2041,743,13143,1804,21203,2267,2547,787,7136,1243,11520,1673,37262,2761,9788,1596,14755,1802,12719,1515,77792,2790,47860,2743,24384,2088,5548,847,139,136,79495,3215,16832,1958,4673,939,3498,836,8661,1405,18575,1829,12539,1530,4464,871,1572,597,14107,1473,12864,1420,1010,396,233,169,12956,1237,12858,1247,98,99,0,261,16641,1596,16628,1597,13,21,0,261,384,267,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,87339,3430,5170,1157,0,292,0,292,5170,1157,5974,1249,165,138,812,419,4997,1221,7566,1395,371,268,1449,596,5746,1155,12856,1515,1779,513,4305,877,6772,1181,55079,2951,27791,2339,16925,2102,10363,1463,694,360,27247,2073,4338,964,345,254,851,376,3142,860,3841,881,2067,653,1161,421,613,381,4171,950,3251,747,655,466,265,225,4327,1001,4170,974,0,292,157,185,10192,1518,10192,1518,0,292,0,292,378,241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,3283171,21249,266539,8283,748,510,4016,1017,261775,8487,427928,10399,11827,1784,53948,4463,362153,9620,494101,11390,46481,3521,132354,5184,315266,9531,758759,14224,171097,6896,276872,7474,310790,8621,1315759,15138,674226,12260,418486,10254,223047,6495,20085,2488,1710930,16837,415615,9381,80585,3436,89493,4150,245537,7786,378413,8966,228349,6653,96869,4793,53195,3507,271792,7860,224961,7132,35729,2640,11102,1363,278324,7901,256701,7407,17079,2059,4544,867,342099,8919,332734,8851,8149,1267,1216,401,24687,2695,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
