GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001EA,C17014_001MA,C17014_002MA,C17014_002EA,C17014_003MA,C17014_003EA,C17014_004EA,C17014_004MA,C17014_005EA,C17014_005MA,C17014_006EA,C17014_006MA,C17014_007MA,C17014_007EA,C17014_008MA,C17014_008EA,C17014_009EA,C17014_009MA,C17014_010MA,C17014_010EA,C17014_011MA,C17014_011EA,state
0400000US47,1597016,14242,198371,7192,74340,4832,98092,4963,21913,1993,4026,955,1398645,14379,163427,4872,426734,8977,660443,11869,148041,5362,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,5686517,26097,758920,13266,187216,6672,422331,11180,125471,5313,23902,2504,4927597,26315,434965,8684,1520313,16482,2357878,19499,614441,10551,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,614705,7570,47949,3421,9412,1646,24581,2866,12523,1975,1433,588,566756,7618,49421,2025,151198,5273,271620,6524,94517,3686,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,162721,4031,10965,1382,3970,925,5283,921,1558,537,154,128,151756,3835,15428,1198,38569,2058,78495,3114,19264,1629,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1939891,13414,131718,6055,42836,3626,71349,4603,15894,2630,1639,705,1808173,13397,173230,5492,520166,9898,887960,12447,226817,7413,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1595147,11686,127775,5616,37760,3317,68050,4491,19471,2502,2494,632,1467372,10953,160657,4067,433157,8608,710998,10992,162560,5077,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,502381,8278,63781,3822,25243,2315,30300,2555,7590,1289,648,414,438600,8484,78973,3138,136405,5350,181470,5831,41752,2454,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1456314,10842,106719,4531,28037,2673,59865,3548,15947,1920,2870,824,1349595,11109,142078,3404,334285,7224,694224,9219,179008,5211,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,136835,3589,8624,1448,1087,494,5838,1302,1636,643,63,92,128211,3791,13195,1216,33227,2633,65003,3218,16786,1869,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,939600,8997,391102,8928,198480,6198,152687,5185,34023,2895,5912,968,548498,8588,87631,3557,195341,5881,220954,7338,44572,2794,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
