GEO_ID,B07003_001E,B07003_001M,B07003_002E,B07003_002M,B07003_003E,B07003_003M,B07003_004E,B07003_004M,B07003_005E,B07003_005M,B07003_006E,B07003_006M,B07003_007E,B07003_007M,B07003_008E,B07003_008M,B07003_009E,B07003_009M,B07003_010E,B07003_010M,B07003_011E,B07003_011M,B07003_012E,B07003_012M,B07003_013E,B07003_013M,B07003_014E,B07003_014M,B07003_015E,B07003_015M,B07003_016E,B07003_016M,B07003_017E,B07003_017M,B07003_018E,B07003_018M,NAME,B07003_001MA,B07003_001EA,B07003_002EA,B07003_002MA,B07003_003MA,B07003_003EA,B07003_004EA,B07003_004MA,B07003_005MA,B07003_005EA,B07003_006MA,B07003_006EA,B07003_007MA,B07003_007EA,B07003_008MA,B07003_008EA,B07003_009MA,B07003_009EA,B07003_010EA,B07003_010MA,B07003_011EA,B07003_011MA,B07003_012EA,B07003_012MA,B07003_013MA,B07003_013EA,B07003_014MA,B07003_014EA,B07003_015EA,B07003_015MA,B07003_016EA,B07003_016MA,B07003_017EA,B07003_017MA,B07003_018MA,B07003_018EA,state
0400000US23,1307220,1378,638270,1543,668950,1579,1115860,10352,544718,5452,571142,6349,113853,8467,54398,4524,59455,5016,37073,3310,18156,2024,18917,2082,37670,4118,19759,2227,17911,2464,2764,876,1239,476,1525,612,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,5537790,3157,2675302,3500,2862488,3932,4691386,24481,2258185,13418,2433201,14852,430494,18990,208397,10230,222097,10567,190997,9832,95460,6141,95537,5479,180719,10008,89813,5870,90906,6182,44194,5499,23447,3494,20747,2892,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,6360114,3843,3078245,3677,3281869,3632,5450901,24652,2619081,14936,2831820,13365,528615,19564,266730,12686,261885,9954,190822,11464,97707,6667,93115,6389,141242,7304,71115,4540,70127,4525,48534,4672,23612,2706,24922,3024,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,9972014,4334,4906757,4323,5065257,4800,8525248,27812,4181235,15825,4344013,16385,912827,24617,441502,13968,471325,14553,359928,12264,193241,7861,166687,6707,138768,8537,73280,5463,65488,4274,35243,5195,17499,2836,17744,2832,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,5097380,2938,2531058,3260,2566322,3099,4350341,18105,2161684,10987,2188657,9813,388827,14312,190341,8359,198486,8288,222251,8819,111910,5532,110341,5163,111337,7753,56153,4472,55184,4345,24624,4007,10970,2209,13654,2297,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2865146,3257,1389142,4768,1476004,4196,2365282,19405,1136228,12141,1229054,10485,292110,12568,142141,8212,149969,6560,117788,8981,62136,5598,55652,4961,82208,8927,43734,5152,38474,5094,7758,2029,4903,1414,2855,1048,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5767935,3949,2813220,4890,2954715,4708,4739399,24223,2299482,13598,2439917,13687,577878,19990,278894,10352,298984,11828,268929,12421,140754,7171,128175,6918,162634,10588,84434,6032,78200,6086,19095,3506,9656,1953,9439,2015,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,933088,1541,465402,2107,467686,2201,767017,7402,381090,5018,385927,4529,89667,6501,46693,4216,42974,3558,36560,3923,18473,2514,18087,2275,36682,4098,17695,2134,18987,2483,3162,1126,1451,605,1711,736,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1740927,1942,862098,2178,878829,2117,1419386,11947,701531,6113,717855,7220,191379,10265,95458,5154,95921,6539,68302,5112,34163,3144,34139,3055,54353,5452,26608,2886,27745,3366,7507,1457,4338,972,3169,887,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2458244,2973,1254049,3421,1204195,3403,1899012,18468,958503,10481,940509,11352,364661,16460,193997,9222,170664,9188,25408,5028,14678,3210,10730,2941,150816,8828,76923,5156,73893,5464,18347,2942,9948,1746,8399,1892,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1300973,1519,640246,2270,660727,2266,1117984,11291,548309,7368,569675,5602,101110,8940,51849,5380,49261,4778,32317,3794,16605,2354,15712,2761,43504,5253,20739,3155,22765,2893,6058,1930,2744,859,3314,1452,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,8617328,4534,4207265,3613,4410063,4268,7602145,26760,3682156,16552,3919989,14618,569013,21921,292315,13106,276698,11544,229270,11846,120919,6717,108351,6900,153088,9373,79982,5490,73106,5751,63812,6700,31893,3940,31919,3889,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
