GEO_ID,C17024_001E,C17024_001M,C17024_002E,C17024_002M,C17024_003E,C17024_003M,C17024_004E,C17024_004M,C17024_005E,C17024_005M,C17024_006E,C17024_006M,C17024_007E,C17024_007M,C17024_008E,C17024_008M,C17024_009E,C17024_009M,C17024_010E,C17024_010M,C17024_011E,C17024_011M,C17024_012E,C17024_012M,C17024_013E,C17024_013M,C17024_014E,C17024_014M,C17024_015E,C17024_015M,C17024_016E,C17024_016M,C17024_017E,C17024_017M,C17024_018E,C17024_018M,C17024_019E,C17024_019M,C17024_020E,C17024_020M,C17024_021E,C17024_021M,C17024_022E,C17024_022M,C17024_023E,C17024_023M,C17024_024E,C17024_024M,C17024_025E,C17024_025M,C17024_026E,C17024_026M,C17024_027E,C17024_027M,C17024_028E,C17024_028M,NAME,C17024_001EA,C17024_001MA,C17024_002EA,C17024_002MA,C17024_003MA,C17024_003EA,C17024_004EA,C17024_004MA,C17024_005MA,C17024_005EA,C17024_006EA,C17024_006MA,C17024_007EA,C17024_007MA,C17024_008MA,C17024_008EA,C17024_009EA,C17024_009MA,C17024_010EA,C17024_010MA,C17024_011EA,C17024_011MA,C17024_012EA,C17024_012MA,C17024_013EA,C17024_013MA,C17024_014EA,C17024_014MA,C17024_015EA,C17024_015MA,C17024_016MA,C17024_016EA,C17024_017EA,C17024_017MA,C17024_018EA,C17024_018MA,C17024_019EA,C17024_019MA,C17024_020EA,C17024_020MA,C17024_021MA,C17024_021EA,C17024_022EA,C17024_022MA,C17024_023EA,C17024_023MA,C17024_024EA,C17024_024MA,C17024_025EA,C17024_025MA,C17024_026EA,C17024_026MA,C17024_027MA,C17024_027EA,C17024_028MA,C17024_028EA,state
0400000US01,4482152,2720,1098926,3152,126164,8750,126944,8446,63530,5806,193764,10453,200284,9925,144460,7139,96932,6521,146848,7003,2799217,2233,189547,8187,225978,9502,124320,8230,397658,11072,486404,14775,407724,10747,310852,11667,656734,12275,584009,2170,12711,1971,60720,3786,42672,3354,120474,5668,116667,4860,76269,4009,51072,3537,103424,4498,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,651997,1058,174953,1399,10592,2137,15853,3851,6472,1595,26361,3283,37071,4492,27156,3455,17014,2342,34434,2969,433969,1215,18177,2446,24467,3163,13705,1975,44432,4438,66259,4898,61550,4719,51586,4250,153793,5314,43075,1002,627,262,1203,500,1719,487,6637,1206,7300,1168,5134,1094,5818,1156,14637,1614,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6052150,12167,1596667,4200,133618,11744,178245,11582,103206,10164,309708,14681,294601,13736,211056,11785,132752,8710,233481,9016,3679239,12027,235607,12052,247931,12243,137628,8827,505100,18424,600711,19299,532329,18272,408781,15777,1011152,18895,776244,1438,18635,2130,43313,3618,37932,3098,122392,6380,162826,7071,120412,5126,80621,4876,190113,6734,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2729090,2973,676559,4024,73890,6086,90655,7394,46917,4988,132699,7000,129299,7244,85311,6298,45519,4050,72269,5030,1682935,3742,112275,7184,148926,8739,86339,5568,259075,10337,322342,11304,246504,10917,179655,8336,327819,9432,369596,2071,8180,1347,37229,2426,27388,2630,80972,3910,77057,4305,50166,3158,29687,3020,58917,3592,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35675356,7967,9376631,8496,633660,21941,1063364,32843,568084,22911,1598549,29093,1598196,30779,1111000,24710,815815,22614,1987963,25326,22490626,4427,1205479,25021,1468067,29501,901241,23146,2838576,43233,3458647,46978,2889521,38585,2312329,41096,7416766,47432,3808099,3894,100122,6251,219448,6967,252857,9351,588078,13278,653075,13216,520929,11795,381213,10933,1092377,15025,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4653251,2663,1150657,2991,81764,7505,98316,7152,61032,6881,170763,9167,204718,11212,163020,8231,121164,7578,249880,8763,3041515,2490,161733,7512,175841,8199,95693,7028,334843,10439,461547,14858,426478,12502,360300,11196,1025080,17638,461079,1974,11528,1916,26971,2332,22953,2234,72897,3765,83654,3451,71938,4665,46833,3770,124305,4478,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3393432,2120,805037,2294,40787,4876,47795,5864,25731,4103,89937,7692,119021,7510,117021,6275,102459,6680,262286,7652,2144767,1620,76820,5381,87592,5718,44393,4308,158481,8291,264401,10891,284507,9196,285422,10233,943151,13964,443628,1557,8200,1424,18914,1912,19630,2109,65787,4398,76070,4066,68315,4046,48112,3533,138600,4295,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,828673,1089,199655,1436,13514,3324,18051,3960,6364,2306,24628,3410,40475,4401,30571,4281,23984,3419,42068,4007,518994,845,25446,2556,27344,4215,12245,2393,45588,3780,78965,6207,79727,6404,69511,4826,180168,7552,110024,775,1817,701,5790,1322,3963,789,18074,1829,23692,1810,17605,1993,12580,1785,26503,2200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,551161,908,112439,998,19393,3664,17285,3529,4937,1968,17648,3493,13045,2658,8254,2204,5111,1879,26766,2552,370468,713,35673,4007,25391,3198,10302,2223,32415,3410,46398,4442,40882,4428,34021,4116,145386,5591,68254,625,2547,865,7811,1349,3358,1026,8430,1415,9430,1497,6877,1372,6130,1237,23671,1807,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17686295,6001,3945049,6516,272616,16323,416699,19263,238880,14655,707886,18187,760071,21761,528294,17240,353867,11110,666736,16293,10789487,3761,578700,16052,661312,18099,407227,14316,1420067,27540,1933797,33229,1625362,30211,1254155,26013,2908867,32869,2951759,3602,73102,5534,224158,8543,158057,7402,506501,10108,569407,10986,426678,10884,301600,8871,692256,12781,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9082715,5257,2400985,5595,223251,13384,261274,12622,137357,9681,401963,16502,427407,14377,313673,13606,208411,9501,427649,11974,5810284,4471,349913,13856,389277,13025,225606,10843,741001,18871,958403,22299,867734,22523,644163,18388,1634187,24332,871446,3204,23501,2409,86308,4659,56927,3938,151529,6245,155285,5893,118852,5259,78733,4254,200311,6723,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
