GEO_ID,C17005_001E,C17005_001M,C17005_002E,C17005_002M,C17005_003E,C17005_003M,C17005_004E,C17005_004M,C17005_005E,C17005_005M,C17005_006E,C17005_006M,C17005_007E,C17005_007M,C17005_008E,C17005_008M,C17005_009E,C17005_009M,C17005_010E,C17005_010M,C17005_011E,C17005_011M,NAME,C17005_001MA,C17005_001EA,C17005_002EA,C17005_002MA,C17005_003EA,C17005_003MA,C17005_004MA,C17005_004EA,C17005_005MA,C17005_005EA,C17005_006EA,C17005_006MA,C17005_007EA,C17005_007MA,C17005_008EA,C17005_008MA,C17005_009EA,C17005_009MA,C17005_010MA,C17005_010EA,C17005_011MA,C17005_011EA,state
0400000US01,3502035,4165,513883,14049,198666,8407,146259,7179,52407,4424,315217,10913,2988152,14720,1951434,16488,1857572,15475,93862,5503,1036718,14198,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,490456,1936,46566,3961,25300,2407,18140,2199,7160,1475,21266,2749,443890,4856,327636,6014,301826,6227,25810,2409,116254,3929,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4619138,12186,576458,17206,236117,11272,195138,9535,40979,4413,340341,12271,4042680,16078,2692864,18084,2591975,17169,100889,5748,1349816,14470,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2125581,3947,320905,10467,140583,6763,107063,6089,33520,2871,180322,7278,1804676,11337,1197870,10540,1138783,11458,59087,3709,606806,8103,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27301585,10839,3164047,45188,1356459,24366,1051870,20266,304589,11122,1807588,27145,24137538,46444,16501928,46939,15629780,43968,872148,19114,7635610,34843,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3613380,4295,391647,11246,191229,8363,153077,8260,38152,3252,200418,7384,3221733,11929,2373559,14603,2271918,14711,101641,5314,848174,10957,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2681461,3385,201581,8179,86149,5054,60888,4477,25261,2849,115432,6003,2479880,9177,1771210,11437,1682171,11523,89039,4903,708670,10489,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,648525,1628,63110,5097,26370,3169,20632,2628,5738,1596,36740,3456,585415,5315,402351,6498,383353,6349,18998,2511,183064,5148,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,449340,1357,74815,5443,27757,3081,16576,2393,11181,2096,47058,4298,374525,5567,279881,5843,264575,5441,15306,2258,94644,3238,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14170318,8522,1610586,27665,621281,16942,495378,14241,125903,7125,989305,20081,12559732,27706,8176302,30899,7825919,29619,350383,9424,4383430,26907,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
