GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001MA,C21001I_001EA,C21001I_002MA,C21001I_002EA,C21001I_003MA,C21001I_003EA,C21001I_004MA,C21001I_004EA,C21001I_005EA,C21001I_005MA,C21001I_006MA,C21001I_006EA,C21001I_007MA,C21001I_007EA,C21001I_008EA,C21001I_008MA,C21001I_009EA,C21001I_009MA,C21001I_010EA,C21001I_010MA,C21001I_011MA,C21001I_011EA,C21001I_012MA,C21001I_012EA,C21001I_013MA,C21001I_013EA,C21001I_014MA,C21001I_014EA,C21001I_015MA,C21001I_015EA,state
0400000US01,70326,1536,39165,1547,38416,1591,2619,807,35797,1409,749,365,516,329,233,177,31161,1362,29276,1280,543,305,28733,1329,1885,572,102,164,1783,604,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22957,834,12021,771,11707,793,1358,535,10349,860,314,177,282,173,32,55,10936,539,10597,579,269,267,10328,668,339,256,0,235,339,256,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1125780,1019,588438,1117,553218,1260,35924,3200,517294,3539,35220,638,12947,1498,22273,1436,537342,681,491259,889,3400,1010,487859,1306,46083,580,348,217,45735,614,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,85519,1406,49398,1666,47958,1706,1785,614,46173,1649,1440,486,534,371,906,393,36121,1423,34881,1318,272,236,34609,1359,1240,570,0,257,1240,570,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8451979,2139,4349319,2273,4073701,2522,174528,7511,3899173,7953,275618,1045,67267,4081,208351,4028,4102660,1555,3726030,1612,17595,2366,3708435,2827,376630,933,2056,664,374574,1230,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,607955,774,323554,877,302528,1137,24416,2236,278112,2527,21026,845,9805,1152,11221,1063,284401,849,258705,1012,1912,761,256793,1202,25696,772,264,202,25432,836,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,264020,227,132634,622,125227,488,5629,1088,119598,1126,7407,440,1646,533,5761,587,131386,631,121164,546,550,431,120614,681,10222,412,0,269,10222,412,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33686,136,18037,388,17429,495,1065,526,16364,468,608,318,169,191,439,286,15649,415,14573,641,32,52,14541,676,1076,431,0,261,1076,431,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36347,346,19242,152,18326,152,555,334,17771,383,916,2,0,292,916,2,17105,266,15456,267,47,78,15409,282,1649,0,0,292,1649,4,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,11
0400000US12,2680432,2295,1346855,3134,1193101,2929,74795,4643,1118306,4741,153754,1165,19202,1940,134552,2169,1333577,2131,1118749,2369,7449,1492,1111300,2859,214828,1020,808,379,214020,1096,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,443786,2670,266403,2908,260756,2991,9083,1632,251673,3152,5647,1213,1273,620,4374,1114,177383,1888,169294,2275,1077,430,168217,2206,8089,1147,38,68,8051,1145,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,60473,957,30183,960,28125,975,4182,886,23943,1192,2058,173,797,258,1261,299,30290,425,27861,437,905,445,26956,642,2429,339,113,155,2316,362,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,83827,618,45641,948,43402,921,2074,727,41328,1135,2239,475,796,326,1443,414,38186,892,35686,1096,116,187,35570,1097,2500,770,0,253,2500,770,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1228477,1804,660503,1527,628300,1657,23762,2492,604538,2828,32203,834,6116,933,26087,1103,567974,1497,528299,1608,1820,805,526479,1788,39675,1024,128,153,39547,1017,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,192264,2104,107094,1648,102995,1554,5536,1175,97459,1866,4099,533,866,383,3233,584,85170,1713,80109,1664,420,325,79689,1717,5061,869,0,263,5061,869,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,68207,1196,38197,1193,36740,1218,1413,521,35327,1225,1457,583,802,391,655,379,30010,983,28477,1006,144,113,28333,1023,1533,507,0,221,1533,507,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,146777,1008,78860,1234,75428,1297,4122,894,71306,1372,3432,705,1347,475,2085,616,67917,1038,63588,1115,647,456,62941,1157,4329,727,0,237,4329,727,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,54667,2440,34994,2163,34019,2156,3121,940,30898,2145,975,411,564,321,411,293,19673,1185,18308,1247,422,235,17886,1210,1365,540,0,267,1365,540,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,91859,1908,48811,2094,44218,2103,3589,805,40629,2118,4593,710,1636,561,2957,709,43048,1470,36616,1379,884,530,35732,1498,6432,988,0,267,6432,988,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7945,892,4542,825,4182,823,699,446,3483,818,360,159,189,144,171,161,3403,656,3165,650,17,34,3148,646,238,143,0,223,238,143,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,228763,1332,121000,1247,115917,1287,7244,1443,108673,1790,5083,452,1407,667,3676,594,107763,1138,99622,1052,3704,1064,95918,1396,8141,521,0,277,8141,521,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,342961,472,168372,834,159941,710,5722,1330,154219,1694,8431,444,1321,523,7110,623,174589,903,162105,950,825,612,161280,1198,12484,551,0,277,12484,551,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
