GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001MA,B12002I_001EA,B12002I_002EA,B12002I_002MA,B12002I_003EA,B12002I_003MA,B12002I_004MA,B12002I_004EA,B12002I_005MA,B12002I_005EA,B12002I_006MA,B12002I_006EA,B12002I_007EA,B12002I_007MA,B12002I_008EA,B12002I_008MA,B12002I_009MA,B12002I_009EA,B12002I_010MA,B12002I_010EA,B12002I_011EA,B12002I_011MA,B12002I_012MA,B12002I_012EA,B12002I_013EA,B12002I_013MA,state
0400000US01,76143,1815,42798,1592,18506,1848,20378,1830,1255,604,635,369,2024,601,33345,1680,9122,1401,18546,1876,1873,804,1365,656,2439,776,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26018,945,13833,930,6297,1080,5626,865,483,384,38,50,1389,542,12185,591,3446,765,6832,962,388,348,373,416,1146,562,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1224458,829,640036,898,269071,5919,302967,7487,14404,2246,8981,1659,44613,3912,584422,934,198026,5744,277732,6737,25298,3024,28280,2339,55086,3721,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,92112,1639,53132,1804,19619,1761,28629,2171,1388,618,600,385,2896,927,38980,1576,12767,1544,20027,2093,1604,625,1657,697,2925,822,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9183457,565,4731533,1740,2045175,16192,2265492,17330,117313,6817,61087,4172,242466,7923,4451924,1741,1591624,14935,2057659,16998,212704,8804,242448,7619,347489,8989,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,655089,1140,348232,1075,125600,5420,180004,5603,8183,1633,6244,1319,28201,3043,306857,1082,95155,4043,151285,5555,13271,2180,15658,1830,31488,2805,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,285256,478,143748,883,66220,2592,60764,3467,4177,982,1562,738,11025,1686,141508,777,57194,2677,55820,3035,6623,1545,5653,1152,16218,2198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36538,304,19727,479,9068,1131,7893,1343,926,431,511,394,1329,726,16811,391,5966,899,7520,1070,1098,744,850,487,1377,746,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,38250,0,20202,0,12025,1206,6676,1223,355,341,172,195,974,490,18048,0,8554,1090,7046,1213,827,497,415,324,1206,590,District of Columbia,*****,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2836512,2549,1429653,3174,492515,10159,747114,11977,42906,4146,25339,2763,121779,6465,1406859,2717,368025,7903,679078,10077,63422,4827,113128,4903,183206,7463,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,476289,2743,285808,3419,116188,5781,143849,5405,12036,2588,1680,774,12055,2075,190481,2275,58859,3549,103737,4348,7432,1734,6551,1328,13902,2453,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69056,167,36001,509,15812,1428,15544,1646,351,200,354,238,3940,948,33055,543,11517,1169,15084,1607,659,377,1275,479,4520,1027,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,92631,984,50266,1142,16405,1852,28926,1750,1258,668,467,309,3210,1019,42365,1004,12605,1348,23321,1429,1473,631,1278,636,3688,885,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1321841,1860,708900,1634,303878,6754,347988,7663,15954,2497,8025,1425,33055,3611,612941,1726,208803,5165,302661,6727,23364,2825,29718,2876,48395,4021,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
