GEO_ID,C08011_001E,C08011_001M,C08011_002E,C08011_002M,C08011_003E,C08011_003M,C08011_004E,C08011_004M,C08011_005E,C08011_005M,C08011_006E,C08011_006M,C08011_007E,C08011_007M,C08011_008E,C08011_008M,C08011_009E,C08011_009M,C08011_010E,C08011_010M,C08011_011E,C08011_011M,C08011_012E,C08011_012M,C08011_013E,C08011_013M,C08011_014E,C08011_014M,C08011_015E,C08011_015M,C08011_016E,C08011_016M,C08011_017E,C08011_017M,C08011_018E,C08011_018M,C08011_019E,C08011_019M,C08011_020E,C08011_020M,C08011_021E,C08011_021M,C08011_022E,C08011_022M,C08011_023E,C08011_023M,C08011_024E,C08011_024M,C08011_025E,C08011_025M,C08011_026E,C08011_026M,C08011_027E,C08011_027M,C08011_028E,C08011_028M,C08011_029E,C08011_029M,C08011_030E,C08011_030M,C08011_031E,C08011_031M,C08011_032E,C08011_032M,C08011_033E,C08011_033M,NAME,C08011_001MA,C08011_001EA,C08011_002MA,C08011_002EA,C08011_003EA,C08011_003MA,C08011_004EA,C08011_004MA,C08011_005MA,C08011_005EA,C08011_006MA,C08011_006EA,C08011_007MA,C08011_007EA,C08011_008EA,C08011_008MA,C08011_009EA,C08011_009MA,C08011_010EA,C08011_010MA,C08011_011MA,C08011_011EA,C08011_012MA,C08011_012EA,C08011_013EA,C08011_013MA,C08011_014EA,C08011_014MA,C08011_015EA,C08011_015MA,C08011_016EA,C08011_016MA,C08011_017MA,C08011_017EA,C08011_018MA,C08011_018EA,C08011_019MA,C08011_019EA,C08011_020MA,C08011_020EA,C08011_021EA,C08011_021MA,C08011_022MA,C08011_022EA,C08011_023MA,C08011_023EA,C08011_024MA,C08011_024EA,C08011_025EA,C08011_025MA,C08011_026MA,C08011_026EA,C08011_027EA,C08011_027MA,C08011_028MA,C08011_028EA,C08011_029MA,C08011_029EA,C08011_030EA,C08011_030MA,C08011_031MA,C08011_031EA,C08011_032EA,C08011_032MA,C08011_033EA,C08011_033MA,state
0400000US01,1915474,13884,101441,4788,93665,5046,119698,5818,201452,8048,238256,8016,308668,7521,250969,7817,141155,5097,61746,3936,398424,9876,1033655,9405,69674,3621,70523,4575,80741,4463,134508,5835,133815,5380,146558,5616,105112,4581,67719,3873,25798,2500,199207,7100,881819,9139,31767,3385,23142,2382,38957,3682,66944,4464,104441,4976,162110,4947,145857,5364,73436,3688,35948,2896,199217,6503,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,301317,5413,10343,1792,7671,1348,14421,1864,20582,2311,31900,3100,39919,3299,50934,3097,29373,2446,21761,2129,74413,4191,162370,3594,7629,1432,6172,1170,10377,1619,14631,1944,19213,2236,21984,2231,25758,2350,13547,1680,8139,1374,34920,2622,138947,4116,2714,904,1499,532,4044,965,5951,1062,12687,1722,17935,1913,25176,2240,15826,1746,13622,1495,39493,3490,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2607603,15159,184946,8206,168178,8526,162156,6907,278535,10500,250333,8277,369656,12203,286303,9092,237176,9958,114619,6415,555701,14379,1475936,8836,143684,7311,134576,7715,110838,6024,181262,8334,135129,5950,191876,8305,128644,6148,111272,5992,49939,4526,288716,9984,1131667,12257,41262,3146,33602,2552,51318,3993,97273,5478,115204,5247,177780,6503,157659,6801,125904,6170,64680,4214,266985,9163,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1183726,11169,56351,3668,43303,2959,72855,4417,108734,4479,141108,5055,188561,8154,182684,6533,92885,4470,40472,3167,256773,8639,637068,7895,38076,3367,30061,2507,46655,3554,70229,3561,85751,4100,98250,5335,80068,3948,44531,3542,14676,1918,128771,6356,546658,7445,18275,2053,13242,1865,26200,2619,38505,2590,55357,3469,90311,4947,102616,4989,48354,2865,25796,2315,128002,5445,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15556756,39755,821375,17138,693295,15830,781496,16256,1430693,22297,1406396,18689,2178139,25599,1787606,22082,1791544,23145,886542,14078,3779670,34702,8768812,26192,615468,13701,526976,13453,549178,13413,991745,17295,832296,15595,1180712,16983,830105,15806,892261,17090,413287,9545,1936784,23238,6787944,29064,205907,8890,166319,6330,232318,8177,438948,11756,574100,12594,997427,17740,957501,15022,899283,16750,473255,9987,1842886,19905,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2255390,12412,84255,4609,70506,5078,110393,5441,203357,8136,245672,8093,346722,8001,315228,8751,278487,8714,120371,6266,480399,9739,1252175,9745,59113,3922,51518,4492,74899,4662,137213,6188,145001,6534,192069,5924,159986,6105,146275,6126,51181,4287,234920,6536,1003215,9815,25142,2294,18988,2387,35494,2571,66144,4401,100671,4314,154653,5325,155242,5715,132212,5930,69190,4432,245479,6657,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1655510,12064,40866,3968,39669,3839,67906,4005,138115,6518,188836,6960,244522,8358,229083,7223,205818,7198,121213,5135,379482,9969,878036,7607,30672,3084,29873,3058,48263,3285,92017,4986,120251,5769,136283,6142,106404,4522,92114,4843,46713,3192,175446,6306,777474,8644,10194,1840,9796,1846,19643,1845,46098,3776,68585,3965,108239,4503,122679,4830,113704,5384,74500,3916,204036,6334,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,387917,5891,12026,1870,11944,1755,16708,2072,33606,3144,43449,3323,61385,3621,56383,3559,39345,3091,23863,2691,89208,4810,203101,3975,9319,1550,9538,1605,12321,1807,22835,2572,25138,2389,31358,2579,25576,2358,18166,2006,9196,1659,39654,3074,184816,4566,2707,996,2406,769,4387,1149,10771,1493,18311,2045,30027,2395,30807,2715,21179,2156,14667,2089,49554,3915,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,272509,4297,7638,1367,9356,1808,8298,1640,17401,2142,16265,2246,33256,2853,33539,2768,46047,3376,36781,3215,63928,3820,130973,3014,4495,1117,5515,1393,4591,1171,8645,1618,7423,1421,15592,1995,14103,1736,21159,2429,16157,2037,33293,2824,141536,3757,3143,924,3841,1088,3707,1093,8756,1607,8842,1624,17664,2122,19436,2457,24888,2468,20624,2341,30635,2390,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7816743,29826,261942,8666,217895,8820,328720,11513,734761,15262,849876,14718,1239330,16800,980191,17404,930335,17947,470351,11873,1803342,21090,4241941,20160,185431,7450,163303,7754,233164,8231,502477,12533,503723,11707,657164,14502,446651,11501,452580,13080,205888,7768,891560,13527,3574802,21093,76511,4510,54592,4259,95556,6179,232284,8221,346153,10283,582166,11558,533540,10785,477755,12191,264463,7971,911782,16289,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
