GEO_ID,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,NAME,C15002I_001MA,C15002I_001EA,C15002I_002MA,C15002I_002EA,C15002I_003EA,C15002I_003MA,C15002I_004MA,C15002I_004EA,C15002I_005MA,C15002I_005EA,C15002I_006EA,C15002I_006MA,C15002I_007MA,C15002I_007EA,C15002I_008EA,C15002I_008MA,C15002I_009MA,C15002I_009EA,C15002I_010MA,C15002I_010EA,C15002I_011EA,C15002I_011MA,state
0400000US01,53801,2193,30242,1677,14482,1681,8719,1402,3782,851,3259,878,23559,1490,7972,1204,6583,1198,5150,908,3854,803,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,18280,993,9221,806,2220,759,3153,748,2576,814,1272,450,9059,739,2150,852,2619,710,2520,735,1770,731,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,922119,2297,479153,932,194083,7264,138956,6881,103521,5654,42593,3576,442966,1873,169023,6696,123667,6170,104821,5413,45455,3826,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,68411,1802,39757,1716,21929,1742,10827,1619,4092,1067,2909,950,28654,1459,13619,1375,7709,1350,5047,1029,2279,669,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6901288,1983,3537155,1677,1588745,18383,977237,18534,656087,13503,315086,9750,3364133,1590,1458391,16193,861126,13900,714838,11437,329778,8065,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,505737,2037,268395,1315,107225,5303,84937,4805,48441,3235,27792,2660,237342,1465,84303,3844,68776,3691,55998,3340,28265,2172,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,218931,1075,108525,955,35420,3139,39402,2921,20877,2250,12826,1888,110406,806,33018,2503,36930,2758,24842,2527,15616,1978,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27374,599,14659,491,7352,1346,4086,1257,2015,646,1206,531,12715,579,4710,951,4441,1154,1533,554,2031,712,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30777,4,16358,3,7461,1446,2677,1035,1714,690,4506,1096,14419,3,6037,1154,1471,671,1399,675,5512,905,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2307316,2939,1150067,3064,323815,11550,340199,10980,244408,8032,241645,8703,1157249,2023,292662,8596,324299,9902,285769,8253,254519,7822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,365784,3213,220379,3134,108255,5063,60855,4380,29082,3306,22187,2926,145405,1977,62709,3546,36376,3338,24256,2100,22064,2942,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,51152,639,25956,396,2871,688,11796,1454,7503,1289,3786,1045,25196,628,2463,580,8935,1205,8889,1144,4909,993,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,66673,1366,36291,1000,17986,1634,9159,1418,5909,1102,3237,983,30382,1080,14780,1523,7768,1082,5225,1068,2609,927,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
