GEO_ID,B11001F_001E,B11001F_001M,B11001F_002E,B11001F_002M,B11001F_003E,B11001F_003M,B11001F_004E,B11001F_004M,B11001F_005E,B11001F_005M,B11001F_006E,B11001F_006M,B11001F_007E,B11001F_007M,B11001F_008E,B11001F_008M,B11001F_009E,B11001F_009M,NAME,B11001F_001EA,B11001F_001MA,B11001F_002MA,B11001F_002EA,B11001F_003EA,B11001F_003MA,B11001F_004MA,B11001F_004EA,B11001F_005MA,B11001F_005EA,B11001F_006EA,B11001F_006MA,B11001F_007EA,B11001F_007MA,B11001F_008MA,B11001F_008EA,B11001F_009MA,B11001F_009EA,state
0400000US01,8554,1371,6478,1205,4002,974,2476,676,1708,545,768,372,2076,668,1211,623,865,386,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3435,887,2327,742,1630,623,697,439,98,100,599,445,1108,644,703,453,405,371,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172718,6117,136845,5388,90473,4804,46372,3542,13706,1734,32666,3006,35873,3368,26503,2841,9370,1657,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17266,2153,14253,1694,8571,1814,5682,1244,3697,1106,1985,577,3013,1126,1779,675,1234,804,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1550822,15040,1306489,14997,854372,12050,452117,10966,160796,7429,291321,9867,244333,8001,165163,7379,79170,5148,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,99784,3771,79018,3686,52597,3302,26421,2792,9468,1803,16953,2208,20766,2090,15024,1840,5742,1163,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54207,2915,41946,2773,19207,1902,22739,2231,5944,1248,16795,1815,12261,1591,8515,1534,3746,907,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5112,860,3990,798,2375,690,1615,513,925,423,690,380,1122,592,651,482,471,375,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8410,1304,5230,1111,3327,1123,1903,701,757,484,1146,541,3180,1079,2290,976,890,489,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222371,8260,170279,7394,108855,5871,61424,4009,20611,2537,40813,3299,52092,4377,32877,3411,19215,2334,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,87410,4163,67548,3990,43452,4256,24096,2804,12797,1839,11299,2073,19862,2862,10092,1941,9770,1859,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5035,1063,3305,773,2428,618,877,463,161,192,716,414,1730,732,1186,632,544,356,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
