GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002EA,B05003A_002MA,B05003A_003EA,B05003A_003MA,B05003A_004MA,B05003A_004EA,B05003A_005MA,B05003A_005EA,B05003A_006MA,B05003A_006EA,B05003A_007EA,B05003A_007MA,B05003A_008EA,B05003A_008MA,B05003A_009MA,B05003A_009EA,B05003A_010MA,B05003A_010EA,B05003A_011MA,B05003A_011EA,B05003A_012MA,B05003A_012EA,B05003A_013EA,B05003A_013MA,B05003A_014EA,B05003A_014MA,B05003A_015MA,B05003A_015EA,B05003A_016MA,B05003A_016EA,B05003A_017MA,B05003A_017EA,B05003A_018EA,B05003A_018MA,B05003A_019EA,B05003A_019MA,B05003A_020MA,B05003A_020EA,B05003A_021MA,B05003A_021EA,B05003A_022MA,B05003A_022EA,B05003A_023MA,B05003A_023EA,state
0400000US01,3237958,4503,1588256,3440,369156,2290,365927,2269,3229,925,713,469,2516,895,1219100,2276,1188953,2243,30147,2804,7179,1288,22968,2575,1649702,3173,345882,2231,342708,2271,3174,829,667,343,2507,756,1303820,1766,1276650,2527,27170,2304,10565,1440,16605,1777,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,460170,2621,240263,1797,55186,1050,54538,1073,648,365,336,258,312,268,185077,1253,177872,1748,7205,1550,2950,854,4255,1250,219907,1581,52612,839,52294,813,318,313,143,142,175,228,167295,1129,159702,1812,7593,1429,3969,874,3624,1094,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4741310,21386,2367371,12525,584924,6551,548569,6976,36355,4170,3849,1182,32506,4162,1782447,8475,1514212,8072,268235,9506,70832,5528,197403,9089,2373939,11529,553003,6515,520119,7582,32884,4333,3839,1185,29045,3969,1820936,7156,1574400,9393,246536,8579,85762,4835,160774,7125,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2208224,5887,1083927,3941,253413,2512,251293,2352,2120,842,179,173,1941,825,830514,2912,807798,2058,22716,3055,6235,1229,16481,2545,1124297,3694,243669,2321,241494,2254,2175,804,361,320,1814,717,880628,1969,861457,1999,19171,2051,7331,1305,11840,1531,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21810156,62036,10926748,34215,2643401,20663,2499785,20502,143616,8100,16282,2678,127334,7241,8283347,20548,6427397,21690,1855950,23087,704011,15930,1151939,17922,10883408,32627,2492617,16397,2354653,15128,137964,7423,17233,2505,120731,7242,8390791,21818,6598004,22803,1792787,24424,783799,15569,1008988,19839,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3934971,14748,1970379,8768,464579,4639,449763,4320,14816,2514,1506,539,13310,2445,1505800,6326,1382045,5929,123755,5883,31655,2543,92100,5852,1964592,7791,442049,3834,426418,4010,15631,2156,1465,639,14166,2136,1522543,5228,1408830,5306,113713,4921,39914,3052,73799,4472,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2800344,9041,1358458,5371,306935,2169,298413,2446,8522,1561,2205,847,6317,1345,1051523,4739,944436,5453,107087,5691,53207,4049,53880,4086,1441886,5249,294161,2564,284889,2992,9272,1761,3046,1095,6226,1463,1147725,3809,1029781,6887,117944,6116,63498,3822,54446,4880,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,615638,3832,300093,2123,68057,941,67093,1056,964,741,107,114,857,734,232036,1612,217896,1580,14140,1934,6493,1562,7647,1504,315545,2213,62983,1427,62256,1404,727,500,11,19,716,500,252562,1215,239155,1950,13407,2128,6714,1282,6693,1535,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200395,3340,99290,1890,10852,900,9853,576,999,743,97,168,902,720,88438,1508,76978,1457,11460,1832,3577,932,7883,1847,101105,1840,10015,796,9365,764,650,613,46,67,604,603,91090,1376,79047,1369,12043,1757,4530,1072,7513,1621,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13767248,25188,6759194,14791,1394801,7368,1319198,8398,75603,5372,10447,1826,65156,5273,5364393,12346,4395378,14556,969015,15007,433092,10679,535923,14504,7008054,14980,1308660,7638,1239263,7719,69397,4738,10413,2015,58984,4193,5699394,10653,4683560,12271,1015834,13364,521295,10373,494539,11545,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
