GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001MA,B10056_001EA,B10056_002EA,B10056_002MA,B10056_003EA,B10056_003MA,B10056_004MA,B10056_004EA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007MA,B10056_007EA,B10056_008EA,B10056_008MA,B10056_009EA,B10056_009MA,B10056_010MA,B10056_010EA,B10056_011EA,B10056_011MA,state
0400000US01,112765,6610,37115,2874,20684,1828,13782,1589,6902,1214,16431,1802,75650,4512,43976,3151,31693,2652,12283,1747,31674,2845,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,5698,1118,2700,728,1114,419,1586,491,2998,909,10016,1691,3695,709,2086,562,1609,460,6321,1430,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,47670,3788,21867,2917,12851,2064,9016,1558,25803,2639,84472,4747,32095,2935,23983,2639,8112,1192,52377,4317,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,23668,2122,14994,1939,10200,1635,4794,890,8674,1292,42348,2886,25154,2385,19255,2146,5899,1103,17194,2011,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,956156,16048,350901,8306,101844,4550,61810,4056,40034,3317,249057,7319,605255,11293,171226,6529,108329,5058,62897,4815,434029,10317,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80235,5178,32290,2449,13992,1668,9530,1281,4462,1050,18298,1788,47945,3436,21140,2267,14954,1794,6186,1434,26805,2635,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,17741,2150,5788,1236,3508,928,2280,699,11953,1630,33789,3015,11090,1568,7794,1329,3296,933,22699,2490,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,5563,1245,1785,687,1184,580,601,374,3778,972,10977,1633,3822,1033,2553,779,1269,646,7155,1354,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12185,1773,2753,724,1181,467,714,385,467,271,1572,604,9432,1509,4918,1047,2611,733,2307,701,4514,1152,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367645,12348,125222,5797,51391,3672,29805,2511,21586,2339,73831,4752,242423,8355,90911,5349,60188,4119,30723,3294,151512,6619,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204536,9377,67556,4354,32904,2725,22116,2457,10788,1647,34652,3413,136980,6462,62434,3810,45152,3605,17282,2250,74546,5024,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50597,4406,19812,2226,4824,1093,2318,709,2506,816,14988,1922,30785,2667,7906,1505,4612,1170,3294,888,22879,2248,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19860,2265,8003,977,3907,784,2627,674,1280,419,4096,809,11857,1647,5885,974,4024,921,1861,506,5972,1372,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,246604,10465,82470,5341,35161,3013,23690,2472,11471,1660,47309,3917,164134,6485,64607,3898,44232,3110,20375,2016,99527,5522,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
