GEO_ID,B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,NAME,B19126_001EA,B19126_001MA,B19126_002MA,B19126_002EA,B19126_003EA,B19126_003MA,B19126_004EA,B19126_004MA,B19126_005MA,B19126_005EA,B19126_006MA,B19126_006EA,B19126_007MA,B19126_007EA,B19126_008MA,B19126_008EA,B19126_009EA,B19126_009MA,B19126_010MA,B19126_010EA,B19126_011MA,B19126_011EA,state
0400000US01,49207,747,60589,597,64686,1238,56905,927,24947,788,35561,1882,34575,2724,36753,3675,22333,770,17311,878,29594,1206,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,69872,2371,82305,2175,80608,2874,84656,3439,36667,2545,49079,5814,46338,7688,51104,8649,31798,2712,27407,5014,41663,3428,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55709,646,65042,863,66624,1107,63506,1220,34995,752,41834,1260,37732,2232,47975,2766,31479,900,26201,1284,42422,2612,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45093,813,53223,868,56872,1330,50631,1007,24702,1089,32001,1289,29126,2199,37144,3394,21386,844,17215,1096,28803,1513,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,64563,413,77160,441,76348,575,77988,651,38474,573,47467,1007,39224,1652,56515,1556,34506,488,27046,570,47008,782,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64614,975,75117,872,76834,1224,73538,1151,33597,1311,43218,2897,37554,3346,50231,5218,30296,897,24726,1229,41738,2528,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,78154,951,90251,1100,96676,1781,84688,1121,40742,1603,52092,1703,46236,4664,56883,5392,36849,1354,30093,1852,50893,3661,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,62623,2217,74895,2053,81353,3547,69617,2772,37686,1605,43373,5141,40863,3959,55500,14169,35368,2861,24387,2516,45950,3620,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61105,4029,111263,6446,113777,11734,109861,8320,34141,2964,43513,10010,35077,10381,50328,9293,32623,2512,24196,3925,42888,8862,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,54445,402,63105,513,68310,958,60279,535,32299,440,40104,976,33527,2401,45583,1287,30109,586,24746,674,39621,1247,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,56112,609,68778,837,72012,830,65591,794,29939,713,40031,1368,34578,2841,45310,2157,26955,674,22783,1021,34974,1542,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70277,1454,80391,1755,80310,2566,80462,2493,45564,2534,55844,6699,48111,5250,60101,5865,39011,2550,24417,1950,55454,3941,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
