GEO_ID,B14001D_001E,B14001D_001M,B14001D_002E,B14001D_002M,B14001D_003E,B14001D_003M,B14001D_004E,B14001D_004M,B14001D_005E,B14001D_005M,B14001D_006E,B14001D_006M,B14001D_007E,B14001D_007M,NAME,B14001D_001EA,B14001D_001MA,B14001D_002EA,B14001D_002MA,B14001D_003MA,B14001D_003EA,B14001D_004MA,B14001D_004EA,B14001D_005MA,B14001D_005EA,B14001D_006EA,B14001D_006MA,B14001D_007EA,B14001D_007MA,state
0400000US01,44140,3268,15903,1978,1445,425,5940,1081,2458,932,6060,1311,28237,2687,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29155,1709,7549,1099,962,400,2968,631,1685,578,1934,583,21606,1361,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,138790,2802,44454,3039,4086,1203,12899,1532,6989,1038,20480,3083,94336,3382,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27040,2225,9837,1904,995,493,3841,1209,1415,542,3586,1358,17203,1413,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4331903,15879,1256704,14068,118778,5986,409519,6344,246774,5304,481633,10075,3075199,14472,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,128446,3581,39639,2479,3944,981,14418,1655,5990,1190,15287,1775,88807,3301,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,112087,2332,35802,2320,4683,893,11705,1115,5052,718,14362,1646,76285,2199,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23280,1324,6314,815,1089,409,2586,400,730,481,1909,583,16966,1092,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19431,653,4154,890,897,630,568,641,486,534,2203,668,15277,634,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,379103,4978,106293,3978,11791,1867,37544,2365,20203,1912,36755,2779,272810,4156,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,245052,3930,74566,3004,9626,1195,25301,1959,13688,1581,25951,2175,170486,3244,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,499481,9808,100473,4984,10550,1376,36552,3601,22417,2187,30954,2453,399008,7471,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
