GEO_ID,B07004I_001E,B07004I_001M,B07004I_002E,B07004I_002M,B07004I_003E,B07004I_003M,B07004I_004E,B07004I_004M,B07004I_005E,B07004I_005M,B07004I_006E,B07004I_006M,NAME,B07004I_001EA,B07004I_001MA,B07004I_002EA,B07004I_002MA,B07004I_003MA,B07004I_003EA,B07004I_004MA,B07004I_004EA,B07004I_005EA,B07004I_005MA,B07004I_006EA,B07004I_006MA,state
0400000US01,108222,1990,77104,4178,14845,3278,4829,1802,7133,1714,4311,1564,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,36403,1060,25364,1927,5496,1543,1587,768,2671,1169,1285,1185,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1759573,3206,1334150,20151,310333,18111,27520,3675,55196,6343,32374,5902,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,135030,1982,99454,4702,21920,3565,2880,1094,7554,2233,3222,1036,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12798688,9058,10547422,47501,1637062,41689,397548,19962,83707,8430,132949,10940,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,913224,2169,706466,13389,113313,12287,51461,6204,25695,4559,16289,4232,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,384379,1173,293251,7386,67323,7482,7958,2137,11437,3361,4410,1520,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51920,656,41282,2658,6610,2082,1278,813,2324,1307,426,311,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46593,698,32079,3411,9085,3325,0,292,3845,1105,1584,874,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3582542,4823,2857423,24112,441669,21671,111087,8442,93446,9049,78917,7340,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,672864,3369,495672,12423,94423,9833,29822,5033,34474,5566,18473,4142,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,96826,842,75887,2686,12679,2499,1323,958,6348,1290,589,330,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,135305,634,101520,4204,15687,2894,7768,2440,7234,2368,3096,1530,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1849485,3117,1507588,20324,254964,19274,44988,5585,21749,4515,20196,4168,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,290683,2639,214270,6759,45700,5148,7941,1808,16145,3560,6627,2091,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,109867,1598,74841,4635,19738,3565,4273,1280,8730,2240,2285,896,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,231105,1405,171570,6445,32944,5125,6550,1560,16202,3857,3839,1726,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,81232,2757,55405,3577,13492,2348,2359,819,7370,1374,2606,1044,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,121121,1875,83961,4128,15182,2930,8114,2138,9474,2329,4390,1386,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12345,608,8349,1053,1907,682,623,549,1367,729,99,165,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,327298,1759,251997,8152,39369,6750,13809,3491,13554,3220,8569,2382,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,502080,1489,380248,9041,84320,7812,16144,3016,11837,2559,9531,2276,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,384267,1491,303205,6594,51870,5753,12818,2614,13505,3261,2869,1141,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,189353,1331,133986,4638,31512,3793,8055,1812,11533,2716,4267,1818,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,44372,1961,31066,2756,4991,1747,2535,1241,3993,1425,1787,926,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,156525,1916,113616,4522,21255,3477,5788,1545,12709,2177,3157,1261,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,20064,885,13424,1306,3219,1098,681,333,2552,1103,188,192,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,125724,994,94835,3986,17686,3378,4277,1119,6959,1956,1967,1040,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,597112,1689,446699,10848,106310,9319,4083,2048,31955,5479,8065,1825,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,29507,656,22602,2213,3620,1746,360,288,2063,1251,862,906,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1338407,2327,1119429,13830,145160,11644,32924,4026,23121,4173,17773,3848,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,845901,1910,698842,11326,100594,9353,20095,3301,19184,4455,7186,2593,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3085377,4115,2632981,15710,291441,14478,88677,7990,29793,4100,42485,5302,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
