GEO_ID,C25121_001E,C25121_001M,C25121_002E,C25121_002M,C25121_003E,C25121_003M,C25121_004E,C25121_004M,C25121_005E,C25121_005M,C25121_006E,C25121_006M,C25121_007E,C25121_007M,C25121_008E,C25121_008M,C25121_009E,C25121_009M,C25121_010E,C25121_010M,C25121_011E,C25121_011M,C25121_012E,C25121_012M,C25121_013E,C25121_013M,C25121_014E,C25121_014M,C25121_015E,C25121_015M,C25121_016E,C25121_016M,C25121_017E,C25121_017M,C25121_018E,C25121_018M,C25121_019E,C25121_019M,C25121_020E,C25121_020M,C25121_021E,C25121_021M,C25121_022E,C25121_022M,C25121_023E,C25121_023M,C25121_024E,C25121_024M,C25121_025E,C25121_025M,C25121_026E,C25121_026M,C25121_027E,C25121_027M,C25121_028E,C25121_028M,C25121_029E,C25121_029M,C25121_030E,C25121_030M,C25121_031E,C25121_031M,NAME,C25121_001MA,C25121_001EA,C25121_002EA,C25121_002MA,C25121_003EA,C25121_003MA,C25121_004EA,C25121_004MA,C25121_005MA,C25121_005EA,C25121_006MA,C25121_006EA,C25121_007EA,C25121_007MA,C25121_008EA,C25121_008MA,C25121_009EA,C25121_009MA,C25121_010MA,C25121_010EA,C25121_011MA,C25121_011EA,C25121_012MA,C25121_012EA,C25121_013EA,C25121_013MA,C25121_014EA,C25121_014MA,C25121_015EA,C25121_015MA,C25121_016MA,C25121_016EA,C25121_017MA,C25121_017EA,C25121_018EA,C25121_018MA,C25121_019EA,C25121_019MA,C25121_020EA,C25121_020MA,C25121_021MA,C25121_021EA,C25121_022MA,C25121_022EA,C25121_023MA,C25121_023EA,C25121_024EA,C25121_024MA,C25121_025EA,C25121_025MA,C25121_026MA,C25121_026EA,C25121_027MA,C25121_027EA,C25121_028MA,C25121_028EA,C25121_029EA,C25121_029MA,C25121_030EA,C25121_030MA,C25121_031MA,C25121_031EA,state
0400000US01,1289272,11970,94106,4753,46998,3691,22575,2437,17017,2073,7516,1319,149482,5752,64854,3999,42884,2654,31050,2473,10694,1440,227402,6263,76525,4147,75271,3672,59258,3481,16348,2157,196121,5955,45261,3143,61144,3682,68517,3401,21199,1933,261873,7025,41121,3071,70374,3535,111386,5107,38992,3369,360288,8266,15879,1777,42762,2440,143033,4885,158614,4729,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,148249,3302,5073,1013,1292,510,857,396,1147,443,1777,549,9040,1298,2180,572,909,290,3061,668,2890,891,14448,1395,2016,523,2301,622,5883,1006,4248,741,16971,1662,3031,830,1431,467,7871,1161,4638,738,30920,2103,2257,695,1996,534,11840,1464,14827,1649,71797,2864,1850,554,1069,351,16069,1672,52809,2509,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1523041,12956,65642,4092,16105,1784,10319,1810,18097,2335,21121,2505,122352,5266,30689,2338,17781,2060,35258,3295,38624,2943,227431,6307,34631,2595,30242,2681,76486,4193,86072,4261,237388,6674,23503,2200,16136,1914,79769,4012,117980,5826,317994,7480,15231,1462,16352,1965,79421,3999,206990,6411,552234,9402,7698,1225,10883,1545,67396,4078,466257,8755,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,753412,8763,47499,3474,24750,2316,9841,1476,9337,1445,3571,800,92990,4383,44428,2863,27045,2625,16744,1719,4773,1188,144812,5188,54042,3339,45390,3490,35335,2855,10045,1228,129757,4912,33107,2634,42681,3391,44016,2752,9953,1384,155179,5056,28928,2652,49910,3217,57316,3307,19025,2031,183175,5864,12463,1728,29885,2408,78295,3653,62532,3330,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7102197,26399,212049,7350,16964,2286,8935,1332,20013,2110,166137,6657,420743,8740,51350,3193,25133,2355,48316,3095,295944,8579,751249,13289,51368,3325,32675,2613,73630,3376,593576,12066,814459,11970,32607,2420,23675,2474,62106,3551,696071,11409,1329475,14386,28826,2480,25017,1991,66961,3972,1208671,14015,3574222,22916,24350,2362,30257,2504,65853,3867,3453762,23560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1269421,10162,41707,2770,5385,960,4423,993,15543,1920,16356,1915,74590,3835,10949,1300,10121,1448,28863,2196,24657,2334,155639,5474,15260,1677,14559,1499,66326,3736,59494,3462,177025,6829,10755,1499,11847,1428,74750,4053,79673,5000,265234,7253,7639,1263,9485,1405,96206,4209,151904,5288,555226,9294,4303,1080,4676,984,82414,4361,463833,7495,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,921382,7687,18681,1960,828,350,811,447,5652,958,11390,1546,43912,2775,2037,710,2964,849,14701,1382,24210,2145,88320,3759,4317,910,4368,869,28879,2250,50756,2980,99903,4027,1686,652,3817,854,33209,2851,61191,3180,178466,5646,2145,737,3374,853,50058,3041,122889,4336,492100,7181,1968,717,2759,776,55180,3435,432193,6805,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238194,3604,6937,1336,1431,604,648,415,2247,694,2611,745,17262,1893,3648,857,2880,678,6139,971,4595,878,34034,2260,4489,1011,3814,955,11202,1349,14529,1448,35310,2650,3161,772,2378,673,14684,1957,15087,1596,50218,3063,2607,831,3003,838,15200,1844,29408,2258,94433,3130,1536,589,1455,591,16482,1682,74960,3026,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114586,3453,5030,1133,68,113,378,331,990,475,3594,1084,5550,1055,48,78,319,314,599,313,4584,1000,9815,1375,196,210,261,174,2188,565,7170,1242,11737,1490,60,100,302,212,1677,474,9698,1341,17183,1781,105,168,92,109,2279,670,14707,1706,65271,2865,80,94,243,142,1511,586,63437,2964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4994101,23446,249610,8651,44787,3019,35071,3167,74431,4307,95321,4875,477316,10191,87137,4233,73144,3913,155678,5889,161357,7005,806341,14064,106215,5372,103392,5362,277843,7936,318891,9458,765893,13116,59666,4090,72792,4354,260445,7162,372990,9569,1037083,14742,46157,3805,64629,3410,298885,8311,627412,12300,1657858,16730,21430,2452,37124,3025,240702,7153,1358602,15325,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
