GEO_ID,C18003_001E,C18003_001M,C18003_002E,C18003_002M,C18003_003E,C18003_003M,C18003_004E,C18003_004M,C18003_005E,C18003_005M,C18003_006E,C18003_006M,C18003_007E,C18003_007M,C18003_008E,C18003_008M,C18003_009E,C18003_009M,C18003_010E,C18003_010M,C18003_011E,C18003_011M,C18003_012E,C18003_012M,C18003_013E,C18003_013M,C18003_014E,C18003_014M,C18003_015E,C18003_015M,C18003_016E,C18003_016M,C18003_017E,C18003_017M,C18003_018E,C18003_018M,C18003_019E,C18003_019M,C18003_020E,C18003_020M,C18003_021E,C18003_021M,NAME,C18003_001EA,C18003_001MA,C18003_002MA,C18003_002EA,C18003_003MA,C18003_003EA,C18003_004MA,C18003_004EA,C18003_005MA,C18003_005EA,C18003_006EA,C18003_006MA,C18003_007MA,C18003_007EA,C18003_008MA,C18003_008EA,C18003_009MA,C18003_009EA,C18003_010MA,C18003_010EA,C18003_011EA,C18003_011MA,C18003_012MA,C18003_012EA,C18003_013MA,C18003_013EA,C18003_014EA,C18003_014MA,C18003_015MA,C18003_015EA,C18003_016MA,C18003_016EA,C18003_017MA,C18003_017EA,C18003_018MA,C18003_018EA,C18003_019EA,C18003_019MA,C18003_020MA,C18003_020EA,C18003_021MA,C18003_021EA,state
0400000US01,4227433,3183,2028809,4847,358364,3715,6234,1241,352130,3890,1427442,3763,65758,3399,1361684,4831,243003,1681,54010,3096,188993,3285,2198624,3769,333072,3204,4460,1130,328612,3096,1524546,3722,54698,3505,1469848,5190,341006,1418,63297,3498,277709,3496,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,605065,1896,305857,2086,57595,1407,742,363,56853,1411,228486,2076,11499,1490,216987,2746,19776,618,5445,754,14331,856,299208,1647,51951,1390,539,282,51412,1304,223958,2030,6666,1217,217292,2392,23299,849,4797,995,18502,952,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5605494,3897,2781906,4003,497229,2896,6904,1338,490325,2944,1936954,4703,55071,3705,1881883,5721,347723,1353,62470,3249,285253,3628,2823588,2265,471787,3040,4793,1112,466994,3178,1923280,3362,45343,4124,1877937,5291,428521,1140,64522,3370,363999,3685,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2561959,2402,1243349,3866,213590,2917,4091,1107,209499,2956,872342,4383,45602,3662,826740,5470,157417,1244,37067,2260,120350,2379,1318610,2596,201611,2673,2547,786,199064,2903,904820,2917,32116,2780,872704,4263,212179,1719,41788,2451,170391,2764,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33211121,5156,16434773,7277,2948558,8130,35312,2865,2913246,8281,11846411,8943,290657,9710,11555754,13192,1639804,3067,276657,7996,1363147,8817,16776348,6260,2817252,6773,25919,2820,2791333,8000,11790801,8460,236222,8735,11554579,10238,2168295,3352,345898,8801,1822397,9414,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4336687,2598,2162121,3075,357005,2675,3550,1009,353455,2694,1602294,3307,51360,3559,1550934,4663,202822,1366,38346,2352,164476,2413,2174566,2883,342671,2884,3448,879,339223,2861,1573638,3457,36085,3212,1537553,4651,258257,1520,37572,2587,220685,2654,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3241592,1339,1565837,2306,262789,2267,1951,613,260838,2356,1117245,2770,23032,2311,1094213,3609,185803,1263,26316,2012,159487,2327,1675755,1996,252320,2225,2297,725,250023,2336,1165610,2280,23098,2412,1142512,3458,257825,1301,36429,2429,221396,2573,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,781963,827,376537,1194,63025,916,420,254,62605,953,265929,1329,7279,1281,258650,1650,47583,560,8245,1193,39338,1352,405426,1210,60642,1223,344,247,60298,1239,282343,1325,6132,1211,276211,1833,62441,658,9071,1018,53370,1058,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,531139,4160,243614,3505,34089,934,192,191,33897,940,183679,3548,4810,1027,178869,3801,25846,519,3301,785,22545,842,287525,1221,32685,876,715,432,31970,966,212432,1486,4163,892,208269,1726,42408,500,5982,1310,36426,1362,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16653760,4594,8077414,7593,1235252,5666,16944,2682,1218308,6131,5550811,9010,182677,7259,5368134,12240,1291351,2908,213083,6263,1078268,6619,8576346,6918,1186390,4852,12034,2029,1174356,5223,5729548,7991,145637,6645,5583911,10140,1660408,2812,247712,6698,1412696,6898,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
