GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001MA,C23002A_001EA,C23002A_002MA,C23002A_002EA,C23002A_003MA,C23002A_003EA,C23002A_004MA,C23002A_004EA,C23002A_005EA,C23002A_005MA,C23002A_006EA,C23002A_006MA,C23002A_007MA,C23002A_007EA,C23002A_008MA,C23002A_008EA,C23002A_009MA,C23002A_009EA,C23002A_010EA,C23002A_010MA,C23002A_011EA,C23002A_011MA,C23002A_012EA,C23002A_012MA,C23002A_013EA,C23002A_013MA,C23002A_014MA,C23002A_014EA,C23002A_015MA,C23002A_015EA,C23002A_016MA,C23002A_016EA,C23002A_017EA,C23002A_017MA,C23002A_018EA,C23002A_018MA,C23002A_019MA,C23002A_019EA,C23002A_020MA,C23002A_020EA,C23002A_021MA,C23002A_021EA,C23002A_022EA,C23002A_022MA,C23002A_023EA,C23002A_023MA,C23002A_024MA,C23002A_024EA,C23002A_025MA,C23002A_025EA,C23002A_026MA,C23002A_026EA,C23002A_027EA,C23002A_027MA,state
0400000US01,2606406,4598,1262385,2802,1056951,2832,835442,6727,7052,1270,828390,6819,791544,6652,36846,2913,221509,6515,205434,385,39219,2318,38150,2355,1069,417,166215,2331,1344021,2956,1056895,2827,676745,7558,541,299,676204,7541,638079,7680,38125,3400,380150,7302,287126,652,28365,2206,26991,2138,1374,471,258761,2316,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,365708,2286,191563,1506,175646,1522,148407,2762,9163,1444,139244,3321,128315,3808,10929,1685,27239,2450,15917,276,2914,549,2875,548,39,46,13003,602,174145,1461,157359,1438,115219,2796,1175,589,114044,2874,106469,3092,7575,1349,42140,2626,16786,141,3178,744,3057,737,121,113,13608,740,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3728344,13857,1847938,9081,1530783,8907,1240536,12300,13084,2417,1227452,12685,1178916,11852,48536,3956,290247,7906,317155,1403,50162,2924,48503,2915,1659,425,266993,3085,1880406,7941,1487798,7393,994522,10710,1924,832,992598,10794,945312,11082,47286,3994,493276,11067,392608,1860,35134,2602,34415,2575,719,349,357474,2871,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1770693,4959,861001,3590,714010,3532,557556,5747,5582,1100,551974,5760,520975,6174,30999,3027,156454,5521,146991,421,26918,1688,26194,1690,724,358,120073,1747,909692,2651,711822,2603,478063,6487,645,351,477418,6473,449775,6765,27643,2664,233759,6154,197870,458,22062,1890,21223,1954,839,446,175808,1890,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17271624,41807,8592318,23257,7353865,23710,5945581,29645,85207,3847,5860374,28877,5526473,29609,333901,10750,1408284,17958,1238453,4666,251863,7273,241479,7271,10384,1644,986590,8047,8679306,24252,7035032,24911,4720070,24887,10913,2065,4709157,24870,4414135,24735,295022,9601,2314962,21619,1644274,5300,177550,4883,171203,4772,6347,978,1466724,6792,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3131383,10150,1557869,6599,1368484,6269,1154063,8810,17530,1916,1136533,9155,1082990,9728,53543,3588,214421,7007,189385,1179,42602,2432,41671,2442,931,472,146783,2507,1573514,5531,1327069,5283,966283,8522,2776,747,963507,8583,912266,8696,51241,3811,360786,8509,246445,1281,30653,1910,29858,1860,795,348,215792,2170,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2273924,7919,1089661,5163,912611,5145,765287,7102,5803,925,759484,7208,720032,7138,39452,3493,147324,5449,177050,808,40636,2245,38559,2229,2077,565,136414,2095,1184263,4301,932309,4223,683346,6147,266,221,683080,6126,646240,6317,36840,2712,248963,6708,251954,720,32867,2100,31767,2091,1100,418,219087,2136,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,499777,2673,240551,1775,198914,1725,162941,2633,1282,478,161659,2683,153378,2718,8281,1615,35973,2353,41637,272,7507,1010,7176,977,331,206,34130,1040,259226,1462,203263,1424,144337,3602,120,130,144217,3611,136655,3665,7562,1273,58926,3689,55963,445,5414,925,5100,933,314,193,50549,997,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,181272,2495,89352,1514,79171,1539,67709,2339,3212,1774,64497,2481,62619,2476,1878,600,11462,1907,10181,178,4791,675,4701,664,90,152,5390,683,91920,1453,80006,1354,65108,1986,1224,822,63884,1732,62603,1831,1281,532,14898,1854,11914,355,2908,790,2855,789,53,88,9006,832,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11390279,20220,5534975,12667,4344183,12346,3494763,16510,36681,2996,3458082,16956,3308943,16983,149139,5536,849420,12577,1190792,2567,198401,5876,190095,5685,8306,1212,992391,5731,5855304,12317,4319018,11613,2934797,17982,5150,1132,2929647,17984,2778527,17083,151120,6544,1384221,17216,1536286,2749,144693,5647,138319,5501,6374,1233,1391593,6027,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
