GEO_ID,B06004B_001E,B06004B_001M,B06004B_002E,B06004B_002M,B06004B_003E,B06004B_003M,B06004B_004E,B06004B_004M,B06004B_005E,B06004B_005M,NAME,B06004B_001MA,B06004B_001EA,B06004B_002EA,B06004B_002MA,B06004B_003MA,B06004B_003EA,B06004B_004MA,B06004B_004EA,B06004B_005EA,B06004B_005MA,state
0400000US01,1209321,4826,1010275,9649,184845,8141,3565,1597,10636,2851,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21476,2347,3732,1869,14989,2505,214,253,2541,1615,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207837,5456,73005,6381,111016,5731,3714,1200,20102,4587,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,437680,4670,349526,6939,85215,5848,886,487,2053,814,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2260648,14374,1387379,19431,725566,14420,16275,2175,131428,8984,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177902,4693,63679,4839,90914,4449,3057,916,20252,4142,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,332711,4745,180985,6884,87824,4344,3671,1045,60231,5482,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,176845,1971,91171,5144,71063,5917,1614,702,12997,3386,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,322105,2958,195296,5220,106905,5264,2392,928,17512,2771,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2778549,13414,1574354,20387,607975,17908,34629,4409,561591,17592,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2794300,9565,1808237,19988,827563,19997,23699,3342,134801,9263,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28062,2260,2048,1124,24214,2106,473,364,1327,763,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6842,1148,1125,534,4427,1060,112,145,1178,733,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1898346,7410,1390558,12900,445908,10850,7561,1937,54319,6363,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,551864,5164,347363,7921,189131,6918,1310,602,14060,2787,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,67297,3046,29237,3221,32079,2725,116,128,5865,1974,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,153560,2984,79266,4001,64345,4097,1639,750,8310,2367,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,310146,4420,228897,6108,71418,4605,2474,875,7357,2532,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1356981,4406,1219907,8141,127383,7162,2675,823,7016,1953,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,13669,2692,3109,963,5058,1663,33,55,5469,2031,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1624858,6558,775562,12714,677480,12992,13457,2491,158359,8891,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,393207,6423,184233,5843,78121,5428,8429,2630,122424,6610,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1426809,7412,1046172,10549,352971,8116,2795,931,24871,3514,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,228354,4484,77850,5000,86831,5266,1807,935,61866,5277,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1087114,4842,936223,9396,145989,8528,1389,663,3513,1459,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,661535,5223,461368,8361,183063,6414,3327,1083,13777,3174,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4470,695,1799,489,2110,786,216,273,345,327,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,72095,2333,38213,2805,26230,2299,685,377,6967,1867,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,183064,3560,56452,5072,113137,5120,1824,779,11651,2161,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,13842,1157,2590,1077,5787,1376,93,171,5372,1610,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1187161,7516,671814,10788,331350,9758,12180,2025,171817,10263,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,39654,2011,14904,1905,21741,2190,946,550,2063,979,New Mexico,null,null,null,null,null,null,null,null,null,null,35
