B25011_016E,B25011_016M,B25011_017E,B25011_017M,B25011_018E,B25011_018M,B25011_019E,B25011_019M,B25011_020E,B25011_020M,B25011_021E,B25011_021M,B25011_022E,B25011_022M,B25011_023E,B25011_023M,B25011_024E,B25011_024M,B25011_025E,B25011_025M,B25011_026E,B25011_026M,B25011_027E,B25011_027M,B25011_028E,B25011_028M,B25011_029E,B25011_029M,B25011_030E,B25011_030M,B25011_031E,B25011_031M,B25011_032E,B25011_032M,B25011_033E,B25011_033M,B25011_034E,B25011_034M,B25011_035E,B25011_035M,B25011_036E,B25011_036M,B25011_037E,B25011_037M,B25011_038E,B25011_038M,B25011_039E,B25011_039M,B25011_040E,B25011_040M,B25011_041E,B25011_041M,B25011_042E,B25011_042M,B25011_043E,B25011_043M,B25011_044E,B25011_044M,B25011_045E,B25011_045M,B25011_046E,B25011_046M,B25011_047E,B25011_047M,B25011_048E,B25011_048M,B25011_049E,B25011_049M,GEO_ID,B25011_001E,B25011_001M,B25011_002E,B25011_002M,B25011_003E,B25011_003M,B25011_004E,B25011_004M,B25011_005E,B25011_005M,B25011_006E,B25011_006M,B25011_007E,B25011_007M,B25011_008E,B25011_008M,B25011_009E,B25011_009M,B25011_010E,B25011_010M,B25011_011E,B25011_011M,B25011_012E,B25011_012M,B25011_013E,B25011_013M,B25011_014E,B25011_014M,B25011_015E,B25011_015M,B25011_016MA,B25011_016EA,B25011_017MA,B25011_017EA,B25011_018MA,B25011_018EA,B25011_019EA,B25011_019MA,B25011_020EA,B25011_020MA,B25011_021EA,B25011_021MA,B25011_022MA,B25011_022EA,B25011_023MA,B25011_023EA,B25011_024MA,B25011_024EA,B25011_025EA,B25011_025MA,B25011_026EA,B25011_026MA,B25011_027MA,B25011_027EA,B25011_028MA,B25011_028EA,B25011_029MA,B25011_029EA,B25011_030EA,B25011_030MA,B25011_031EA,B25011_031MA,B25011_032EA,B25011_032MA,B25011_033EA,B25011_033MA,B25011_034MA,B25011_034EA,B25011_035MA,B25011_035EA,B25011_036EA,B25011_036MA,B25011_037MA,B25011_037EA,B25011_038EA,B25011_038MA,B25011_039MA,B25011_039EA,B25011_040MA,B25011_040EA,B25011_041EA,B25011_041MA,B25011_042EA,B25011_042MA,B25011_043EA,B25011_043MA,B25011_044MA,B25011_044EA,B25011_045MA,B25011_045EA,B25011_046MA,B25011_046EA,B25011_047EA,B25011_047MA,B25011_048MA,B25011_048EA,B25011_049MA,B25011_049EA,NAME,B25011_001MA,B25011_001EA,B25011_002MA,B25011_002EA,B25011_003EA,B25011_003MA,B25011_004EA,B25011_004MA,B25011_005MA,B25011_005EA,B25011_006MA,B25011_006EA,B25011_007MA,B25011_007EA,B25011_008EA,B25011_008MA,B25011_009EA,B25011_009MA,B25011_010EA,B25011_010MA,B25011_011MA,B25011_011EA,B25011_012MA,B25011_012EA,B25011_013MA,B25011_013EA,B25011_014EA,B25011_014MA,B25011_015EA,B25011_015MA,state
29506,2152,333287,7736,300903,7200,24891,2385,142274,5370,133738,4809,32384,2955,8178,1459,19607,2160,4599,918,506786,9952,266873,7639,116943,6206,48475,4302,56650,3868,11818,1679,149930,5335,26825,2872,11645,2025,13349,1979,1831,791,123105,5008,57106,3918,58834,3780,7165,1082,239913,8053,195947,7318,59288,4546,94043,4594,42616,2993,43966,3840,30467,3468,12645,1960,854,474,0400000US01,1796058,10547,1289272,11970,955985,12256,771666,10817,101859,4368,516010,7857,153797,3189,184319,6668,47942,3474,8599,1798,31984,2814,7359,1241,136377,5305,18383,2416,88488,4393,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2134,548,36381,2639,29732,2481,2154,744,21074,2029,6504,1014,6649,1166,1193,514,4794,983,662,359,81629,2772,46071,2692,27778,2461,11882,1580,14911,1999,985,338,18293,1896,4708,859,2054,736,2437,646,217,161,13585,1868,6233,1224,6901,1238,451,270,35558,2576,27401,2200,9405,1586,15505,1920,2491,622,8157,1506,5038,1243,2795,684,324,304,0400000US02,229878,2779,148249,3302,111868,2933,89551,2923,10609,1426,68051,2870,10891,1011,22317,1764,7840,1151,1227,539,6156,1026,457,191,14477,1515,2651,795,9692,1351,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
26214,2300,420421,8561,349517,8715,33297,3272,178815,6397,137405,5084,70904,3956,16794,2070,41713,2920,12397,1674,701951,12863,373649,8801,200321,8162,86069,4705,95377,5293,18875,2406,173328,6111,49568,3712,25007,3077,23198,2844,1363,702,123760,5208,52751,3753,66996,4340,4013,1057,328302,8803,247333,8231,77968,4760,114289,6027,55076,3677,80969,4723,55824,3692,23043,2771,2102,767,0400000US04,2224992,11475,1523041,12956,1102620,13525,904487,12253,129102,5882,562099,9189,213286,4214,198133,6732,65509,4536,17312,2291,40359,3814,7838,1276,132624,5147,23028,2444,83382,4583,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
15909,1662,191697,6016,170361,6076,10940,1838,80473,3933,78948,3866,21336,2199,5216,1354,12756,1462,3364,749,350016,7559,196480,7072,98279,5164,46685,3681,43356,2863,8238,1182,98201,5664,20676,2557,8775,1625,11136,1977,765,294,77525,4829,38701,3825,35577,2956,3247,718,153536,5490,125864,4674,31394,3026,63506,3776,30964,2466,27672,2916,18330,2276,8619,1606,723,372,0400000US05,1103428,7576,753412,8763,561715,8519,468950,7921,68788,3801,297291,5810,102871,2778,92765,4838,28145,2786,4571,1004,20527,2371,3047,713,64620,4095,9176,1353,39535,3270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
147112,5314,1709753,18554,1409374,17312,86667,4785,706765,12851,615942,9260,300379,8034,53847,4071,192185,6654,54347,3032,5049030,24989,2911349,23068,1658675,19739,580502,13055,944487,16004,133686,5517,1252674,15151,368098,10569,165221,7608,190194,7484,12683,1768,884576,11822,311476,7813,528880,10505,44220,3294,2137681,21165,1584998,17973,414690,10886,807697,15518,362611,6706,552683,11482,350238,9249,184111,6111,18334,2236,0400000US06,12151227,18090,7102197,26399,5392444,23941,4393026,23067,474718,10180,3109838,20325,808470,8489,999418,15745,330334,9597,67311,4826,220632,7722,42391,2985,669084,12181,75108,4278,446864,10728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
14627,1922,345161,8232,291097,7088,31066,2282,170057,5946,89974,3623,54064,3757,17990,1954,32494,2869,3580,760,577567,10807,271963,9275,152361,6419,65388,4497,75374,4382,11599,1657,119602,6202,33696,3937,18460,2857,14787,2293,449,303,85906,4768,41146,3674,42525,3159,2235,672,305604,8339,230280,7145,78175,4167,109130,5385,42975,3348,75324,4658,57339,3484,17071,2587,914,369,0400000US08,1846988,9333,1269421,10162,924260,9154,781787,9560,114524,4676,542914,8136,124349,3080,142473,5745,46733,3237,10769,1994,30955,2777,5009,982,95740,4448,14555,2128,66558,3514,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
16905,1720,225261,6591,190821,6226,14949,1607,97106,5126,78766,2890,34440,2657,7944,1365,21369,1898,5127,1009,404061,6979,198227,5727,95971,4493,31215,2773,53500,3523,11256,1328,102256,4541,21387,2480,7865,1414,12435,1855,1087,537,80869,3935,32685,2303,44292,3593,3892,907,205834,5791,168498,5646,36647,3760,80409,4884,51442,2845,37336,2884,23599,2735,11735,1761,2002,545,0400000US09,1325443,5814,921382,7687,696121,8318,584685,7058,58809,3116,420831,6346,105045,2831,111436,4158,31801,2988,5833,1085,21338,2539,4630,743,79635,3342,7619,1541,55111,2788,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
3398,747,67454,3424,56285,3254,4619,920,28515,2154,23151,1917,11169,1594,3450,948,6556,1103,1163,399,81916,3849,42825,3849,17659,2445,7467,1531,8411,1545,1781,522,25166,2893,6381,1699,3405,1326,2912,1005,64,103,18785,2158,8065,1308,10238,1742,482,257,39091,3180,30682,2760,9929,1701,13267,1771,7486,1109,8409,1311,4413,966,3853,1155,143,127,0400000US10,320110,3955,238194,3604,170740,3974,139550,3851,17717,1519,91003,3045,30830,1224,31190,2378,8828,1274,1439,434,6340,1201,1049,434,22362,2035,3647,920,15317,1700,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
5977,1071,53826,3055,45414,2657,5829,1015,26926,2048,12659,1542,8412,1517,1743,587,6001,1325,668,345,135870,4564,47999,3647,17344,2737,5937,1483,8931,1829,2476,813,30655,2347,4109,1068,1386,665,2427,799,296,209,26546,2103,8751,1365,15939,1758,1856,600,87871,4101,72736,3826,24607,2440,34425,2430,13704,1686,15135,1484,11446,1312,3133,756,556,423,0400000US11,250456,3518,114586,3453,60760,2800,38527,2706,5514,1011,23186,2066,9827,1226,22233,2280,5292,1083,406,307,3163,761,1723,602,16941,1846,1410,626,9554,1307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
93016,4505,1478499,18222,1235897,16685,95100,5045,552599,10933,588198,11521,242602,7584,52614,3914,143132,5342,46856,3180,2111941,22368,1117372,17053,576587,13623,200757,7935,308185,10021,67645,3572,540785,11996,141971,6576,68453,4951,68078,4558,5440,1342,398814,10788,169919,6548,205526,8175,23369,2528,994569,14848,756006,13300,206830,8488,356644,9457,192532,6144,238563,8832,149672,6916,82321,5512,6570,1475,0400000US12,7106042,22495,4994101,23446,3515602,21300,2875540,19295,300050,8426,1785285,15508,790205,8991,640062,13021,177639,7490,35048,3547,116351,5710,26240,2336,462423,11455,55926,4243,313481,9170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
