GEO_ID,C25116_001E,C25116_001M,C25116_002E,C25116_002M,C25116_003E,C25116_003M,C25116_004E,C25116_004M,C25116_005E,C25116_005M,C25116_006E,C25116_006M,C25116_007E,C25116_007M,C25116_008E,C25116_008M,C25116_009E,C25116_009M,C25116_010E,C25116_010M,C25116_011E,C25116_011M,C25116_012E,C25116_012M,C25116_013E,C25116_013M,C25116_014E,C25116_014M,C25116_015E,C25116_015M,NAME,C25116_001EA,C25116_001MA,C25116_002EA,C25116_002MA,C25116_003MA,C25116_003EA,C25116_004MA,C25116_004EA,C25116_005MA,C25116_005EA,C25116_006EA,C25116_006MA,C25116_007EA,C25116_007MA,C25116_008EA,C25116_008MA,C25116_009EA,C25116_009MA,C25116_010MA,C25116_010EA,C25116_011EA,C25116_011MA,C25116_012EA,C25116_012MA,C25116_013EA,C25116_013MA,C25116_014EA,C25116_014MA,C25116_015MA,C25116_015EA,state
0400000US01,1796058,10547,1289272,11970,300903,7200,167165,5733,133738,4809,988369,12498,793108,10868,195261,3781,506786,9952,195947,7318,153331,6823,42616,2993,310839,8517,289171,8123,21668,1936,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,148249,3302,29732,2481,23228,2155,6504,1014,118517,2854,104373,2860,14144,1125,81629,2772,27401,2200,24910,2136,2491,622,54228,2554,52251,2511,1977,555,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1523041,12956,349517,8715,212112,7340,137405,5084,1173524,14270,913789,12565,259735,4540,701951,12863,247333,8231,192257,7377,55076,3677,454618,10457,428265,9902,26353,2992,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,753412,8763,170361,6076,91413,4338,78948,3866,583051,8682,457860,7869,125191,3144,350016,7559,125864,4674,94900,4657,30964,2466,224152,7080,211179,6749,12973,1514,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7102197,26399,1409374,17312,793432,14024,615942,9260,5692823,25535,4640503,25010,1052320,9070,5049030,24989,1584998,17973,1222387,17261,362611,6706,3464032,22642,3255109,21950,208923,6601,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1269421,10162,291097,7088,201123,6368,89974,3623,978324,9149,830759,8853,147565,3447,577567,10807,230280,7145,187305,6273,42975,3348,347287,9789,332090,9946,15197,1867,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,921382,7687,190821,6226,112055,5541,78766,2890,730561,8024,598854,8027,131707,2871,404061,6979,168498,5646,117056,5193,51442,2845,235563,6322,217326,6353,18237,1773,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,238194,3604,56285,3254,33134,2334,23151,1917,181909,4288,145469,4013,36440,1460,81916,3849,30682,2760,23196,2448,7486,1109,51234,4028,48764,3794,2470,571,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,114586,3453,45414,2657,32755,2251,12659,1542,69172,3086,50977,2766,18195,1461,135870,4564,72736,3826,59032,3663,13704,1686,63134,3750,57950,3462,5184,1075,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,4994101,23446,1235897,16685,647699,11871,588198,11521,3758204,21261,2801887,19462,956317,9472,2111941,22368,756006,13300,563474,12560,192532,6144,1355935,20606,1252911,19634,103024,4709,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
