GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001MA,B19101A_001EA,B19101A_002EA,B19101A_002MA,B19101A_003EA,B19101A_003MA,B19101A_004MA,B19101A_004EA,B19101A_005MA,B19101A_005EA,B19101A_006MA,B19101A_006EA,B19101A_007EA,B19101A_007MA,B19101A_008EA,B19101A_008MA,B19101A_009MA,B19101A_009EA,B19101A_010MA,B19101A_010EA,B19101A_011MA,B19101A_011EA,B19101A_012EA,B19101A_012MA,B19101A_013EA,B19101A_013MA,B19101A_014EA,B19101A_014MA,B19101A_015MA,B19101A_015EA,B19101A_016MA,B19101A_016EA,B19101A_017EA,B19101A_017MA,state
0400000US01,894960,9751,39748,3609,30071,2563,38177,2895,44788,3075,48203,3063,51798,4204,48609,3772,47993,3075,44779,2973,83937,3726,116907,5233,128439,5004,73225,4147,36157,2866,31651,2399,30478,2331,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116019,3658,2722,751,2201,817,1641,576,2806,744,3793,883,3901,860,4534,1100,4738,976,4810,982,9549,1130,15290,1526,22308,2120,13649,1520,9428,1419,9024,1213,5625,943,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1184435,11507,44779,3807,33118,3223,44805,3758,59167,4301,58015,4251,64941,3860,66281,4425,61834,3831,57590,2968,105702,5622,140525,5739,170504,5607,110478,4991,58096,3108,56813,3560,51787,3108,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,613147,8046,28146,2934,24990,2535,35458,2487,39346,2915,40562,3183,39007,2849,37430,2924,36237,2835,35260,2587,63365,3653,70542,3816,76744,3633,36425,2593,19711,2218,15587,1711,14337,1553,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5204404,21579,163641,6922,137644,6008,196280,8404,209815,6958,206706,6850,216804,7779,214804,6942,218387,6724,201891,7245,406828,9054,562292,9464,746874,12308,569015,11043,354753,9582,378321,8252,420349,9136,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1016817,9416,33754,2919,25624,2885,27814,3282,40585,2885,41041,3631,43986,3225,44907,3811,48921,3309,41338,3068,87313,4231,123892,5247,165706,6454,112251,4475,60187,3221,62003,3583,57495,3090,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,733661,7207,13935,1801,11961,2069,14835,1694,17925,2004,20415,2048,25829,2335,25692,2548,25075,2504,24991,2475,52044,3325,83420,3609,129321,5078,94811,3834,58129,3188,60865,3335,74413,3371,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159802,3655,4379,1300,2284,739,4686,1161,5158,1046,7009,1240,6943,1228,8651,1412,7716,1337,7730,1373,14034,1790,19746,1786,26836,2114,18043,1555,11237,1709,7994,1075,7356,1139,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32186,2237,440,333,432,277,32,54,430,247,330,248,773,479,399,240,408,281,208,208,790,383,1639,489,2703,634,4475,922,2015,528,5343,1022,11769,1475,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3659689,19955,125189,7042,112944,5536,150603,7078,181681,7136,189611,7023,194642,7814,198152,7641,195161,5638,188692,6765,354651,9021,447570,10149,508729,10475,321297,8410,163541,6020,151524,6225,175702,5513,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
