GEO_ID,B10061_001E,B10061_001M,B10061_002E,B10061_002M,B10061_003E,B10061_003M,B10061_004E,B10061_004M,B10061_005E,B10061_005M,B10061_006E,B10061_006M,B10061_007E,B10061_007M,B10061_008E,B10061_008M,B10061_009E,B10061_009M,B10061_010E,B10061_010M,B10061_011E,B10061_011M,NAME,B10061_001MA,B10061_001EA,B10061_002MA,B10061_002EA,B10061_003EA,B10061_003MA,B10061_004EA,B10061_004MA,B10061_005MA,B10061_005EA,B10061_006EA,B10061_006MA,B10061_007MA,B10061_007EA,B10061_008EA,B10061_008MA,B10061_009EA,B10061_009MA,B10061_010MA,B10061_010EA,B10061_011EA,B10061_011MA,state
0400000US01,112765,6610,90283,6244,50040,3817,34655,3392,15385,2187,40243,4106,22482,2595,14620,2052,10820,1769,3800,1262,7862,1368,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15714,2576,13346,2329,5056,1113,2571,742,2485,787,8290,2038,2368,944,1339,579,629,350,710,427,1029,663,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,132142,7426,97584,6096,39132,4545,25184,3574,13948,2028,58452,4269,34558,4289,14830,2501,11650,2202,3180,1016,19728,3290,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66016,4472,51381,4118,30240,3308,21086,2875,9154,1377,21141,2766,14635,2120,9908,1901,8369,1814,1539,597,4727,1084,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,955536,16053,674803,11880,186418,8315,109478,6549,76940,5060,488385,12026,280733,10994,86452,6713,60544,5986,25908,3128,194281,8822,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80134,5160,64295,4446,26758,2924,17293,2185,9465,1980,37537,3372,15839,2685,8273,1924,7191,1715,1082,612,7566,1860,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,51530,4571,39721,4230,10971,2061,6584,1604,4387,1193,28750,3298,11809,2226,5907,1374,4718,1184,1189,582,5902,1587,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16540,2410,13604,2200,4349,1317,3110,1073,1239,687,9255,1532,2936,1078,1258,685,627,382,631,534,1678,940,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12138,1762,6071,1139,2456,706,1106,469,1350,614,3615,1062,6067,1320,3596,1042,2219,860,1377,543,2471,835,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,367593,12345,282704,11304,109899,6886,65851,4415,44048,4603,172805,8264,84889,4979,32351,3036,24142,2633,8209,1715,52538,4704,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,204504,9368,151349,8536,68063,5206,45988,4489,22075,2604,83286,6181,53155,5211,27254,3041,21259,2793,5995,1583,25901,3504,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50303,4383,37981,3562,8436,1577,4133,1064,4303,1057,29545,3134,12322,1981,4294,1397,2797,1223,1497,629,8028,1551,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19860,2265,16452,1971,8129,1438,5192,1247,2937,777,8323,1502,3408,1033,1663,728,1459,698,204,183,1745,862,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
