GEO_ID,C19037G_001E,C19037G_001M,C19037G_002E,C19037G_002M,C19037G_003E,C19037G_003M,C19037G_004E,C19037G_004M,C19037G_005E,C19037G_005M,C19037G_006E,C19037G_006M,C19037G_007E,C19037G_007M,C19037G_008E,C19037G_008M,C19037G_009E,C19037G_009M,C19037G_010E,C19037G_010M,C19037G_011E,C19037G_011M,C19037G_012E,C19037G_012M,C19037G_013E,C19037G_013M,C19037G_014E,C19037G_014M,C19037G_015E,C19037G_015M,C19037G_016E,C19037G_016M,C19037G_017E,C19037G_017M,C19037G_018E,C19037G_018M,C19037G_019E,C19037G_019M,C19037G_020E,C19037G_020M,C19037G_021E,C19037G_021M,C19037G_022E,C19037G_022M,C19037G_023E,C19037G_023M,C19037G_024E,C19037G_024M,C19037G_025E,C19037G_025M,C19037G_026E,C19037G_026M,C19037G_027E,C19037G_027M,C19037G_028E,C19037G_028M,C19037G_029E,C19037G_029M,C19037G_030E,C19037G_030M,C19037G_031E,C19037G_031M,C19037G_032E,C19037G_032M,C19037G_033E,C19037G_033M,C19037G_034E,C19037G_034M,C19037G_035E,C19037G_035M,C19037G_036E,C19037G_036M,C19037G_037E,C19037G_037M,C19037G_038E,C19037G_038M,C19037G_039E,C19037G_039M,C19037G_040E,C19037G_040M,C19037G_041E,C19037G_041M,C19037G_042E,C19037G_042M,C19037G_043E,C19037G_043M,C19037G_044E,C19037G_044M,C19037G_045E,C19037G_045M,NAME,C19037G_001MA,C19037G_001EA,C19037G_002MA,C19037G_002EA,C19037G_003MA,C19037G_003EA,C19037G_004MA,C19037G_004EA,C19037G_005MA,C19037G_005EA,C19037G_006EA,C19037G_006MA,C19037G_007MA,C19037G_007EA,C19037G_008MA,C19037G_008EA,C19037G_009MA,C19037G_009EA,C19037G_010MA,C19037G_010EA,C19037G_011EA,C19037G_011MA,C19037G_012MA,C19037G_012EA,C19037G_013MA,C19037G_013EA,C19037G_014MA,C19037G_014EA,C19037G_015MA,C19037G_015EA,C19037G_016MA,C19037G_016EA,C19037G_017EA,C19037G_017MA,C19037G_018MA,C19037G_018EA,C19037G_019MA,C19037G_019EA,C19037G_020MA,C19037G_020EA,C19037G_021MA,C19037G_021EA,C19037G_022EA,C19037G_022MA,C19037G_023MA,C19037G_023EA,C19037G_024MA,C19037G_024EA,C19037G_025MA,C19037G_025EA,C19037G_026MA,C19037G_026EA,C19037G_027MA,C19037G_027EA,C19037G_028EA,C19037G_028MA,C19037G_029MA,C19037G_029EA,C19037G_030MA,C19037G_030EA,C19037G_031MA,C19037G_031EA,C19037G_032MA,C19037G_032EA,C19037G_033EA,C19037G_033MA,C19037G_034EA,C19037G_034MA,C19037G_035MA,C19037G_035EA,C19037G_036MA,C19037G_036EA,C19037G_037MA,C19037G_037EA,C19037G_038EA,C19037G_038MA,C19037G_039EA,C19037G_039MA,C19037G_040MA,C19037G_040EA,C19037G_041MA,C19037G_041EA,C19037G_042MA,C19037G_042EA,C19037G_043EA,C19037G_043MA,C19037G_044EA,C19037G_044MA,C19037G_045MA,C19037G_045EA,state
0400000US01,13979,1681,991,476,204,201,137,131,439,354,59,97,50,81,102,114,0,265,0,265,0,265,0,265,4544,942,812,510,198,132,496,356,725,455,648,327,411,208,798,503,329,295,103,116,24,46,6094,1149,1234,545,1016,501,371,207,871,544,722,420,868,461,563,324,391,190,0,265,58,100,2350,566,678,319,332,235,488,261,298,236,173,143,244,218,70,95,67,94,0,265,0,265,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31961,2538,1758,711,377,343,404,391,184,159,248,246,193,221,205,119,101,98,0,291,0,291,46,81,16074,1955,1948,855,225,159,1232,534,1648,698,3668,1067,3200,873,2179,686,1256,568,642,434,76,127,10305,1639,1369,604,832,528,724,348,1137,553,1703,669,1927,661,886,360,1059,541,311,308,357,333,3824,803,721,356,482,277,574,322,637,378,355,240,454,338,132,177,366,359,103,128,0,291,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,12950,1404,380,299,0,257,296,288,42,73,0,257,42,72,0,257,0,257,0,257,0,257,0,257,5011,1107,460,391,195,176,1514,686,776,372,703,415,834,449,364,236,165,178,0,257,0,257,5477,1019,1036,525,621,351,558,330,1127,535,968,618,806,428,150,122,193,168,18,35,0,257,2082,608,665,417,306,185,393,251,331,229,140,130,113,112,30,53,51,86,0,257,53,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,252043,6517,18515,2246,3346,1058,1420,674,3345,1049,1457,505,4120,1092,2984,1107,1054,434,668,466,121,147,0,289,114956,5283,5874,1089,5509,1379,7377,1357,9944,1699,16135,1986,24157,2604,18468,1836,16697,2437,5878,1124,4917,1256,89854,5184,5833,1124,3998,906,9439,1807,9343,1582,11096,1497,16233,2079,12494,1704,12686,1656,4769,964,3963,920,28718,2282,2347,849,4365,1008,3833,862,3885,784,4555,1039,4775,993,2007,651,1716,514,956,417,279,190,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29776,2939,4263,1348,918,457,393,366,516,339,838,515,632,569,541,385,348,362,77,131,0,271,0,271,13813,2066,1393,841,319,369,1258,497,1779,838,2004,686,3288,972,2221,758,1217,561,72,141,262,265,9136,1356,751,395,276,209,1347,537,1135,426,1328,486,1793,671,1195,573,841,371,263,260,207,213,2564,611,261,229,388,280,247,191,280,198,369,221,515,342,291,186,213,204,0,271,0,271,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14261,1937,961,527,210,248,32,55,42,72,0,269,559,429,118,140,0,269,0,269,0,269,0,269,7237,1637,602,381,397,336,653,462,389,286,1075,558,1831,778,1012,600,541,351,564,416,173,177,4809,1010,634,549,252,190,280,288,519,441,514,270,1193,451,397,268,624,336,177,174,219,206,1254,461,253,216,308,263,266,213,62,111,180,182,0,269,117,136,68,112,0,269,0,269,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,86789,4743,4792,1096,763,560,348,254,805,471,1085,550,519,259,1033,581,190,248,49,82,0,300,0,300,38809,3502,2338,834,1164,616,3685,1036,5525,1313,7425,1585,7426,1565,4517,1021,4743,1192,1071,466,915,405,30846,2614,3575,875,1444,553,3991,1089,3863,979,3977,1085,5619,1125,5102,1140,2169,714,239,142,867,510,12342,1501,1151,541,1805,660,2775,708,1679,635,2497,882,1708,566,295,236,238,215,137,131,57,84,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
