GEO_ID,C19101I_001E,C19101I_001M,C19101I_002E,C19101I_002M,C19101I_003E,C19101I_003M,C19101I_004E,C19101I_004M,C19101I_005E,C19101I_005M,C19101I_006E,C19101I_006M,C19101I_007E,C19101I_007M,C19101I_008E,C19101I_008M,C19101I_009E,C19101I_009M,C19101I_010E,C19101I_010M,C19101I_011E,C19101I_011M,NAME,C19101I_001EA,C19101I_001MA,C19101I_002EA,C19101I_002MA,C19101I_003MA,C19101I_003EA,C19101I_004MA,C19101I_004EA,C19101I_005EA,C19101I_005MA,C19101I_006EA,C19101I_006MA,C19101I_007EA,C19101I_007MA,C19101I_008MA,C19101I_008EA,C19101I_009MA,C19101I_009EA,C19101I_010EA,C19101I_010MA,C19101I_011EA,C19101I_011MA,state
0400000US01,19043,1896,2664,1042,2047,887,3044,832,3669,903,3434,1044,1511,607,1174,501,712,316,337,244,451,358,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6867,1032,172,211,425,325,878,537,945,501,805,458,1428,477,1273,558,473,293,390,345,78,89,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,365209,6437,27430,3300,19790,2715,61019,4337,55794,3987,68487,4588,68500,4413,31600,2812,23946,2818,5084,1242,3559,950,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30166,1835,1936,827,1779,688,7546,1477,5942,1423,6476,1350,4603,995,1192,494,663,377,0,257,29,50,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2615496,15511,146794,6200,141495,5460,370008,9969,360347,9908,457197,12082,517618,10089,282579,7891,236687,7207,64338,4125,38433,3430,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,206259,5273,17663,2415,15063,1941,30611,3278,30827,3086,38465,3105,35823,3043,20004,2555,12396,1633,3743,958,1664,649,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87833,3050,9684,1726,6065,1281,13973,2083,10403,1838,13683,2226,14542,2129,8973,1566,6156,1175,1736,664,2618,779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10191,1092,1354,752,541,368,1355,485,1147,493,1977,819,1346,579,1093,562,1065,482,126,209,187,173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8111,1147,273,257,722,431,1091,686,1198,536,1300,635,1536,716,487,351,693,452,343,252,468,291,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,877231,10246,47696,3430,52517,4500,121395,6806,121571,6417,158592,7165,170936,7400,92899,4786,72073,4407,18717,1910,20835,2084,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
