C24010_057M,C24010_058E,C24010_058M,C24010_059E,C24010_059M,C24010_060E,C24010_060M,C24010_061E,C24010_061M,C24010_062E,C24010_062M,C24010_063E,C24010_063M,C24010_064E,C24010_064M,C24010_065E,C24010_065M,C24010_066E,C24010_066M,C24010_067E,C24010_067M,C24010_068E,C24010_068M,C24010_069E,C24010_069M,C24010_070E,C24010_070M,C24010_071E,C24010_071M,C24010_072E,C24010_072M,C24010_073E,C24010_073M,C24010_074E,C24010_074M,C24010_075E,C24010_075M,GEO_ID,C24010_001E,C24010_001M,C24010_002E,C24010_002M,C24010_003E,C24010_003M,C24010_004E,C24010_004M,C24010_005E,C24010_005M,C24010_006E,C24010_006M,C24010_007E,C24010_007M,C24010_008E,C24010_008M,C24010_009E,C24010_009M,C24010_010E,C24010_010M,C24010_011E,C24010_011M,C24010_012E,C24010_012M,C24010_013E,C24010_013M,C24010_014E,C24010_014M,C24010_015E,C24010_015M,C24010_016E,C24010_016M,C24010_017E,C24010_017M,C24010_018E,C24010_018M,C24010_019E,C24010_019M,C24010_020E,C24010_020M,C24010_021E,C24010_021M,C24010_022E,C24010_022M,C24010_023E,C24010_023M,C24010_024E,C24010_024M,C24010_025E,C24010_025M,C24010_026E,C24010_026M,C24010_027E,C24010_027M,C24010_028E,C24010_028M,C24010_029E,C24010_029M,C24010_030E,C24010_030M,C24010_031E,C24010_031M,C24010_032E,C24010_032M,C24010_033E,C24010_033M,C24010_034E,C24010_034M,C24010_035E,C24010_035M,C24010_036E,C24010_036M,C24010_037E,C24010_037M,C24010_038E,C24010_038M,C24010_039E,C24010_039M,C24010_040E,C24010_040M,C24010_041E,C24010_041M,C24010_042E,C24010_042M,C24010_043E,C24010_043M,C24010_044E,C24010_044M,C24010_045E,C24010_045M,C24010_046E,C24010_046M,C24010_047E,C24010_047M,C24010_048E,C24010_048M,C24010_049E,C24010_049M,C24010_050E,C24010_050M,C24010_051E,C24010_051M,C24010_052E,C24010_052M,C24010_053E,C24010_053M,C24010_054E,C24010_054M,C24010_055E,C24010_055M,C24010_056E,C24010_056M,C24010_057E,C24010_057MA,C24010_058MA,C24010_058EA,C24010_059MA,C24010_059EA,C24010_060EA,C24010_060MA,C24010_061EA,C24010_061MA,C24010_062MA,C24010_062EA,C24010_063MA,C24010_063EA,C24010_064MA,C24010_064EA,C24010_065EA,C24010_065MA,C24010_066EA,C24010_066MA,C24010_067MA,C24010_067EA,C24010_068MA,C24010_068EA,C24010_069MA,C24010_069EA,C24010_070MA,C24010_070EA,C24010_071EA,C24010_071MA,C24010_072EA,C24010_072MA,C24010_073MA,C24010_073EA,C24010_074MA,C24010_074EA,C24010_075MA,C24010_075EA,NAME,C24010_001MA,C24010_001EA,C24010_002MA,C24010_002EA,C24010_003MA,C24010_003EA,C24010_004MA,C24010_004EA,C24010_005EA,C24010_005MA,C24010_006EA,C24010_006MA,C24010_007MA,C24010_007EA,C24010_008MA,C24010_008EA,C24010_009MA,C24010_009EA,C24010_010EA,C24010_010MA,C24010_011EA,C24010_011MA,C24010_012MA,C24010_012EA,C24010_013MA,C24010_013EA,C24010_014MA,C24010_014EA,C24010_015MA,C24010_015EA,C24010_016EA,C24010_016MA,C24010_017EA,C24010_017MA,C24010_018MA,C24010_018EA,C24010_019MA,C24010_019EA,C24010_020MA,C24010_020EA,C24010_021EA,C24010_021MA,C24010_022EA,C24010_022MA,C24010_023MA,C24010_023EA,C24010_024MA,C24010_024EA,C24010_025MA,C24010_025EA,C24010_026MA,C24010_026EA,C24010_027EA,C24010_027MA,C24010_028EA,C24010_028MA,C24010_029EA,C24010_029MA,C24010_030MA,C24010_030EA,C24010_031MA,C24010_031EA,C24010_032MA,C24010_032EA,C24010_033EA,C24010_033MA,C24010_034EA,C24010_034MA,C24010_035MA,C24010_035EA,C24010_036MA,C24010_036EA,C24010_037MA,C24010_037EA,C24010_038EA,C24010_038MA,C24010_039EA,C24010_039MA,C24010_040MA,C24010_040EA,C24010_041MA,C24010_041EA,C24010_042MA,C24010_042EA,C24010_043EA,C24010_043MA,C24010_044EA,C24010_044MA,C24010_045MA,C24010_045EA,C24010_046MA,C24010_046EA,C24010_047MA,C24010_047EA,C24010_048MA,C24010_048EA,C24010_049EA,C24010_049MA,C24010_050EA,C24010_050MA,C24010_051MA,C24010_051EA,C24010_052MA,C24010_052EA,C24010_053MA,C24010_053EA,C24010_054EA,C24010_054MA,C24010_055EA,C24010_055MA,C24010_056MA,C24010_056EA,C24010_057EA,state
1230,4842,1079,1652,580,63943,4941,28195,2426,40710,3142,336099,7818,121041,5420,215058,6374,3409,935,11007,1845,5504,1300,5503,1295,79062,3973,55902,3157,23160,2344,1048,424,10034,1520,12078,1616,0400000US01,2014473,14052,1077742,8372,288778,7346,133185,5223,102808,4301,30377,2516,155593,6143,23924,2889,36714,2922,7684,1247,12850,1721,9641,1380,25183,2489,11662,1632,27935,2918,19602,2163,8333,1856,127698,6440,3996,932,31778,3017,18253,2424,13525,1934,35547,3873,45284,3589,11093,1851,171367,6530,107647,5041,63720,4235,10570,1585,220766,7698,133537,5997,87229,4899,258563,8040,136878,5564,121685,5217,11582,1497,59155,3244,50948,3754,936731,8758,331624,7873,104740,4243,65773,3724,38967,2834,226884,6434,10860,1699,6074,1147,5190,1087,15933,2033,9574,1403,82143,3620,11885,1492,85225,4620,52019,3575,33206,2910,175530,7125,36188,3586,6494,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
364,635,302,496,275,10965,1633,6004,1308,9573,1510,51428,3660,16366,2069,35062,3327,459,292,1678,654,1307,635,371,262,5714,1135,2251,653,3463,1003,908,386,1151,598,1404,687,0400000US02,322618,6281,170381,4093,52155,2986,23112,2461,17850,2211,5262,1164,29043,2448,3124,800,6836,1193,3234,903,2470,814,2014,661,5598,990,1942,583,3825,932,2639,730,1186,534,23024,2440,831,400,5746,1138,3179,962,2567,679,6241,1311,8483,1560,1723,520,25801,2621,11825,1643,13976,1914,4293,1061,35947,2695,24584,2572,11363,1252,29161,2476,9798,1751,19363,1851,5088,771,6466,1242,7809,1263,152237,4138,60629,2780,21461,2047,13883,1571,7578,1166,39168,2709,1668,792,1090,446,1337,500,4214,951,2096,646,13942,1545,3343,918,11478,1817,8131,1319,3347,1266,32329,2446,4656,1049,1131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2147,6873,1453,7714,1700,78351,5880,45017,3792,71481,5596,469349,10224,163439,6159,305910,8207,2729,859,12455,2394,7873,2015,4582,1418,57127,4206,35059,3371,22068,2587,2426,728,9315,1674,10327,1747,0400000US04,2792806,16291,1553892,9042,459050,11089,222022,8356,166898,7372,55124,3898,237028,8490,45684,3321,55233,4175,10588,1787,19060,2455,11989,1686,37568,3156,24791,2412,32115,2585,23935,2247,8180,1360,236542,9776,6444,1391,48612,4157,26149,2787,22463,2888,77328,5619,82073,5258,22085,3031,295413,9088,183045,7011,112368,6210,11391,2858,331071,11154,236187,10684,94884,5337,220425,8064,95284,5812,125141,5953,14499,1995,65150,4361,45492,4427,1238914,12923,450911,9811,164486,6462,96125,5511,68361,3835,286425,7784,17354,1960,8730,1263,7989,1348,24663,2500,14850,1926,98002,5258,24006,2662,90831,4519,58644,3634,32187,2936,246343,8781,36907,3494,14587,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1286,2452,819,2837,837,39679,2794,19879,2086,25898,2436,203819,5868,71773,4058,132046,4757,2130,609,5554,1215,2557,838,2997,950,58764,3811,42765,3036,15999,2062,1325,777,5711,1380,8963,1290,0400000US05,1251076,10826,665707,7765,163499,5422,84010,4211,68077,3543,15933,1915,79489,4130,11499,1913,12532,1575,3387,858,8191,1178,4871,1053,17151,2112,7001,1482,14857,1839,10081,1472,4776,1058,78614,4201,2399,812,17742,2179,7968,1377,9774,1576,23983,2749,28571,2723,5919,1173,113001,4794,69949,3940,43052,2950,15795,2169,125326,5159,76275,4252,49051,2931,169472,5886,87799,4231,81673,5040,5814,1319,38171,3551,37688,2904,585369,7753,194101,7044,55675,3235,34715,2519,20960,2041,138426,5783,4581,1013,2257,745,2738,744,10316,1560,5277,1184,54889,3414,6276,1083,52092,3549,31082,2702,21010,2161,121001,4698,30256,2599,5289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4588,40047,3637,25234,2547,411408,12110,273566,9822,493907,11622,2605646,25917,945215,17271,1660431,23515,52426,4017,49587,3631,26964,2674,22623,2665,460511,13335,310525,10263,149986,7447,12748,1744,45426,3731,91812,6055,0400000US06,16740938,37666,9277767,24960,3007388,21638,1359865,16452,1017363,15932,342502,9841,1647523,18545,324014,8453,322108,9171,89907,4629,96890,5615,101253,5860,253329,7759,237309,8177,222713,7096,162340,6065,60373,4076,1311151,20072,45415,3817,265577,7998,156824,5741,108753,5895,418853,14453,439504,11778,141802,5578,1746622,22913,1046882,18709,699740,13093,167923,8829,1552662,24886,1044430,19919,508232,12907,1492021,22178,688896,15291,803125,16701,72585,5253,396051,10706,334489,11432,7463171,28468,2809940,21690,1047491,15662,615109,13774,432382,11144,1762449,17571,111425,6022,63632,3623,85136,4673,142241,6016,97096,4715,622253,10613,178050,7379,462616,11490,319283,9560,143333,6135,1485061,20297,240899,8422,65281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1780,7214,1507,4820,1002,72001,4490,37938,3666,59944,4601,388928,8021,142199,5408,246729,6693,3164,932,8991,1388,5283,1004,3708,934,51541,3598,31735,2821,19806,2329,1558,662,8287,1530,9961,1656,0400000US08,2432651,13514,1328540,8982,464024,8404,226419,6964,173522,5995,52897,3479,237605,5985,59846,3349,49821,3021,14555,1670,12242,1627,11768,1631,32695,2545,26823,3203,29855,2622,20130,1891,9725,1678,176279,7516,4660,1170,35711,2863,19155,2076,16556,1879,62188,5123,55266,3997,18454,2721,236511,7882,150077,6136,86434,5025,10119,1577,258808,9059,180460,8262,78348,4350,182799,6961,76293,4124,106506,5769,13556,1727,55635,4363,37315,3038,1104111,9743,435853,9240,165773,5811,98226,4127,67547,3947,270080,7564,20130,2382,8781,1310,11268,1515,22106,2495,15510,1943,92112,4348,25069,2734,75104,4441,53125,3649,21979,2262,215634,8056,33717,2469,12034,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1415,4636,1108,2975,950,39712,2914,22600,2356,44443,3104,284437,7318,98516,5074,185921,6439,465,287,3932,980,1517,581,2415,810,43818,3454,32210,2707,11608,1622,784,353,6702,1302,4122,990,0400000US09,1764288,10606,925131,7321,330153,8812,156450,6480,113273,5698,43177,3307,173703,6630,34828,2756,32591,2817,11759,1723,9069,1441,13056,1529,28707,2931,20392,2179,23301,2634,18508,2258,4793,1041,129310,5621,5347,1189,31161,3188,18080,2718,13081,1858,36635,3359,42075,3486,14092,2286,177988,5780,112157,4699,65831,3644,2003,655,144400,5594,91595,4016,52805,3893,141277,7142,73999,4670,67278,4592,6708,1474,35611,2983,24959,2784,839157,7811,351203,7036,120002,4881,70835,3685,49167,3253,231201,5740,13337,1771,4974,1255,9419,1462,20254,2095,13133,1227,83101,3740,17348,2105,69635,3849,46694,2972,22941,2182,155302,6170,40936,3799,7611,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
978,1536,723,902,632,15761,2092,5302,1277,8875,1409,70539,3779,23227,2428,47312,3417,289,205,2020,623,975,397,1045,560,8916,1591,5668,1293,3248,934,76,91,1446,695,1726,688,0400000US10,406864,6153,210706,3892,69660,3727,34078,3043,25295,2835,8783,1625,35582,2947,7087,1410,5856,1155,4033,1050,2862,807,2383,701,6432,1248,2637,753,4292,1078,3101,886,1191,537,27007,2480,1127,487,6106,1146,3133,903,2973,820,8401,1626,7558,1516,3815,1118,41178,3284,24374,2436,16804,1871,1243,521,36875,3080,22560,2059,14315,1857,34743,3357,15511,1960,19232,2276,1728,553,10287,1651,7217,1448,196158,4646,73561,3455,24808,2290,15578,1615,9230,1496,48753,2883,2679,825,1185,574,2128,647,4537,1034,2771,969,16549,1665,3271,905,15633,1667,10748,1502,4885,933,40833,3079,8457,1356,2438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
723,2352,696,235,195,6146,1437,7152,1334,4622,1007,35379,2488,10464,1732,24915,2178,0,292,547,350,365,302,182,166,1935,776,980,570,955,546,38,66,364,318,553,465,0400000US11,288360,4466,139357,3062,74407,3217,28337,2722,18616,2401,9721,1612,46070,2879,7508,1291,3872,969,4625,1018,1630,574,10509,1784,6525,1144,8279,1414,3122,949,2121,944,1001,619,23330,2334,694,460,4368,948,3831,862,537,376,8951,1728,6984,1625,2333,771,22558,2433,9208,1639,13350,1941,704,509,8693,1474,6183,1277,2510,754,9665,1649,1861,649,7804,1497,539,293,4830,1252,2435,856,149003,3836,87312,3900,29924,2521,18199,2040,11725,1507,57388,3388,7326,1372,1068,604,6554,1290,4114,773,10229,1774,13673,2013,9193,1454,5231,1393,3274,1064,1957,747,23830,2429,3323,971,2587,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
4051,26475,2609,23192,2776,257242,9335,153964,6382,181414,7194,1489452,16091,554893,12561,934559,13802,16633,2701,41263,3748,27482,2763,13781,2045,169846,7335,101617,5384,68229,5492,7692,1679,28863,3023,31674,3579,0400000US12,8344108,29633,4488438,18631,1281088,19058,660694,11804,499536,10541,161158,6916,620394,12615,104589,4950,111687,6553,25583,2534,44953,3494,41963,3141,92625,6126,83893,4471,115101,5100,81799,4394,33302,3159,701184,17058,20047,2748,154775,6865,88133,5171,66642,4587,223175,8850,230648,9578,72539,4866,893959,14600,572927,12786,321032,9324,45023,5344,951142,18219,648162,16311,302980,8572,616042,15831,223951,8900,392091,11796,48987,3771,210467,7915,132637,7476,3855670,20720,1345632,17442,485477,11312,299402,8648,186075,7102,860155,15154,39330,3055,19454,2240,20008,2019,66422,4912,56028,3538,295466,9222,66460,4274,296987,9161,187380,6674,109607,5875,792844,14699,150557,8425,49667,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
