GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001EA,B17020I_001MA,B17020I_002EA,B17020I_002MA,B17020I_003EA,B17020I_003MA,B17020I_004EA,B17020I_004MA,B17020I_005EA,B17020I_005MA,B17020I_006MA,B17020I_006EA,B17020I_007EA,B17020I_007MA,B17020I_008EA,B17020I_008MA,B17020I_009EA,B17020I_009MA,B17020I_010EA,B17020I_010MA,B17020I_011MA,B17020I_011EA,B17020I_012EA,B17020I_012MA,B17020I_013EA,B17020I_013MA,B17020I_014EA,B17020I_014MA,B17020I_015EA,B17020I_015MA,B17020I_016MA,B17020I_016EA,B17020I_017MA,B17020I_017EA,state
0400000US01,109519,1838,29531,3816,5070,1341,792,390,4119,1059,2974,1209,16353,2334,59,95,164,145,79988,3926,10124,1658,1645,642,7259,1071,7534,1390,51033,2863,1462,638,931,571,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35394,848,6267,2099,1424,689,200,194,967,531,486,368,3158,1147,32,55,0,235,29127,2147,3449,908,388,231,3303,851,2564,552,18802,1232,392,224,229,263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1768426,3499,397498,21095,66980,5391,10644,1651,59695,5317,48353,4998,198223,10189,7433,1336,6170,1311,1370928,21108,144495,5175,27300,2690,158147,6348,146845,5659,827541,10182,39945,1585,26655,1516,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,133743,2189,36557,4957,7063,1415,1228,523,5309,1193,3941,977,18505,2829,167,179,344,276,97186,5277,10679,1367,1507,566,10572,1385,10034,1370,62225,3520,1811,681,358,251,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12827091,7551,2450810,48020,353885,9722,65427,4519,375697,12204,338505,12231,1228683,24624,48137,3547,40476,3801,10376281,49078,1003569,10228,180200,6933,1091267,14627,1104662,16324,6447002,25009,317976,3653,231605,3956,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,915025,1895,211199,12344,33542,3659,6562,1445,31551,3446,23973,2751,108761,6614,4264,963,2546,641,703826,12002,69648,3632,13883,1974,73271,3850,66461,3989,442122,6632,23635,1501,14806,1061,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,378462,1542,86729,7977,11208,2085,2996,909,12791,2173,10069,1775,45921,4272,2670,761,1074,461,291733,7816,23720,2071,4474,1198,28933,2786,29888,2099,191092,4031,8612,863,5014,726,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,52554,451,13036,3423,1411,679,319,296,1958,803,1332,807,7879,2057,62,103,75,129,39518,3437,5751,697,533,314,4194,883,4130,1128,23409,2192,1210,565,291,279,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45926,812,8444,2949,514,460,0,292,1076,864,1234,778,4699,1575,439,412,482,464,37482,3272,2537,675,467,576,2482,946,2141,841,28211,1627,1292,485,352,314,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3582247,4492,590568,19517,65960,4989,8778,1462,59988,5694,59080,4633,317678,11479,38932,2844,40152,3264,2991679,20738,228633,5008,41405,3569,234556,7391,240033,6561,1964893,11809,160420,2930,121739,3123,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
