GEO_ID,C18036_001E,C18036_001M,C18036_002E,C18036_002M,C18036_003E,C18036_003M,C18036_004E,C18036_004M,C18036_005E,C18036_005M,C18036_006E,C18036_006M,C18036_007E,C18036_007M,C18036_008E,C18036_008M,C18036_009E,C18036_009M,C18036_010E,C18036_010M,C18036_011E,C18036_011M,C18036_012E,C18036_012M,C18036_013E,C18036_013M,C18036_014E,C18036_014M,C18036_015E,C18036_015M,NAME,C18036_001EA,C18036_001MA,C18036_002EA,C18036_002MA,C18036_003EA,C18036_003MA,C18036_004EA,C18036_004MA,C18036_005MA,C18036_005EA,C18036_006EA,C18036_006MA,C18036_007EA,C18036_007MA,C18036_008EA,C18036_008MA,C18036_009EA,C18036_009MA,C18036_010MA,C18036_010EA,C18036_011EA,C18036_011MA,C18036_012EA,C18036_012MA,C18036_013EA,C18036_013MA,C18036_014EA,C18036_014MA,C18036_015MA,C18036_015EA,state
0400000US01,2918026,4258,313450,8279,147558,5461,44519,3125,103039,5027,165892,5853,56986,3211,108906,5111,2604576,9076,1263114,6142,128877,6593,1134237,8512,1341462,6657,210070,6830,1131392,9290,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,447381,2286,27849,2710,13269,1616,3109,881,10160,1446,14580,2204,3610,1192,10970,1935,419532,3676,212535,2712,16244,1853,196291,3146,206997,3068,21773,2605,185224,4084,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3842894,12110,248707,7887,117735,4783,29733,2823,88002,4690,130972,6227,39959,3718,91013,4868,3594187,14651,1810701,9210,198349,9662,1612352,9956,1783486,8026,246469,9886,1537017,11101,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1755985,4762,201499,7057,98388,4173,30224,2229,68164,3610,103111,4790,35799,3337,67312,3475,1554486,7870,763008,5674,83119,5236,679889,6973,791478,5930,126354,5926,665124,8392,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23493486,11405,1393560,19384,671652,14718,162874,6962,508778,12347,721908,11309,191738,6304,530170,10424,22099926,20488,11113567,16753,1089437,25065,10024130,29932,10986359,13549,1400428,25058,9585931,26818,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3152301,4473,171304,7281,86394,4644,24607,2633,61787,3818,84910,4787,25852,2776,59058,4093,2980997,8267,1503301,5778,133852,6035,1369449,7693,1477696,5397,168837,7343,1308859,8081,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2237833,3703,123008,5779,57509,3536,12894,1683,44615,3022,65499,4006,19923,2521,45576,3249,2114825,6771,1039645,4651,56183,4180,983462,6617,1075180,4887,85467,5012,989713,6619,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,538501,1494,36960,3271,18304,2111,4730,1391,13574,1648,18656,2248,5619,1333,13037,1779,501541,3660,243796,2566,17308,2567,226488,3649,257745,2550,27846,2887,229899,3516,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,381086,1585,21459,2555,10878,1707,4418,1099,6460,1367,10581,1364,4829,1088,5752,1072,359627,2901,166890,2782,22411,2587,144479,3163,192737,2487,32799,3295,159938,3844,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11218559,9827,790902,14981,378771,10782,98264,4957,280507,8679,412131,10675,129361,6101,282770,9194,10427657,17396,5144209,14396,443084,13363,4701125,16916,5283448,10509,642617,15646,4640831,20286,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
