GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001EA,B25116_001MA,B25116_002MA,B25116_002EA,B25116_003MA,B25116_003EA,B25116_004EA,B25116_004MA,B25116_005EA,B25116_005MA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008MA,B25116_008EA,B25116_009EA,B25116_009MA,B25116_010EA,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014MA,B25116_014EA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019EA,B25116_019MA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022EA,B25116_022MA,B25116_023MA,B25116_023EA,state
0400000US01,1796058,10547,1289272,11970,300903,7200,105700,4821,61465,3190,56809,3101,76929,3654,988369,12498,594510,9764,198598,4331,119134,2704,76127,2851,506786,9952,195947,7318,124436,6320,28895,2236,18421,1944,24195,2270,310839,8517,265965,7899,23206,2274,13056,1842,8612,1250,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,148249,3302,29732,2481,15591,1810,7637,1337,3200,686,3304,664,118517,2854,82361,2714,22012,1517,9510,916,4634,617,81629,2772,27401,2200,20755,2096,4155,934,1122,427,1369,394,54228,2554,47476,2378,4775,948,1128,391,849,418,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1523041,12956,349517,8715,143004,5997,69108,3964,56545,3334,80860,3860,1173524,14270,696967,11439,216822,4501,148791,3323,110944,2995,701951,12863,247333,8231,160414,6263,31843,2968,20500,2208,34576,3032,454618,10457,394573,10021,33692,2807,13408,1954,12945,1774,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,753412,8763,170361,6076,56282,3118,35131,2663,31749,2645,47199,2737,583051,8682,341582,7166,116278,2996,76766,2318,48425,2319,350016,7559,125864,4674,76343,4527,18557,1903,12012,1544,18952,1825,224152,7080,195111,6491,16068,1784,7719,1108,5254,999,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7102197,26399,1409374,17312,487088,12529,306344,7268,248117,7013,367825,7458,5692823,25535,3562077,22413,1078426,11633,601860,7744,450460,7585,5049030,24989,1584998,17973,994442,16466,227945,8417,154381,5525,208230,5724,3464032,22642,2968662,19833,286447,9117,120633,4828,88290,4859,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1269421,10162,291097,7088,134913,4804,66210,3200,40772,2611,49202,2544,978324,9149,653087,8055,177672,3413,90099,2643,57466,2437,577567,10807,230280,7145,156200,5631,31105,2930,17298,2410,25677,2448,347287,9789,311076,9310,21014,2273,9161,1545,6036,1134,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,921382,7687,190821,6226,70505,4191,41550,2983,29255,2145,49511,2224,730561,8024,457882,7584,140972,3378,76529,2352,55178,1993,404061,6979,168498,5646,91280,4780,25776,2146,19884,2007,31558,2341,235563,6322,199434,6125,17892,1941,9620,1300,8617,1045,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,238194,3604,56285,3254,21949,2091,11185,1332,10216,1289,12935,1293,181909,4288,110280,3791,35189,1487,21655,1226,14785,1095,81916,3849,30682,2760,18743,2229,4453,1117,2545,778,4941,822,51234,4028,44832,3636,3932,980,1505,482,965,342,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,114586,3453,45414,2657,23512,2079,9243,1183,5786,1008,6873,1111,69172,3086,36707,2422,14270,1476,10006,1176,8189,929,135870,4564,72736,3826,48706,3458,10326,1324,6692,1230,7012,1363,63134,3750,51897,3345,6053,1110,2978,759,2206,698,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,4994101,23446,1235897,16685,408510,9378,239189,6555,220404,5983,367794,9133,3758204,21261,2080050,18445,721837,9273,520230,6503,436087,7278,2111941,22368,756006,13300,460488,11541,102986,5412,71036,3866,121496,4555,1355935,20606,1147352,19113,105559,4879,53627,3260,49397,3441,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
