GEO_ID,C24010H_001E,C24010H_001M,C24010H_002E,C24010H_002M,C24010H_003E,C24010H_003M,C24010H_004E,C24010H_004M,C24010H_005E,C24010H_005M,C24010H_006E,C24010H_006M,C24010H_007E,C24010H_007M,C24010H_008E,C24010H_008M,C24010H_009E,C24010H_009M,C24010H_010E,C24010H_010M,C24010H_011E,C24010H_011M,C24010H_012E,C24010H_012M,C24010H_013E,C24010H_013M,C24010H_014E,C24010H_014M,C24010H_015E,C24010H_015M,NAME,C24010H_001MA,C24010H_001EA,C24010H_002MA,C24010H_002EA,C24010H_003EA,C24010H_003MA,C24010H_004MA,C24010H_004EA,C24010H_005MA,C24010H_005EA,C24010H_006MA,C24010H_006EA,C24010H_007MA,C24010H_007EA,C24010H_008EA,C24010H_008MA,C24010H_009EA,C24010H_009MA,C24010H_010MA,C24010H_010EA,C24010H_011MA,C24010H_011EA,C24010H_012MA,C24010H_012EA,C24010H_013EA,C24010H_013MA,C24010H_014EA,C24010H_014MA,C24010H_015MA,C24010H_015EA,state
0400000US01,1463678,11782,808364,6729,244115,6193,76533,4895,137647,5741,6136,1154,171430,6179,172503,6260,655314,7859,252525,6426,105055,5210,244904,6334,2316,730,7842,1585,42672,3464,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,232540,5015,126553,3592,43695,2773,13868,1826,17674,2219,3733,993,28788,2503,18795,2174,105987,3085,47802,2612,18298,1920,35004,2680,393,278,1362,588,3128,990,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1766143,13083,952027,7008,356470,9051,112912,6893,212398,8169,2121,880,149244,6464,118882,6533,814116,9944,337152,8248,135770,6763,310388,8061,501,385,7088,1410,23217,2470,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,990708,9505,528712,6065,143533,5199,52681,3343,94435,4486,10919,1679,102894,4636,124250,5325,461996,6957,160790,6120,85498,4191,173092,5902,1493,419,4625,1066,36498,3109,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7750179,25879,4195499,18013,1853144,16275,429731,10517,851456,13880,16198,2256,606142,13593,438828,9560,3554680,18051,1629639,16121,536681,11355,1268095,15713,3335,869,25053,2649,91877,5097,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1835603,11394,982103,7238,398930,7218,110677,5239,186160,6416,5824,1236,162798,7233,117714,5603,853500,7884,369470,7475,140955,6687,305803,7878,2465,832,7036,1079,27771,2542,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1352450,8811,710860,5854,279054,7466,83483,4161,137863,4645,1386,482,111189,4474,97885,5389,641590,6128,294024,5834,100378,4487,216997,5573,392,268,3040,827,26759,2584,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,290878,4424,153016,2834,54317,2865,17039,1858,32243,2639,693,366,26506,2396,22218,2482,137862,3828,56366,3002,24758,2498,50559,2955,164,142,1118,579,4897,1264,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,122681,2521,61931,2055,49168,2193,3280,1032,7760,1363,549,460,602,379,572,354,60750,1689,47426,2186,3343,868,9829,1599,0,292,152,183,0,292,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5109670,21844,2751279,12393,920591,14259,378310,11438,571231,11804,11947,2007,542488,11141,326712,10077,2358391,16002,908547,13032,397239,10492,949813,14659,4265,1216,25021,3083,73506,4693,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2693447,15225,1464195,9741,526915,8594,135519,6382,282277,7383,8863,1606,282144,8917,228477,8449,1229252,11744,518584,9910,179998,8229,461408,10954,2833,969,10014,1648,56415,4413,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,156211,3301,85772,2404,38241,2743,15513,2266,13098,1628,436,305,13164,1941,5320,1037,70439,2423,32045,2596,11496,1461,23959,2326,268,181,1026,677,1645,650,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,608549,5795,333082,4116,102071,3877,34722,2917,59200,3827,7775,1327,72647,3808,56667,3369,275467,4108,97733,3850,57529,3715,98431,4476,1461,539,5034,1240,15279,1686,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4291389,16779,2280751,11910,817849,10644,239483,6601,427695,8624,12412,1528,368784,8853,414528,8793,2010638,11774,820354,11665,351142,8963,724942,12383,2859,806,9782,1663,101559,4855,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2612238,13164,1394995,8617,380977,8588,142753,5334,226741,6675,8078,1445,262943,8269,373503,7953,1217243,10243,425222,8594,234722,5619,421484,7593,2080,636,8963,1415,124772,5576,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1434643,8918,753619,5078,232674,4526,81253,4207,127076,5238,11945,1423,120570,4506,180101,5610,681024,6534,246588,5204,140393,4447,235256,5882,2922,747,3775,722,52090,2925,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1164731,9011,618383,5228,210378,6212,67688,3841,108527,4894,9783,1188,106151,4328,115856,4818,546348,6289,216510,5566,100181,4111,191259,6268,1395,471,4933,919,32070,3193,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1675434,12268,893294,8390,243130,7513,90217,4037,152626,6615,7435,1441,183295,5846,216591,6280,782140,8399,287352,6593,143748,5204,281373,7126,1910,535,4707,1042,63050,3651,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1252454,9442,688015,6012,204264,5251,70107,3855,116755,4415,6257,1114,165999,5832,124633,5029,564439,7306,223937,6095,96379,4800,219978,6543,889,426,5099,1126,18157,2187,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
