GEO_ID,C20005G_001E,C20005G_001M,C20005G_002E,C20005G_002M,C20005G_003E,C20005G_003M,C20005G_004E,C20005G_004M,C20005G_005E,C20005G_005M,C20005G_006E,C20005G_006M,C20005G_007E,C20005G_007M,C20005G_008E,C20005G_008M,C20005G_009E,C20005G_009M,C20005G_010E,C20005G_010M,C20005G_011E,C20005G_011M,C20005G_012E,C20005G_012M,C20005G_013E,C20005G_013M,C20005G_014E,C20005G_014M,C20005G_015E,C20005G_015M,C20005G_016E,C20005G_016M,C20005G_017E,C20005G_017M,C20005G_018E,C20005G_018M,C20005G_019E,C20005G_019M,C20005G_020E,C20005G_020M,C20005G_021E,C20005G_021M,C20005G_022E,C20005G_022M,C20005G_023E,C20005G_023M,C20005G_024E,C20005G_024M,C20005G_025E,C20005G_025M,C20005G_026E,C20005G_026M,C20005G_027E,C20005G_027M,C20005G_028E,C20005G_028M,C20005G_029E,C20005G_029M,C20005G_030E,C20005G_030M,C20005G_031E,C20005G_031M,C20005G_032E,C20005G_032M,C20005G_033E,C20005G_033M,C20005G_034E,C20005G_034M,C20005G_035E,C20005G_035M,C20005G_036E,C20005G_036M,C20005G_037E,C20005G_037M,C20005G_038E,C20005G_038M,C20005G_039E,C20005G_039M,NAME,C20005G_001MA,C20005G_001EA,C20005G_002EA,C20005G_002MA,C20005G_003EA,C20005G_003MA,C20005G_004MA,C20005G_004EA,C20005G_005MA,C20005G_005EA,C20005G_006MA,C20005G_006EA,C20005G_007MA,C20005G_007EA,C20005G_008EA,C20005G_008MA,C20005G_009EA,C20005G_009MA,C20005G_010MA,C20005G_010EA,C20005G_011MA,C20005G_011EA,C20005G_012MA,C20005G_012EA,C20005G_013EA,C20005G_013MA,C20005G_014EA,C20005G_014MA,C20005G_015MA,C20005G_015EA,C20005G_016MA,C20005G_016EA,C20005G_017MA,C20005G_017EA,C20005G_018MA,C20005G_018EA,C20005G_019EA,C20005G_019MA,C20005G_020EA,C20005G_020MA,C20005G_021MA,C20005G_021EA,C20005G_022MA,C20005G_022EA,C20005G_023MA,C20005G_023EA,C20005G_024EA,C20005G_024MA,C20005G_025EA,C20005G_025MA,C20005G_026EA,C20005G_026MA,C20005G_027EA,C20005G_027MA,C20005G_028EA,C20005G_028MA,C20005G_029MA,C20005G_029EA,C20005G_030MA,C20005G_030EA,C20005G_031MA,C20005G_031EA,C20005G_032EA,C20005G_032MA,C20005G_033EA,C20005G_033MA,C20005G_034MA,C20005G_034EA,C20005G_035MA,C20005G_035EA,C20005G_036MA,C20005G_036EA,C20005G_037EA,C20005G_037MA,C20005G_038EA,C20005G_038MA,C20005G_039MA,C20005G_039EA,state
0400000US01,29898,2587,13129,1583,4975,819,0,265,4975,819,62,84,768,305,1358,490,1524,572,973,413,290,194,8154,1398,3641,763,4513,991,2296,755,1203,576,375,228,314,214,281,234,44,56,16769,1812,3691,956,0,265,3691,956,202,198,567,270,1040,535,1499,630,247,182,136,132,13078,1627,8061,1193,5017,985,2974,754,977,481,736,455,262,220,68,89,0,265,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28887,3014,14915,1902,4778,1047,0,235,4778,1047,328,392,246,202,578,337,1473,532,1102,581,1051,459,10137,1565,3065,728,7072,1508,3439,1102,1144,563,807,597,536,329,668,435,478,313,13972,1749,4343,952,0,235,4343,952,179,217,411,264,1193,573,1680,635,632,465,248,235,9629,1543,3193,857,6436,1329,4195,1143,1136,544,605,383,284,262,166,165,50,87,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,77659,4971,38602,3074,15892,2164,0,291,15892,2164,133,136,2137,862,3334,999,6162,1288,2212,764,1914,746,22710,2305,10038,1617,12672,1738,5996,1131,2908,808,1117,662,1690,619,268,235,693,464,39057,3579,12723,1755,0,291,12723,1755,975,536,2750,829,2660,811,4543,1248,1313,508,482,334,26334,3079,13187,2018,13147,1904,8387,1570,1689,527,1499,666,986,495,301,213,285,362,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24096,2638,11906,1663,4088,969,0,257,4088,969,0,257,518,401,1501,702,1159,554,692,388,218,182,7818,1356,3980,873,3838,1097,1502,633,1017,474,986,630,333,278,0,257,0,257,12190,1690,2545,667,0,257,2545,667,94,130,735,418,728,349,697,366,247,195,44,73,9645,1615,6438,1383,3207,796,1556,492,1080,530,400,297,171,162,0,257,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,681849,15977,334500,10676,125943,5999,101,162,125842,6011,3539,1434,12430,2022,18758,2538,35287,3680,29397,2744,26431,2591,208557,8430,89144,4149,119413,6544,56234,4147,24635,2822,13559,1821,11551,1878,7532,1394,5902,1180,347349,9145,98207,5114,0,289,98207,5114,2036,712,14128,2139,18912,2282,31907,2467,19893,2203,11331,1888,249142,7958,112103,4820,137039,6014,68667,4229,29306,2775,13851,1990,14741,1844,7789,1348,2685,746,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,65740,4730,31721,2996,12408,1680,0,271,12408,1680,529,365,1410,716,2333,795,3791,1061,2577,750,1768,715,19313,2359,6581,1398,12732,1802,5996,1247,2300,735,1676,612,1768,748,622,338,370,244,34019,3164,11242,1918,51,81,11191,1903,293,315,1828,781,2230,718,3931,976,2219,736,690,415,22777,2604,9318,1727,13459,1718,7543,1391,2650,773,1642,704,1214,612,257,199,153,184,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,34341,3742,15741,2327,6520,1522,0,269,6520,1522,0,269,835,507,589,375,1861,654,1626,720,1609,815,9221,1708,3303,1066,5918,1327,3034,964,1430,636,442,308,356,230,290,233,366,250,18600,2235,4292,1063,0,269,4292,1063,0,269,293,209,423,331,2119,735,1168,540,289,235,14308,1872,5130,940,9178,1523,4621,963,2399,912,1213,498,553,297,283,289,109,128,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,191180,8789,97096,5596,40652,3535,115,196,40537,3505,784,503,7184,1957,7301,1526,13666,1872,6910,1351,4692,1148,56444,4582,23697,2339,32747,3903,15233,2440,7312,1837,4431,1240,4103,1302,857,336,811,440,94084,5391,29276,2462,47,88,29229,2476,1541,772,5529,1348,7616,1358,10206,1735,2956,619,1381,496,64808,4767,32823,3038,31985,3236,17286,2255,7259,1370,3425,1261,2624,735,748,414,643,412,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
