GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001MA,B25007_001EA,B25007_002MA,B25007_002EA,B25007_003EA,B25007_003MA,B25007_004EA,B25007_004MA,B25007_005MA,B25007_005EA,B25007_006MA,B25007_006EA,B25007_007MA,B25007_007EA,B25007_008EA,B25007_008MA,B25007_009EA,B25007_009MA,B25007_010EA,B25007_010MA,B25007_011MA,B25007_011EA,B25007_012MA,B25007_012EA,B25007_013MA,B25007_013EA,B25007_014EA,B25007_014MA,B25007_015EA,B25007_015MA,B25007_016MA,B25007_016EA,B25007_017MA,B25007_017EA,B25007_018MA,B25007_018EA,B25007_019EA,B25007_019MA,B25007_020EA,B25007_020MA,B25007_021EA,B25007_021MA,state
0400000US01,1796058,10547,1289272,11970,22836,2479,139074,5440,246593,5318,291707,5825,142602,4253,117461,3965,175943,3741,119263,3234,33793,2798,506786,9952,69333,4515,137648,5449,103116,4877,80304,3995,30058,2149,22043,1936,31477,2854,21975,2150,10832,1450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,229878,2779,148249,3302,2082,716,15752,1660,33290,1793,46828,2029,17196,1434,12453,1454,12710,914,6781,778,1157,355,81629,2772,10232,1496,24380,2034,18516,1587,15103,1770,4665,904,4265,879,2250,550,1526,484,692,270,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2224992,11475,1523041,12956,24888,2577,194645,6847,290438,7317,330000,5702,157942,4801,127988,3965,205336,3316,151021,3514,40783,2683,701951,12863,91569,5146,206050,7197,150762,7122,106606,5768,40295,2993,25240,2794,33908,2813,29162,2678,18359,2402,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1103428,7576,753412,8763,15887,1919,82804,3795,133782,4426,165391,3914,82830,3263,68579,2832,108515,2863,73695,2616,21929,1894,350016,7559,51368,3340,92517,4265,71034,3640,56535,3398,20196,1859,14429,1671,19731,1793,16171,1839,8035,1187,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12151227,18090,7102197,26399,59450,4628,698201,11055,1523593,13887,1767921,14471,786426,11072,598344,9589,849977,8865,622955,9197,195330,5453,5049030,24989,468873,10082,1353254,14855,1221209,13894,919768,15507,306739,9690,207653,6479,275014,6717,206227,6415,90293,4547,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1846988,9333,1269421,10162,15103,1711,173801,5425,277664,6073,321432,5528,141676,3845,102206,3736,130871,3315,83113,3206,23555,1971,577567,10807,90824,4170,169684,6670,114950,5311,91818,4693,32834,2691,19285,2062,26459,2855,19760,1690,11953,1602,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1325443,5814,921382,7687,7417,1562,87737,4007,195984,4807,237249,4497,101573,3590,80949,3477,105784,2426,78859,2604,25830,1989,404061,6979,34028,3080,97983,5232,87915,4231,70788,4345,24439,2288,19229,1903,29504,2293,26304,2130,13871,1717,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,320110,3955,238194,3604,3827,963,27045,1789,47820,2434,53537,2280,24738,1669,21636,1602,31871,1422,21942,1301,5778,895,81916,3849,9094,1542,24185,2104,18601,2332,11695,1642,4834,963,3551,858,4050,874,4063,861,1843,551,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250456,3518,114586,3453,689,355,14213,1450,22814,2297,22503,1741,12737,1446,10776,1390,15792,1272,11414,1237,3648,765,135870,4564,13563,1523,38564,2184,25679,2079,22797,2034,9880,1317,6499,1222,9670,1330,6941,1236,2277,842,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106042,22495,4994101,23446,60863,4553,477875,9589,905500,13321,1044322,11875,510927,9321,450099,9324,740634,7042,622479,9545,181402,5740,2111941,22368,261613,9105,534018,12105,455487,10988,356722,8675,122717,6050,85828,4227,124663,5342,110463,4570,60430,3669,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3376763,13781,2285179,17167,28951,2923,295296,7111,527208,8571,547779,8392,243145,6117,191574,6197,257841,4607,152478,3805,40907,2902,1091584,16605,137987,6903,323427,8587,253360,9266,177211,6922,61299,4101,39352,3255,51118,3910,33059,2612,14771,1518,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
