GEO_ID,C11002G_001E,C11002G_001M,C11002G_002E,C11002G_002M,C11002G_003E,C11002G_003M,NAME,C11002G_001MA,C11002G_001EA,C11002G_002EA,C11002G_002MA,C11002G_003EA,C11002G_003MA,state
0400000US01,34547,4481,28659,4340,5888,1113,Alabama,null,null,null,null,null,null,01
0400000US02,30475,4460,25511,4069,4964,1208,Alaska,null,null,null,null,null,null,02
0400000US04,89685,8027,75983,8097,13702,2583,Arizona,null,null,null,null,null,null,04
0400000US05,31541,4794,26442,4833,5099,1216,Arkansas,null,null,null,null,null,null,05
0400000US06,712790,23331,578326,22820,134464,8866,California,null,null,null,null,null,null,06
0400000US08,79721,8350,63010,7412,16711,3163,Colorado,null,null,null,null,null,null,08
0400000US09,38830,6447,31903,6079,6927,1441,Connecticut,null,null,null,null,null,null,09
0400000US10,7169,2238,6354,2199,815,486,Delaware,null,null,null,null,null,null,10
0400000US11,7033,2405,4493,2283,2540,851,District of Columbia,null,null,null,null,null,null,11
0400000US12,234149,15472,199494,14743,34655,3524,Florida,null,null,null,null,null,null,12
0400000US13,80938,8231,66609,7166,14329,2982,Georgia,null,null,null,null,null,null,13
0400000US15,198993,12733,178239,12675,20754,3051,Hawaii,null,null,null,null,null,null,15
0400000US16,23053,4328,20343,4241,2710,975,Idaho,null,null,null,null,null,null,16
0400000US17,115141,10295,96878,9799,18263,2650,Illinois,null,null,null,null,null,null,17
0400000US18,52380,5244,42586,4846,9794,1864,Indiana,null,null,null,null,null,null,18
0400000US19,18409,3505,14858,3256,3551,1228,Iowa,null,null,null,null,null,null,19
0400000US20,34740,4357,28352,4174,6388,1638,Kansas,null,null,null,null,null,null,20
0400000US21,32096,5319,26451,4458,5645,2056,Kentucky,null,null,null,null,null,null,21
0400000US22,26977,4056,21829,3760,5148,1293,Louisiana,null,null,null,null,null,null,22
0400000US23,14628,2951,11941,2859,2687,1186,Maine,null,null,null,null,null,null,23
0400000US24,66285,8550,54047,8014,12238,2445,Maryland,null,null,null,null,null,null,24
0400000US25,70173,7914,54171,7166,16002,2887,Massachusetts,null,null,null,null,null,null,25
0400000US26,108564,7088,87159,6995,21405,2779,Michigan,null,null,null,null,null,null,26
0400000US27,39207,4127,30251,3803,8956,1981,Minnesota,null,null,null,null,null,null,27
0400000US28,13479,3014,11814,2988,1665,636,Mississippi,null,null,null,null,null,null,28
0400000US29,72741,6025,61868,5758,10873,1854,Missouri,null,null,null,null,null,null,29
0400000US30,13619,3046,9325,2353,4294,1940,Montana,null,null,null,null,null,null,30
0400000US31,19862,3447,16016,3469,3846,1397,Nebraska,null,null,null,null,null,null,31
0400000US32,48687,7187,40880,6948,7807,2064,Nevada,null,null,null,null,null,null,32
0400000US33,7039,1534,5385,1511,1654,698,New Hampshire,null,null,null,null,null,null,33
0400000US34,89355,8401,74283,8048,15072,3411,New Jersey,null,null,null,null,null,null,34
0400000US35,41470,6122,33401,5737,8069,1817,New Mexico,null,null,null,null,null,null,35
0400000US36,223758,13778,181504,13229,42254,4690,New York,null,null,null,null,null,null,36
0400000US37,69451,7233,56394,6513,13057,2431,North Carolina,null,null,null,null,null,null,37
0400000US38,3690,1181,2497,1072,1193,612,North Dakota,null,null,null,null,null,null,38
0400000US39,103928,8139,85815,7765,18113,2525,Ohio,null,null,null,null,null,null,39
0400000US40,170956,9490,142820,9296,28136,2792,Oklahoma,null,null,null,null,null,null,40
0400000US41,70942,7500,57211,6930,13731,2129,Oregon,null,null,null,null,null,null,41
0400000US42,80455,7848,66914,7453,13541,2176,Pennsylvania,null,null,null,null,null,null,42
0400000US44,13275,3447,9458,3265,3817,1274,Rhode Island,null,null,null,null,null,null,44
0400000US45,31255,4980,24366,4352,6889,1845,South Carolina,null,null,null,null,null,null,45
0400000US46,7096,2311,5029,2274,2067,1000,South Dakota,null,null,null,null,null,null,46
0400000US47,50026,5770,40589,5670,9437,1715,Tennessee,null,null,null,null,null,null,47
0400000US48,277124,16667,236157,15428,40967,4905,Texas,null,null,null,null,null,null,48
0400000US49,21026,3995,17190,3552,3836,1540,Utah,null,null,null,null,null,null,49
0400000US50,5444,994,4251,943,1193,512,Vermont,null,null,null,null,null,null,50
0400000US51,91726,9271,73877,9030,17849,3148,Virginia,null,null,null,null,null,null,51
0400000US53,135847,10325,106057,9271,29790,4956,Washington,null,null,null,null,null,null,53
0400000US54,14510,3100,12330,3033,2180,891,West Virginia,null,null,null,null,null,null,54
0400000US55,43305,5164,37193,5112,6112,1342,Wisconsin,null,null,null,null,null,null,55
0400000US56,7497,2027,5787,1714,1710,899,Wyoming,null,null,null,null,null,null,56
0400000US72,175513,9815,157763,9523,17750,2288,Puerto Rico,null,null,null,null,null,null,72
