GEO_ID,B01001I_001E,B01001I_001M,B01001I_002E,B01001I_002M,B01001I_003E,B01001I_003M,B01001I_004E,B01001I_004M,B01001I_005E,B01001I_005M,B01001I_006E,B01001I_006M,B01001I_007E,B01001I_007M,B01001I_008E,B01001I_008M,B01001I_009E,B01001I_009M,B01001I_010E,B01001I_010M,B01001I_011E,B01001I_011M,B01001I_012E,B01001I_012M,B01001I_013E,B01001I_013M,B01001I_014E,B01001I_014M,B01001I_015E,B01001I_015M,B01001I_016E,B01001I_016M,B01001I_017E,B01001I_017M,B01001I_018E,B01001I_018M,B01001I_019E,B01001I_019M,B01001I_020E,B01001I_020M,B01001I_021E,B01001I_021M,B01001I_022E,B01001I_022M,B01001I_023E,B01001I_023M,B01001I_024E,B01001I_024M,B01001I_025E,B01001I_025M,B01001I_026E,B01001I_026M,B01001I_027E,B01001I_027M,B01001I_028E,B01001I_028M,B01001I_029E,B01001I_029M,B01001I_030E,B01001I_030M,B01001I_031E,B01001I_031M,NAME,B01001I_001EA,B01001I_001MA,B01001I_002MA,B01001I_002EA,B01001I_003MA,B01001I_003EA,B01001I_004MA,B01001I_004EA,B01001I_005EA,B01001I_005MA,B01001I_006EA,B01001I_006MA,B01001I_007MA,B01001I_007EA,B01001I_008MA,B01001I_008EA,B01001I_009MA,B01001I_009EA,B01001I_010EA,B01001I_010MA,B01001I_011EA,B01001I_011MA,B01001I_012MA,B01001I_012EA,B01001I_013MA,B01001I_013EA,B01001I_014MA,B01001I_014EA,B01001I_015MA,B01001I_015EA,B01001I_016EA,B01001I_016MA,B01001I_017EA,B01001I_017MA,B01001I_018MA,B01001I_018EA,B01001I_019MA,B01001I_019EA,B01001I_020MA,B01001I_020EA,B01001I_021EA,B01001I_021MA,B01001I_022EA,B01001I_022MA,B01001I_023EA,B01001I_023MA,B01001I_024MA,B01001I_024EA,B01001I_025MA,B01001I_025EA,B01001I_026MA,B01001I_026EA,B01001I_027EA,B01001I_027MA,B01001I_028EA,B01001I_028MA,B01001I_029EA,B01001I_029MA,B01001I_030MA,B01001I_030EA,B01001I_031MA,B01001I_031EA,state
0400000US01,111432,1722,61200,2117,6266,1307,7590,1141,4546,896,3048,805,2703,787,6805,897,7245,1129,7692,1125,9004,1481,3766,1110,1786,495,452,301,147,137,150,210,50232,2071,9480,1333,4210,981,3197,969,2089,952,1939,740,5758,1203,4718,999,3623,972,8045,1143,3441,983,1847,490,1069,557,409,314,407,312,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37498,854,19913,1200,2360,462,2426,538,1294,618,480,243,1927,758,2205,707,1999,612,999,587,3604,691,1651,315,654,214,232,169,82,98,0,235,17585,976,2513,539,1572,537,1315,359,1111,229,422,443,1593,601,1227,567,1602,415,2569,770,1973,567,1349,384,192,152,147,212,0,235,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1803377,0,935846,1259,109394,766,95286,3732,91130,3691,49984,786,31160,884,79739,934,96459,900,86842,1018,133200,1256,82820,874,44612,673,21602,557,11298,937,2320,837,867531,1259,106910,1003,92457,3533,83742,3572,46410,803,27543,1060,67503,1703,78094,1425,74019,1168,117144,1136,81756,1113,45870,651,26204,630,15202,952,4677,860,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,138283,1791,75752,2189,8704,833,7239,854,6677,837,3629,614,2573,708,7173,1202,9088,937,8424,1091,11846,1415,5511,1020,3448,971,957,443,458,285,25,45,62531,1946,9911,1015,7319,935,6321,830,2758,588,1439,535,6129,1035,5805,653,5471,774,8455,963,5751,1071,1932,719,1021,535,193,198,26,47,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13074155,0,6720061,2237,707560,1450,632938,8958,648030,8871,362660,1220,228682,1597,603036,1809,642344,1378,594015,805,1030141,1990,660079,1710,334958,1480,165312,1292,91811,2229,18495,2003,6354094,2237,676582,1480,616179,9384,609409,9458,345345,1239,217440,1480,525006,1921,522913,1353,519925,1154,924904,1651,653500,1483,366261,868,205249,1206,132590,3250,38791,3198,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,934410,0,490850,1528,53482,855,46469,2478,42667,2502,22834,768,14940,814,42063,1240,52235,1146,48631,1519,72296,1652,47881,1499,26326,878,12654,1027,7292,873,1080,551,443560,1527,51468,991,46522,2443,38713,2432,22251,831,12576,937,34688,1273,40148,1102,40114,1572,61911,1156,44385,1229,25088,612,15687,927,7874,872,2135,591,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,391935,0,197790,946,17842,422,20646,1622,15554,1692,10765,460,6954,559,17504,812,20429,633,18423,839,31784,824,19607,567,10875,448,5241,375,1681,371,485,305,194145,946,17825,606,16968,1562,17844,1539,10122,439,6114,381,14866,602,17452,657,17196,932,31830,985,21793,643,11913,264,6228,540,3199,569,795,501,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,53836,0,28843,907,3579,574,3113,778,2424,625,1690,289,1237,533,2141,583,3074,161,2945,430,4640,532,2239,613,1153,495,439,286,169,191,0,261,24993,906,3644,573,2457,774,2081,683,1054,118,827,466,2215,456,2453,471,2631,506,3970,916,1647,724,938,443,833,457,75,129,168,230,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47775,0,25075,0,1874,0,2186,575,813,575,800,0,932,506,2112,506,3654,0,3083,0,4546,0,2718,2,1441,0,646,244,231,237,39,69,22700,0,1798,0,990,440,1864,440,747,0,1096,532,1786,532,2777,0,2298,0,3545,0,2474,2,1676,0,1085,346,564,347,0,292,District of Columbia,null,*****,*****,null,*****,null,null,null,null,null,null,*****,null,null,null,null,*****,null,null,*****,null,*****,null,null,*****,null,null,null,null,null,null,null,null,*****,*****,null,null,null,null,null,null,*****,null,null,null,null,*****,null,*****,null,*****,null,null,null,null,*****,null,null,null,null,null,null,11
0400000US12,3642989,1791,1842989,3011,154397,1086,125877,4597,133062,4888,77647,1246,53174,1987,148765,2988,164158,2552,160675,1655,316080,3228,220183,2033,135217,1273,87948,1252,52873,1981,12933,1734,1800000,2608,145201,1246,123344,4898,124596,5043,73013,1252,50664,2060,125933,2345,128120,1536,140118,1621,294979,1989,225826,1993,153378,948,112799,1277,73761,2487,28268,2196,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
