GEO_ID,C18005_001E,C18005_001M,C18005_002E,C18005_002M,C18005_003E,C18005_003M,C18005_004E,C18005_004M,C18005_005E,C18005_005M,C18005_006E,C18005_006M,C18005_007E,C18005_007M,C18005_008E,C18005_008M,C18005_009E,C18005_009M,C18005_010E,C18005_010M,C18005_011E,C18005_011M,C18005_012E,C18005_012M,C18005_013E,C18005_013M,C18005_014E,C18005_014M,C18005_015E,C18005_015M,C18005_016E,C18005_016M,C18005_017E,C18005_017M,C18005_018E,C18005_018M,C18005_019E,C18005_019M,C18005_020E,C18005_020M,C18005_021E,C18005_021M,NAME,C18005_001MA,C18005_001EA,C18005_002EA,C18005_002MA,C18005_003EA,C18005_003MA,C18005_004EA,C18005_004MA,C18005_005EA,C18005_005MA,C18005_006MA,C18005_006EA,C18005_007MA,C18005_007EA,C18005_008EA,C18005_008MA,C18005_009EA,C18005_009MA,C18005_010EA,C18005_010MA,C18005_011MA,C18005_011EA,C18005_012MA,C18005_012EA,C18005_013EA,C18005_013MA,C18005_014EA,C18005_014MA,C18005_015EA,C18005_015MA,C18005_016EA,C18005_016MA,C18005_017MA,C18005_017EA,C18005_018MA,C18005_018EA,C18005_019EA,C18005_019MA,C18005_020EA,C18005_020MA,C18005_021EA,C18005_021MA,state
0400000US01,4227433,3183,2028809,4847,358364,3715,29152,2344,329212,3900,1427442,3763,97171,4338,1330271,5898,243003,1681,37714,2504,205289,2807,2198624,3769,333072,3204,12135,1548,320937,3537,1524546,3722,102269,4771,1422277,5456,341006,1418,58648,2804,282358,2904,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,605065,1896,305857,2086,57595,1407,2879,778,54716,1609,228486,2076,10223,1362,218263,2581,19776,618,2053,545,17723,641,299208,1647,51951,1390,2270,856,49681,1585,223958,2030,10857,1775,213101,2855,23299,849,3377,787,19922,965,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5605494,3897,2781906,4003,497229,2896,32438,3255,464791,3818,1936954,4703,80959,4891,1855995,6749,347723,1353,35890,2671,311833,2789,2823588,2265,471787,3040,13769,2059,458018,3192,1923280,3362,81646,4463,1841634,5791,428521,1140,52276,3711,376245,3980,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2561959,2402,1243349,3866,213590,2917,22415,1862,191175,2911,872342,4383,64991,4066,807351,5720,157417,1244,24685,2059,132732,2325,1318610,2596,201611,2673,9322,1390,192289,2900,904820,2917,60208,3804,844612,4940,212179,1719,36996,2316,175183,2580,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,33211121,5156,16434773,7277,2948558,8130,138483,6116,2810075,8709,11846411,8943,469426,9985,11376985,13409,1639804,3067,207895,7015,1431909,7709,16776348,6260,2817252,6773,68092,4527,2749160,8404,11790801,8460,471851,10673,11318950,13369,2168295,3352,343960,8200,1824335,8552,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4336687,2598,2162121,3075,357005,2675,19370,2406,337635,3245,1602294,3307,68397,4310,1533897,5178,202822,1366,19589,1721,183233,2200,2174566,2883,342671,2884,10297,1546,332374,3065,1573638,3457,60423,4129,1513215,4862,258257,1520,30056,2502,228201,2586,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3241592,1339,1565837,2306,262789,2267,15194,1637,247595,2718,1117245,2770,45137,2820,1072108,3791,185803,1263,17328,1619,168475,2048,1675755,1996,252320,2225,6871,1476,245449,2520,1165610,2280,43786,3846,1121824,4525,257825,1301,27803,2025,230022,2430,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,781963,827,376537,1194,63025,916,5134,1393,57891,1644,265929,1329,13239,1963,252690,2525,47583,560,5061,929,42522,1106,405426,1210,60642,1223,2193,798,58449,1271,282343,1325,13017,1703,269326,1957,62441,658,6216,976,56225,1111,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,531139,4160,243614,3505,34089,934,2787,835,31302,1233,183679,3548,8932,1632,174747,3680,25846,519,2360,701,23486,741,287525,1221,32685,876,1596,704,31089,1040,212432,1486,8225,1382,204207,1717,42408,500,4501,1226,37907,1356,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16653760,4594,8077414,7593,1235252,5666,82006,5518,1153246,7494,5550811,9010,260542,8537,5290269,12632,1291351,2908,135835,5512,1155516,6074,8576346,6918,1186390,4852,36593,3274,1149797,6408,5729548,7991,268137,9597,5461411,10874,1660408,2812,206095,7522,1454313,7987,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
