GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001MA,C23002H_001EA,C23002H_002MA,C23002H_002EA,C23002H_003EA,C23002H_003MA,C23002H_004EA,C23002H_004MA,C23002H_005MA,C23002H_005EA,C23002H_006MA,C23002H_006EA,C23002H_007MA,C23002H_007EA,C23002H_008EA,C23002H_008MA,C23002H_009EA,C23002H_009MA,C23002H_010MA,C23002H_010EA,C23002H_011MA,C23002H_011EA,C23002H_012MA,C23002H_012EA,C23002H_013MA,C23002H_013EA,C23002H_014EA,C23002H_014MA,C23002H_015EA,C23002H_015MA,C23002H_016MA,C23002H_016EA,C23002H_017MA,C23002H_017EA,C23002H_018MA,C23002H_018EA,C23002H_019EA,C23002H_019MA,C23002H_020EA,C23002H_020MA,C23002H_021MA,C23002H_021EA,C23002H_022MA,C23002H_022EA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025EA,C23002H_025MA,C23002H_026EA,C23002H_026MA,C23002H_027EA,C23002H_027MA,state
0400000US01,2559781,2960,1236791,1884,1031888,1929,812756,6364,6544,1150,806212,6478,770285,6387,35927,2836,219132,6466,204903,204,39148,2299,38079,2334,1069,417,165755,2343,1322990,2139,1037048,2029,665802,7031,446,274,665356,7003,628383,7340,36973,3263,371246,6954,285942,381,28305,2203,26931,2132,1374,471,257637,2264,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,354538,1222,185460,1011,169628,1059,143136,2577,8533,1439,134603,3136,123763,3605,10840,1695,26492,2423,15832,270,2829,523,2790,521,39,46,13003,602,169078,640,152420,633,111401,2550,1134,589,110267,2603,102930,2857,7337,1378,41019,2572,16658,57,3178,744,3057,737,121,113,13480,738,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3026047,3080,1477700,1984,1182570,2075,956679,7182,11783,2127,944896,7662,907918,7238,36978,3095,225891,7059,295130,514,45768,2718,44109,2686,1659,425,249362,2756,1548347,2288,1182838,2180,818884,9285,1315,595,817569,9287,782107,9294,35462,3509,363954,9573,365509,563,32712,2424,32009,2391,703,353,332797,2395,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1729667,2284,837650,1881,691521,1895,538157,5158,5557,1105,532600,5212,502737,5725,29863,2898,153364,5387,146129,116,26699,1677,25975,1683,724,358,119430,1689,892017,1787,694952,1787,467857,6301,591,321,467266,6305,440881,6583,26385,2539,227095,6136,197065,81,21806,1887,21115,1924,691,344,175259,1895,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13033221,9997,6407736,6512,5324997,6300,4282903,16906,75268,3597,4207635,16543,3980310,16846,227325,7774,1042094,15643,1082739,761,224457,6376,215189,6405,9268,1518,858282,6267,6625485,6364,5187301,6221,3603025,17338,9526,1877,3593499,17315,3400604,18148,192895,7103,1584276,18405,1438184,1090,159167,4669,154076,4587,5091,840,1279017,4841,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2766912,3064,1366107,2127,1190577,2053,1004402,6441,16807,1860,987595,6659,942838,7277,44757,2943,186175,6463,175530,401,40196,2210,39265,2219,931,472,135334,2292,1400805,2450,1172179,2379,869988,7214,2604,716,867384,7265,825545,7729,41839,3456,302191,7331,228626,421,28668,1836,27955,1804,713,326,199958,1798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2135655,4130,1021716,2544,849963,2461,714529,5237,5614,970,708915,5282,673496,5691,35419,3285,135434,5017,171753,361,39441,2039,37364,2016,2077,565,132312,2055,1113939,2288,868919,2219,643472,5482,266,221,643206,5451,610526,5583,32680,2688,225447,5756,245020,288,32058,2067,31064,2083,994,379,212962,2123,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,481074,1101,230659,993,189326,993,155025,2329,1282,478,153743,2402,145840,2508,7903,1562,34301,2276,41333,261,7507,1010,7176,977,331,206,33826,1010,250415,617,195371,616,140337,3428,120,130,140217,3441,132762,3482,7455,1289,55034,3540,55044,20,5414,925,5100,933,314,193,49630,926,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,166859,515,82015,434,72513,434,62114,1904,3161,1762,58953,1996,57611,2005,1342,499,10399,1912,9502,292,4410,638,4320,619,90,152,5092,638,84844,296,73934,296,60330,1641,1028,654,59302,1486,58087,1600,1215,509,13604,1700,10910,292,2716,755,2663,754,53,88,8194,755,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9279626,6967,4491316,5406,3433907,5353,2741724,11633,34476,2896,2707248,11878,2587828,11762,119420,5325,692183,10434,1057409,686,170296,4626,163451,4510,6845,1243,887113,4734,4788310,4506,3439992,4531,2356855,14550,4982,1141,2351873,14645,2236801,14898,115072,6197,1083137,15324,1348318,541,127171,5237,121590,5190,5581,1101,1221147,5348,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
