GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001EA,B21001G_001MA,B21001G_002EA,B21001G_002MA,B21001G_003EA,B21001G_003MA,B21001G_004MA,B21001G_004EA,B21001G_005MA,B21001G_005EA,B21001G_006EA,B21001G_006MA,B21001G_007EA,B21001G_007MA,B21001G_008EA,B21001G_008MA,B21001G_009MA,B21001G_009EA,B21001G_010EA,B21001G_010MA,B21001G_011EA,B21001G_011MA,B21001G_012MA,B21001G_012EA,B21001G_013EA,B21001G_013MA,B21001G_014EA,B21001G_014MA,B21001G_015MA,B21001G_015EA,B21001G_016EA,B21001G_016MA,B21001G_017MA,B21001G_017EA,B21001G_018EA,B21001G_018MA,B21001G_019EA,B21001G_019MA,B21001G_020MA,B21001G_020EA,B21001G_021EA,B21001G_021MA,B21001G_022MA,B21001G_022EA,B21001G_023MA,B21001G_023EA,B21001G_024EA,B21001G_024MA,B21001G_025MA,B21001G_025EA,B21001G_026MA,B21001G_026EA,B21001G_027MA,B21001G_027EA,B21001G_028MA,B21001G_028EA,B21001G_029EA,B21001G_029MA,B21001G_030EA,B21001G_030MA,B21001G_031MA,B21001G_031EA,B21001G_032MA,B21001G_032EA,B21001G_033MA,B21001G_033EA,state
0400000US01,27841,2522,12393,1543,4392,958,279,233,4113,910,5230,1077,777,411,4453,906,1776,534,553,276,1223,482,595,292,123,121,472,262,400,299,366,293,34,58,15448,1674,4110,921,46,67,4064,928,6194,1154,345,354,5849,1107,2558,687,72,112,2486,672,1671,507,111,121,1560,491,915,474,102,164,813,391,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25355,2820,13520,1888,7596,1436,363,400,7233,1431,4258,998,706,434,3552,960,1288,451,712,356,576,308,239,191,239,191,0,235,139,112,100,96,39,50,11835,1589,5270,998,80,100,5190,975,4832,865,67,94,4765,877,1197,653,0,235,1197,653,317,194,0,235,317,194,219,171,0,235,219,171,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,70136,4515,34729,2928,15830,2416,1210,595,14620,2288,12775,1767,2258,762,10517,1670,3077,853,1713,597,1364,559,1626,524,770,373,856,394,1421,531,1146,431,275,237,35407,3335,14604,2170,301,258,14303,2105,13160,1909,597,374,12563,1905,4773,1124,52,88,4721,1124,1651,584,0,291,1651,584,1219,557,132,152,1087,535,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22547,2499,11102,1660,3376,1027,546,509,2830,897,5128,1105,1005,439,4123,949,1887,653,760,339,1127,560,546,267,293,217,253,152,165,121,141,113,24,40,11445,1550,3843,878,0,257,3843,878,2677,720,0,257,2677,720,2567,672,0,257,2567,672,1148,457,124,117,1024,436,1210,508,49,82,1161,516,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,617920,14847,300066,9653,145889,6883,5691,1260,140198,6951,107419,5229,14067,1967,93352,4967,25899,2427,11068,1583,14831,1809,13799,1433,6432,1135,7367,1282,7060,1000,4652,961,2408,588,317854,8995,148367,5932,1532,673,146835,5916,112414,5470,2196,727,110218,5311,30537,2535,848,504,29689,2512,14552,1872,194,190,14358,1858,11984,1482,313,227,11671,1484,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,60348,4385,29132,2777,14412,2068,1214,645,13198,1903,10411,1478,1939,553,8472,1488,2369,729,1026,461,1343,524,1391,540,934,438,457,304,549,277,549,277,0,271,31216,2917,15900,2188,97,164,15803,2182,9956,1434,247,244,9709,1392,3082,819,60,79,3022,814,1275,514,52,91,1223,501,1003,515,0,271,1003,515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,31696,3501,14523,2232,6533,1337,310,205,6223,1352,6152,1362,340,276,5812,1334,1138,429,439,273,699,363,475,266,153,162,322,237,225,204,151,176,74,115,17173,2052,7208,1280,182,201,7026,1268,7359,1372,309,289,7050,1354,1217,477,0,269,1217,477,547,279,0,269,547,279,842,476,0,269,842,476,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5724,1190,1860,633,620,362,0,261,620,362,744,365,148,151,596,307,335,241,188,182,147,147,121,92,23,43,98,86,40,75,40,75,0,261,3864,917,1723,635,35,64,1688,632,1185,408,138,121,1047,373,319,215,48,79,271,201,360,284,0,261,360,284,277,253,0,261,277,253,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,176877,8225,89497,5344,40594,4076,2599,846,37995,4154,30762,2878,5375,1012,25387,2526,8945,1405,3361,826,5584,1208,5582,918,1995,816,3587,799,3614,942,1452,593,2162,769,87380,4967,32452,2969,591,476,31861,2978,32464,2853,1004,568,31460,2784,11570,1450,319,327,11251,1449,5779,1039,0,300,5779,1039,5115,1042,44,67,5071,1042,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
