GEO_ID,B05010_001E,B05010_001M,B05010_002E,B05010_002M,B05010_003E,B05010_003M,B05010_004E,B05010_004M,B05010_005E,B05010_005M,B05010_006E,B05010_006M,B05010_007E,B05010_007M,B05010_008E,B05010_008M,B05010_009E,B05010_009M,B05010_010E,B05010_010M,B05010_011E,B05010_011M,B05010_012E,B05010_012M,B05010_013E,B05010_013M,B05010_014E,B05010_014M,B05010_015E,B05010_015M,B05010_016E,B05010_016M,B05010_017E,B05010_017M,B05010_018E,B05010_018M,B05010_019E,B05010_019M,B05010_020E,B05010_020M,B05010_021E,B05010_021M,B05010_022E,B05010_022M,B05010_023E,B05010_023M,B05010_024E,B05010_024M,B05010_025E,B05010_025M,NAME,B05010_001MA,B05010_001EA,B05010_002MA,B05010_002EA,B05010_003EA,B05010_003MA,B05010_004EA,B05010_004MA,B05010_005MA,B05010_005EA,B05010_006MA,B05010_006EA,B05010_007MA,B05010_007EA,B05010_008MA,B05010_008EA,B05010_009EA,B05010_009MA,B05010_010EA,B05010_010MA,B05010_011MA,B05010_011EA,B05010_012MA,B05010_012EA,B05010_013MA,B05010_013EA,B05010_014EA,B05010_014MA,B05010_015EA,B05010_015MA,B05010_016EA,B05010_016MA,B05010_017MA,B05010_017EA,B05010_018MA,B05010_018EA,B05010_019MA,B05010_019EA,B05010_020EA,B05010_020MA,B05010_021EA,B05010_021MA,B05010_022MA,B05010_022EA,B05010_023MA,B05010_023EA,B05010_024MA,B05010_024EA,B05010_025EA,B05010_025MA,state
0400000US01,1023928,6974,224571,10346,51079,5262,44317,4660,5161,1694,1601,816,173492,10231,167560,10088,5932,1876,236547,10742,132769,9366,121691,9050,7426,1774,3652,1351,103778,7133,100058,7099,3720,1266,562810,12480,459591,12971,437731,12520,10412,1631,11448,2711,103219,5954,101098,5632,2121,859,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,168603,2003,24760,4152,10204,2951,8031,2739,1287,1021,886,722,14556,3406,13898,3366,658,530,31558,3651,19273,3101,16215,2760,1289,769,1769,1053,12285,2410,11348,2273,937,768,112285,4650,89105,4739,79002,4820,3455,967,6648,1808,23180,2374,21351,2216,1829,832,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1520108,7541,286591,14422,120739,10096,44260,6522,60371,6980,16108,3717,165852,10551,110492,9091,55360,8191,394561,13362,244096,12033,115105,8897,103402,8928,25589,4732,150465,9617,111125,9000,39340,5918,838956,16981,660027,15782,513672,14930,75223,6180,71132,6542,178929,9085,154038,8443,24891,3882,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,633058,6161,146395,8920,43295,5676,36125,4925,6145,2028,1025,741,103100,7135,98856,6906,4244,1270,167771,7867,99498,6172,87068,5845,9225,1976,3205,1393,68273,5144,61878,4632,6395,2069,318892,10605,266945,9684,249004,9435,8155,1973,9786,2191,51947,3977,50307,4021,1640,699,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8948851,18890,1564608,34059,672650,22537,108895,10522,502966,18868,60789,7836,891958,26134,478241,18970,413717,19492,2050374,33733,1265810,28740,288899,18168,837064,20932,139847,9718,784564,18728,447563,16835,337001,13406,5333869,35571,4277533,37409,2369627,29610,1251987,24335,655919,18766,1056336,20057,777832,18462,278504,9948,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1103458,5140,165832,8958,59736,6231,25443,4529,28867,4856,5426,2216,106096,8197,80468,7833,25628,4080,219688,10687,137936,9168,76213,6577,47072,6563,14651,3098,81752,5974,70434,5901,11318,2679,717938,11659,596968,12025,512845,11411,38164,4114,45959,5627,120970,7979,109817,7520,11153,2375,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778687,3848,81263,7010,17924,3382,9204,2502,7416,2421,1304,544,63339,5580,58085,5304,5254,1508,109512,7732,52936,5307,31638,3666,14843,3509,6455,2422,56576,5773,47283,5204,9293,2624,587912,9324,492069,9086,393862,9549,53885,4972,44322,4208,95843,5339,82036,4700,13807,2621,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,187413,2970,28158,4869,6221,2265,3851,1871,1388,960,982,705,21937,4213,20729,4210,1208,971,28028,3330,14007,2809,10814,2632,1953,857,1240,965,14021,2480,10818,2234,3203,1395,131227,5284,103220,4961,85319,4516,9059,2562,8842,2304,28007,3178,26166,3272,1841,1308,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,101679,2479,31298,3851,3886,1775,2646,1608,774,617,466,739,27412,3914,25385,3931,2027,1398,20979,3895,4662,1781,2783,1515,1879,1079,0,292,16317,3508,15487,3368,830,902,49402,3764,30255,2898,22697,2741,5177,1699,2381,1130,19147,3075,16649,2947,2498,1135,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3739678,11783,616816,21436,171417,11908,81331,8746,72822,7280,17264,3594,445399,19251,339868,16945,105531,9472,892570,19346,484637,17510,252535,12829,179486,11059,52616,5875,407933,14918,307432,13076,100501,8757,2230292,24149,1781241,24200,1229133,22876,314589,12844,237519,10960,449051,16594,359911,14704,89140,6819,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
