GEO_ID,B19326_001E,B19326_001M,B19326_002E,B19326_002M,B19326_003E,B19326_003M,B19326_004E,B19326_004M,B19326_005E,B19326_005M,B19326_006E,B19326_006M,B19326_007E,B19326_007M,NAME,B19326_001EA,B19326_001MA,B19326_002MA,B19326_002EA,B19326_003MA,B19326_003EA,B19326_004MA,B19326_004EA,B19326_005EA,B19326_005MA,B19326_006EA,B19326_006MA,B19326_007EA,B19326_007MA,state
0400000US01,20354,225,27370,332,40657,418,13267,355,15112,246,28982,540,9508,137,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25793,573,32443,1210,50783,1165,16958,1062,19621,1156,38408,1684,10913,521,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24753,252,30537,254,40657,378,17413,376,19158,313,33786,547,11504,157,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,19413,275,25150,392,36125,570,13488,399,14842,348,27271,462,9414,177,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25621,119,31555,116,45813,209,16729,126,20253,136,38080,394,11845,60,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27177,253,33946,545,46349,532,18009,540,21185,260,36713,456,11969,158,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30421,278,39092,803,54647,1283,18253,573,22923,519,42613,787,13421,304,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27119,536,34592,1164,47420,1029,18701,1374,21630,684,36372,868,11894,398,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,30928,821,34020,2231,50862,1841,14706,1763,28488,1571,49956,1748,12173,746,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,23636,164,29799,268,39790,540,17814,245,18487,182,31598,166,11424,89,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,23973,239,30297,244,41361,258,14033,324,18727,297,32295,276,10518,143,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,27520,576,33004,1003,42770,1395,20218,652,22731,765,34994,1125,12246,458,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21804,335,28222,627,40041,906,16700,638,15494,380,28742,983,9956,303,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,25849,146,32833,324,47684,670,16347,239,20029,187,35927,249,11495,110,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,23551,202,31147,191,43110,672,16269,277,17481,216,31161,236,10732,149,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,23321,251,30079,287,40729,325,15669,363,17795,367,30736,346,10797,168,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,23628,328,30523,320,41547,323,15169,437,17787,369,31265,373,10581,206,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20680,212,26697,334,40505,349,13658,361,15532,287,30293,320,9496,150,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19681,287,27026,384,41476,366,14339,392,14392,262,28000,657,9527,173,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,22075,287,29401,664,41350,520,15646,448,16528,352,31125,569,10631,251,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,31886,238,39551,722,52155,368,18627,552,26006,309,42605,644,13186,282,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,28621,317,37144,377,53321,789,16819,315,21663,231,41005,283,12226,150,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,23809,170,31413,213,48939,705,16974,176,17560,194,34930,337,11086,107,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,27299,155,35210,276,47304,344,17791,382,21154,221,36361,313,12016,150,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,18214,344,24320,636,36532,596,11979,270,13813,340,26550,466,9101,193,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,22443,172,29204,365,41245,272,15370,276,17343,249,30900,277,10500,126,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,20531,372,27166,692,37359,1188,16232,543,15175,469,26639,523,10238,317,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,23513,310,30161,348,39675,764,14804,556,17922,367,30441,414,10573,205,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,27517,364,33064,761,42444,996,20908,597,22433,380,32451,606,12301,227,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,28216,681,36987,699,50130,925,17943,812,21310,469,35610,744,12229,355,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,30529,225,39674,546,54486,752,18342,453,23060,354,41984,309,12762,233,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,20601,330,26256,536,38646,1334,13708,580,15683,392,29863,842,9534,301,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,25775,134,31908,189,46773,285,16054,179,20517,144,37671,392,11475,102,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,22252,158,27805,364,39244,650,14431,310,17377,197,31291,243,10518,128,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,21773,437,30031,775,40014,1240,15432,856,15639,584,27335,759,10049,337,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,23320,165,30652,170,43825,525,16163,183,17477,163,32483,221,10867,87,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,20650,232,26283,439,38002,1025,13547,380,15848,265,28831,482,9909,181,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,23400,327,30439,359,42388,562,17446,521,17973,356,33444,643,11522,169,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,23172,134,30711,161,45075,280,15915,192,17293,140,33271,318,10752,90,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,24862,592,31909,722,46792,1090,15599,1055,19069,708,36401,703,11310,273,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,21589,161,27457,381,38792,918,14338,375,16793,254,29723,508,10206,175,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,22322,415,27461,622,36020,626,13816,781,17306,530,29304,788,10247,282,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,21394,189,27073,248,39350,844,13458,329,16314,225,30234,302,9874,141,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,22222,99,27766,228,40161,221,13356,210,16923,123,31679,178,9665,99,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,22404,267,30953,425,42036,433,15380,354,15110,390,30502,487,9411,237,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
