GEO_ID,B09001_001E,B09001_001M,B09001_002E,B09001_002M,B09001_003E,B09001_003M,B09001_004E,B09001_004M,B09001_005E,B09001_005M,B09001_006E,B09001_006M,B09001_007E,B09001_007M,B09001_008E,B09001_008M,B09001_009E,B09001_009M,B09001_010E,B09001_010M,NAME,B09001_001MA,B09001_001EA,B09001_002MA,B09001_002EA,B09001_003EA,B09001_003MA,B09001_004EA,B09001_004MA,B09001_005MA,B09001_005EA,B09001_006MA,B09001_006EA,B09001_007MA,B09001_007EA,B09001_008MA,B09001_008EA,B09001_009EA,B09001_009MA,B09001_010EA,B09001_010MA,state
0400000US01,1115668,1474,1113297,1562,169697,4688,123942,4456,59256,3504,187110,5855,183466,5073,192527,5609,197299,2135,2371,485,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,179687,671,178467,739,28075,1707,19228,1368,9900,1396,29825,2040,30645,1883,27642,1864,33152,1108,1220,275,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1626855,1277,1623228,1399,285171,5512,193178,5814,92857,4841,265016,7466,259419,6243,262118,6684,265469,1212,3627,744,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693036,1671,688006,2797,114686,3275,79724,3108,42509,2986,112554,3995,112721,4287,109149,4372,116663,2004,5030,2910,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9531046,2570,9510563,3015,1592074,13133,1079576,13314,495677,10758,1507587,17408,1580802,15292,1626357,17534,1628490,2539,20483,1249,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1169643,1698,1165615,1711,195785,4445,142965,4377,67561,3704,191255,5388,188275,5100,188249,5989,191525,1462,4028,479,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,817866,672,815649,804,117031,3004,84855,3245,45941,3215,132442,4606,138393,3668,146499,4594,150488,720,2217,362,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203736,651,202841,670,35521,2015,21570,1938,10866,1290,34474,2141,30768,2225,34708,2774,34934,600,895,203,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114830,221,113954,426,22697,1575,12208,1626,5968,1551,17770,2220,16629,1759,19991,2016,18691,544,876,367,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4018644,2193,4007118,2331,663856,8791,453191,9106,211203,7725,630132,12461,656468,11956,682660,12022,709608,2778,11526,1028,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2452225,2678,2438536,2578,415739,6985,281590,7265,132781,6300,404087,8883,393287,8387,405088,8918,405964,3162,13689,1907,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,297233,687,296983,746,50951,2185,36228,2198,15175,2020,46879,2536,48946,2441,47688,2853,51116,449,250,315,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,394315,1157,392531,1232,67649,1987,44717,2195,20867,1644,66285,3269,61920,2893,64139,3384,66954,1105,1784,575,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
