GEO_ID,B14004_001E,B14004_001M,B14004_002E,B14004_002M,B14004_003E,B14004_003M,B14004_004E,B14004_004M,B14004_005E,B14004_005M,B14004_006E,B14004_006M,B14004_007E,B14004_007M,B14004_008E,B14004_008M,B14004_009E,B14004_009M,B14004_010E,B14004_010M,B14004_011E,B14004_011M,B14004_012E,B14004_012M,B14004_013E,B14004_013M,B14004_014E,B14004_014M,B14004_015E,B14004_015M,B14004_016E,B14004_016M,B14004_017E,B14004_017M,B14004_018E,B14004_018M,B14004_019E,B14004_019M,B14004_020E,B14004_020M,B14004_021E,B14004_021M,B14004_022E,B14004_022M,B14004_023E,B14004_023M,B14004_024E,B14004_024M,B14004_025E,B14004_025M,B14004_026E,B14004_026M,B14004_027E,B14004_027M,B14004_028E,B14004_028M,B14004_029E,B14004_029M,B14004_030E,B14004_030M,B14004_031E,B14004_031M,B14004_032E,B14004_032M,B14004_033E,B14004_033M,NAME,B14004_001MA,B14004_001EA,B14004_002EA,B14004_002MA,B14004_003EA,B14004_003MA,B14004_004EA,B14004_004MA,B14004_005MA,B14004_005EA,B14004_006MA,B14004_006EA,B14004_007EA,B14004_007MA,B14004_008EA,B14004_008MA,B14004_009EA,B14004_009MA,B14004_010MA,B14004_010EA,B14004_011MA,B14004_011EA,B14004_012MA,B14004_012EA,B14004_013EA,B14004_013MA,B14004_014EA,B14004_014MA,B14004_015MA,B14004_015EA,B14004_016MA,B14004_016EA,B14004_017MA,B14004_017EA,B14004_018MA,B14004_018EA,B14004_019EA,B14004_019MA,B14004_020EA,B14004_020MA,B14004_021EA,B14004_021MA,B14004_022MA,B14004_022EA,B14004_023MA,B14004_023EA,B14004_024EA,B14004_024MA,B14004_025EA,B14004_025MA,B14004_026EA,B14004_026MA,B14004_027MA,B14004_027EA,B14004_028MA,B14004_028EA,B14004_029MA,B14004_029EA,B14004_030EA,B14004_030MA,B14004_031EA,B14004_031MA,B14004_032MA,B14004_032EA,B14004_033MA,B14004_033EA,state
0400000US01,3682816,2732,1758307,3104,100767,4447,895,528,65328,3348,20939,2517,13605,1940,22054,2723,53,87,13200,1912,4578,1343,4223,1026,1635486,5502,101192,1985,156242,4122,261221,3940,1116831,3504,1924509,3452,139266,5115,819,520,80476,3860,31639,2432,26332,2537,22528,2188,0,265,12591,1651,4137,1209,5800,1181,1762715,6132,96495,2516,132647,4051,259942,4127,1273631,4196,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,524378,1179,268702,1496,18445,2350,173,266,9756,1761,3869,1056,4647,887,3060,884,0,235,1396,742,951,529,713,448,247197,2568,16002,868,30631,2183,43722,1738,156842,1624,255676,1636,21017,2498,74,103,8745,1393,5455,1307,6743,1273,3066,938,23,38,844,381,638,511,1561,681,231593,2761,17740,1062,23364,1408,39361,1771,151128,1894,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4806252,1626,2391494,1991,148262,7054,891,476,78720,5396,42149,3548,26502,2359,32607,3318,411,525,11607,2315,10370,1607,10219,1662,2210625,8789,136700,1610,218135,6323,416830,4695,1438960,4225,2414758,1720,186511,7665,1713,571,89931,5726,46346,3932,48521,3286,36661,3475,69,115,11655,1986,11670,2609,13267,1884,2191586,7909,127005,1287,176040,5689,372166,5471,1516375,3602,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2237108,2323,1083858,2899,58202,3790,680,372,37662,3043,12193,1790,7667,1274,10795,1584,187,184,6691,976,2453,1094,1464,654,1014861,4922,61273,2013,94891,3410,167603,3274,691094,3371,1153250,2475,78004,4145,222,176,43525,2678,18555,2331,15702,2012,14688,1744,0,257,7975,1036,3638,1073,3075,907,1060558,5178,56910,1811,79767,2728,161980,3112,761901,3043,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,28569779,3305,14185501,4738,988666,13240,6862,1229,603946,10737,213609,7918,164249,6607,250319,9785,800,411,111266,6814,72700,5578,65553,3653,12946516,15462,834763,2977,1261726,11478,2435057,8598,8414970,9028,14384278,4184,1233944,18013,9957,1681,681966,12200,274249,8264,267772,7215,312771,9832,995,419,144851,5753,79596,4666,87329,4019,12837563,21457,789899,2759,989574,12726,2157049,9505,8901041,10298,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3778016,2360,1893890,2244,122459,5827,296,320,75863,4101,28711,3294,17589,2069,30034,2410,31,52,10455,1892,9229,1507,10319,1592,1741397,6349,98207,1410,158765,4206,334531,4272,1149894,3854,1884126,2320,143202,5280,1196,529,76870,3797,34281,2943,30855,2483,36581,3092,0,271,13172,1913,11904,1808,11505,1552,1704343,6341,94552,1357,130109,3823,292845,4841,1186837,3861,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2839111,909,1365379,1595,61957,3383,413,267,39182,2644,11909,1878,10453,1402,44533,2927,233,199,27714,2276,8014,1273,8572,1414,1258889,4556,77415,808,97025,3371,185037,2483,899412,2269,1473732,1492,83830,3697,238,177,46542,2801,19207,2295,17843,1853,59097,3537,410,254,38020,2702,10239,1641,10428,1600,1330805,5125,73459,774,70949,3487,173524,2785,1012873,2779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,685569,860,327645,760,21579,2104,336,319,14089,1571,3870,950,3284,799,5394,1106,0,261,2640,861,1690,624,1064,586,300672,2331,17808,673,24749,1608,47770,1432,210345,1329,357924,679,27195,2377,520,267,17650,2038,4294,967,4731,955,8152,1238,36,57,3805,1034,2502,783,1809,731,322577,2558,17129,477,20495,1945,49561,1513,235392,1470,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,486138,487,224285,635,8740,1493,94,109,4175,989,3085,928,1386,470,14009,2184,199,247,7475,2007,3855,974,2480,735,201536,2712,9430,381,20200,2335,42955,1544,128951,974,261853,537,13881,1810,237,289,6588,1139,4312,1047,2744,565,21804,2765,249,300,12350,2136,5426,1103,3779,1084,226168,3137,9229,452,20282,2085,44885,1493,151772,1296,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14789121,3369,7188654,6147,347828,8421,2614,884,206319,6069,80588,4787,58307,4057,118776,6610,698,465,52620,3992,31875,3410,33583,3198,6722050,12037,365530,2708,573432,7792,1036272,8160,4746816,7737,7600467,5678,453708,10697,4483,1077,242531,7340,106399,5670,100295,5038,149825,6498,688,376,66200,4112,35933,3607,47004,3317,6996934,14504,343863,3131,469705,9129,956068,8767,5227298,7953,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7325075,3740,3571721,4490,179634,6700,833,376,113209,5568,37215,3298,28377,2240,59497,4247,587,304,30554,3012,15704,2116,12652,1956,3332590,7477,211216,3065,351029,6861,620896,7682,2149449,6198,3753354,3746,268587,7211,2395,847,145515,5432,62952,4001,57725,3924,84419,4656,92,156,39610,2972,21037,2716,23680,2289,3400348,9252,198236,2931,263549,6649,580863,6677,2357700,6424,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039527,595,516879,1104,27174,2339,252,180,14991,1964,7198,1318,4733,899,8181,1508,45,79,3162,984,2321,722,2653,842,481524,2844,26885,659,51517,2305,80949,2053,322173,1471,522648,1052,31508,2403,484,342,16398,2010,8137,1564,6489,1258,14044,2135,60,98,5981,1154,4106,1144,3897,978,477096,2983,23536,686,33197,2266,72918,2073,347445,1878,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1140486,1327,570069,1670,36964,2947,301,276,19539,1992,10513,1646,6611,1138,9110,1308,250,222,4942,806,2627,916,1291,429,523995,3345,34316,959,55624,2209,90266,2348,343789,2320,570417,1619,38662,2780,263,237,19641,1817,8667,1354,10091,1387,10225,1273,0,253,6587,820,1919,685,1719,561,521530,3387,33206,831,46614,2175,85912,1963,355798,2377,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
