GEO_ID,C18021_001E,C18021_001M,C18021_002E,C18021_002M,C18021_003E,C18021_003M,C18021_004E,C18021_004M,C18021_005E,C18021_005M,C18021_006E,C18021_006M,C18021_007E,C18021_007M,C18021_008E,C18021_008M,C18021_009E,C18021_009M,C18021_010E,C18021_010M,C18021_011E,C18021_011M,C18021_012E,C18021_012M,C18021_013E,C18021_013M,C18021_014E,C18021_014M,C18021_015E,C18021_015M,NAME,C18021_001MA,C18021_001EA,C18021_002MA,C18021_002EA,C18021_003MA,C18021_003EA,C18021_004EA,C18021_004MA,C18021_005EA,C18021_005MA,C18021_006EA,C18021_006MA,C18021_007MA,C18021_007EA,C18021_008MA,C18021_008EA,C18021_009EA,C18021_009MA,C18021_010EA,C18021_010MA,C18021_011EA,C18021_011MA,C18021_012EA,C18021_012MA,C18021_013MA,C18021_013EA,C18021_014EA,C18021_014MA,C18021_015EA,C18021_015MA,state
0400000US20,1756190,3397,46337,3206,26574,2262,15261,1670,11313,1535,19763,2152,10238,1578,9525,1442,1709853,4512,849601,3834,690772,5919,158829,4590,860252,3388,614401,6661,245851,6056,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,2736210,4684,125720,4906,70343,3391,27263,2810,43080,3186,55377,3712,18820,2030,36557,3083,2610490,6599,1272303,5547,931533,9609,340770,9521,1338187,5168,830559,9280,507628,8684,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2732075,5364,109555,5554,63998,4144,28719,3178,35279,2668,45557,3659,16956,2127,28601,3132,2622520,7605,1250615,5395,908529,8104,342086,7404,1371905,5264,830338,9617,541567,9446,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,874798,2300,33372,2810,20068,2051,10595,1488,9473,1335,13304,1789,6568,1268,6736,1278,841426,3614,409367,2668,320933,4053,88434,3308,432059,2199,299447,4848,132612,4064,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3701954,4420,73297,4169,40894,3211,22259,2208,18635,2226,32403,2804,14452,1823,17951,2198,3628657,6006,1733972,4975,1382018,9326,351954,9042,1894685,4041,1345427,9432,549258,9479,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4268589,3903,93256,5953,53331,4510,27637,3064,25694,2923,39925,3289,18461,2203,21464,2129,4175333,6802,2032112,5575,1586926,10522,445186,9973,2143221,4677,1512338,10586,630883,10157,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6583481,5392,184644,6755,105138,4394,49191,3177,55947,3338,79506,3913,29851,2379,49655,3105,6398837,8975,3149268,6101,2276017,12419,873251,13101,3249569,5752,2079909,12087,1169660,12279,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3404922,3624,76993,3616,49704,3077,30957,2243,18747,2414,27289,1947,13174,1308,14115,1403,3327929,5384,1660965,4321,1350360,7502,310605,6895,1666964,3589,1245104,8930,421860,9057,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1833556,4030,91712,5293,51146,3421,22947,2707,28199,2720,40566,3384,12587,1812,27979,3183,1741844,6020,829067,5806,580822,7681,248245,8375,912777,4103,543117,7882,369660,7708,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3744132,4536,121246,4896,72827,3468,33589,2632,39238,3063,48419,3218,17079,1832,31340,2723,3622886,6843,1763047,5563,1369946,9557,393101,9168,1859839,4767,1268758,10400,591081,8707,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,614663,2208,25500,2587,17144,1967,11069,1376,6075,1254,8356,1564,3925,866,4431,1310,589163,3211,290606,2466,222978,3596,67628,3264,298557,2317,209572,3841,88985,3859,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1127084,2273,29306,2205,18873,1777,12253,1387,6620,1099,10433,1324,5917,1089,4516,908,1097778,3037,548641,2776,455558,4449,93083,3650,549137,2113,408995,4806,140142,5103,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1630778,2730,37030,3116,21306,2252,12352,1688,8954,1701,15724,1945,6583,1336,9141,1409,1593748,4326,809589,3843,642902,6300,166687,5772,784159,3564,516110,6979,268049,7469,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,887758,2003,23126,2387,13737,1734,8954,1392,4783,1045,9389,1630,4881,1027,4508,1223,864632,2976,426565,2547,349232,4527,77333,4036,438067,2512,315769,3829,122298,3667,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
