GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001EA,C17016_001MA,C17016_002EA,C17016_002MA,C17016_003MA,C17016_003EA,C17016_004EA,C17016_004MA,C17016_005EA,C17016_005MA,C17016_006EA,C17016_006MA,C17016_007EA,C17016_007MA,C17016_008EA,C17016_008MA,C17016_009EA,C17016_009MA,state
0400000US01,1222858,13632,153968,6153,22499,2247,59865,3943,71604,4139,1068890,11900,598661,10671,200553,5208,269676,6738,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,12892,1711,1243,460,6512,1292,5137,1326,145047,3941,75810,3095,46400,2779,22837,1834,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,148379,6609,31807,3246,53131,4274,63441,4165,1327890,11552,715185,9995,286625,7532,326080,8387,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,98994,5334,17702,2418,41755,4200,39537,2784,659201,9520,360223,7195,138290,5201,160688,4582,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,808722,15542,167821,7910,301134,8339,339767,8717,7495071,27100,4095658,27674,1841878,19598,1557535,15234,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,100852,5718,18676,2513,42616,3939,39560,3492,1095371,10184,629566,10154,274905,6711,190900,5033,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,52378,3369,5008,1196,21564,1982,25806,2652,841970,8324,470082,8400,206566,6006,165322,5246,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,16254,2392,3424,1261,7511,1635,5319,1162,197311,4638,110315,3783,39693,2739,47303,2898,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,17690,2103,2028,733,5358,1196,10304,1626,91069,3784,53510,3069,16888,1894,20671,1807,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,417106,11793,75449,4841,149872,7368,191785,7574,4215868,21877,2195185,20464,879718,13260,1140965,12091,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2296694,17833,254447,8999,47089,4616,96946,5791,110412,5778,2042247,16550,1225364,15633,429960,11097,386923,9494,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301102,5471,21376,2564,3103,1020,6812,1316,11461,1936,279726,5264,150199,4585,58276,3664,71251,2875,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
