GEO_ID,B07004H_001E,B07004H_001M,B07004H_002E,B07004H_002M,B07004H_003E,B07004H_003M,B07004H_004E,B07004H_004M,B07004H_005E,B07004H_005M,B07004H_006E,B07004H_006M,NAME,B07004H_001EA,B07004H_001MA,B07004H_002EA,B07004H_002MA,B07004H_003MA,B07004H_003EA,B07004H_004MA,B07004H_004EA,B07004H_005MA,B07004H_005EA,B07004H_006MA,B07004H_006EA,state
0400000US01,3136376,2756,2659602,14731,274955,12438,103913,6829,91110,7481,6796,1763,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,438918,1100,346860,6270,47681,4758,13173,2671,28383,4063,2821,1083,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3629127,4321,2932092,18969,419821,15334,71169,7080,191321,11373,14724,2270,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2119959,2142,1744187,13751,202921,11560,93424,6824,75803,6190,3624,1209,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15452728,12803,13059158,37017,1480362,29817,522118,14705,318228,12209,72862,6147,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3361576,3555,2718748,17671,326179,13210,154964,9856,147151,7780,14534,3003,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2586354,4383,2295039,12304,182375,10418,42725,4282,58277,5343,7938,2115,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,580414,1583,510997,6081,43265,5444,4410,1462,20941,3177,801,465,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,181625,878,132843,3779,17234,2432,0,292,27564,2703,3984,1189,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10930667,9707,9118271,33762,975221,27815,379824,15044,408607,17317,48744,5217,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5434221,5967,4537205,24058,401299,17588,280643,12587,194618,10145,20456,3847,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,312909,1045,237365,5211,31969,4381,570,388,36912,4339,6093,2031,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1246591,1773,983993,11213,139685,8520,52591,5112,63752,6516,6570,1892,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8267327,5155,7150336,27626,663527,20051,265999,13651,163537,7802,23928,3563,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5227961,5113,4420008,22104,487432,17177,193685,8836,115701,7626,11135,2224,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2682302,2314,2250757,14391,254592,10674,103818,5774,67763,6710,5372,1236,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2210392,2657,1819709,14437,217785,11320,89916,6520,74518,6389,8464,1700,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3670009,3123,3090375,16827,334215,15875,142199,8538,95448,7979,7772,1649,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2655675,2726,2215782,18365,232416,12161,145459,13126,57593,5102,4425,1035,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1245560,3071,1069967,10221,106642,8342,34034,2994,32755,3324,2162,723,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3237317,2937,2836231,14472,192574,10669,97365,6805,95813,5605,15334,2670,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5051317,6762,4437926,20008,351461,15418,138841,9103,102396,7291,20693,3168,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7751855,4225,6757235,21816,608873,19674,270374,8992,96641,6663,18732,4198,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4383715,3600,3821158,13517,292895,11364,181171,7346,78953,6325,9538,1806,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1703549,2091,1428697,12693,154618,8289,70131,7056,47159,5474,2944,1115,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4765572,4023,3980484,20490,435750,16458,214798,10544,123916,8863,10624,2742,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,827374,1707,686503,6651,76240,5960,31623,3599,30700,3370,2308,926,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1480708,1995,1227894,10768,147997,8670,60145,4752,41202,4808,3470,789,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1446415,2057,1150708,12629,188223,10966,19212,4006,82629,6279,5643,1378,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1217420,1996,1052319,10920,92487,8317,30559,3514,38377,4755,3678,1326,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5376741,5674,4898235,17642,244605,12826,131694,9182,83054,6363,19153,2797,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,820770,2556,670137,8510,78921,7256,23703,3490,43809,4481,4200,1390,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,11502136,7611,10237623,24680,746446,20100,286511,10181,181819,8859,49737,5116,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5931633,5059,5014020,23624,474208,20437,202989,10392,223553,10782,16863,2431,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,569092,829,473034,4970,52503,4230,19453,2179,22017,2894,2085,921,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9395621,5629,8054930,28526,863507,23743,314943,12513,146082,8200,16159,2072,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2550348,2384,2100130,16048,258364,11091,109485,7882,75078,6060,7291,1492,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2957232,3277,2380156,17262,336353,14441,116413,7672,116243,7969,8067,1528,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10099330,4905,8926970,21430,700693,16285,266492,9585,183376,7867,21799,3820,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,835678,2368,735882,7784,59721,6433,12744,1960,24444,2828,2887,1044,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2789969,2865,2350101,15562,233192,10972,85809,6056,112811,8238,8056,1869,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
