GEO_ID,B14001G_001E,B14001G_001M,B14001G_002E,B14001G_002M,B14001G_003E,B14001G_003M,B14001G_004E,B14001G_004M,B14001G_005E,B14001G_005M,B14001G_006E,B14001G_006M,B14001G_007E,B14001G_007M,NAME,B14001G_001EA,B14001G_001MA,B14001G_002EA,B14001G_002MA,B14001G_003MA,B14001G_003EA,B14001G_004MA,B14001G_004EA,B14001G_005MA,B14001G_005EA,B14001G_006MA,B14001G_006EA,B14001G_007MA,B14001G_007EA,state
0400000US01,43536,3682,17341,2384,2744,836,7728,1539,3214,802,3655,893,26195,2391,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49413,4437,24736,2955,3386,950,11723,1624,6600,1419,3027,1014,24677,2588,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,133977,9785,64756,6897,8770,1567,31866,4503,14531,2012,9589,1848,69221,5235,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40069,3886,16657,2566,3376,1051,8843,2011,2798,879,1640,531,23412,2616,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1093788,23786,555450,16514,76775,5348,240541,9200,123824,6203,114310,7153,538338,13140,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,111276,6470,55307,4462,8089,1690,27547,2747,10235,1520,9436,1895,55969,4109,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,57151,5426,29715,3645,3739,1005,15136,2749,5987,1073,4853,1084,27436,3376,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9842,1828,4520,1263,486,332,2178,697,650,449,1206,595,5322,1055,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7971,2016,3439,1277,687,571,806,558,688,503,1258,551,4532,1139,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,284731,12603,120085,6909,20049,2582,54743,4498,24413,2459,20880,2348,164646,8116,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,103155,7910,52374,4955,9735,1822,24066,3150,9705,1502,8868,1663,50781,4482,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254903,11222,102172,5857,16210,2517,47052,3608,24039,2431,14871,1984,152731,7587,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28046,2087,13443,1713,2021,588,6122,1142,3188,827,2112,700,14603,1530,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,176857,9574,88289,6210,14495,2135,43724,4524,15797,2118,14273,1793,88568,5815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,79795,4966,39944,3658,6059,1389,17391,2112,8488,1485,8006,1722,39851,3277,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36612,3233,20191,2355,3870,1033,10852,1603,2905,850,2564,642,16421,2200,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,61627,4085,30518,3128,4360,830,15239,1969,5925,1073,4994,1114,31109,2521,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,43893,4655,22283,2883,3695,922,11797,2055,3802,1129,2989,809,21610,2869,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37798,3695,16708,2591,3860,1095,7073,1521,3790,985,1985,658,21090,2337,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17962,2296,6670,1258,775,362,3084,789,1431,642,1380,497,11292,1573,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,94032,6167,46032,4346,7437,1553,22085,2723,8274,1319,8236,1663,48000,3905,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,97210,6565,46657,3784,7405,1548,20125,2487,8933,1376,10194,1634,50553,4405,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,162702,7001,80962,4854,11400,1124,38762,3074,16247,1920,14553,1920,81740,4136,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,74389,5036,41888,3660,6884,1075,19597,2500,7810,1326,7597,1465,32501,2752,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,18857,3034,8576,2023,992,708,4069,1331,1951,888,1564,673,10281,1721,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,91268,5713,40628,3752,6124,1068,20027,2675,8085,1623,6392,1191,50640,3858,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,17708,2601,7529,1636,676,471,3677,1063,1597,614,1579,644,10179,1644,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,23235,2703,11907,2116,1672,569,4983,1206,2969,963,2283,826,11328,1569,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,70357,6657,34928,4005,5463,1282,17622,2842,7877,1556,3966,1096,35429,3875,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,10100,1364,4809,1141,662,401,2127,837,1271,545,749,363,5291,853,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,116135,7395,51555,4357,10348,2022,23543,3218,8889,1491,8775,1587,64580,5541,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,56213,5366,25887,2993,4543,1258,10740,2044,5723,1304,4881,1150,30326,3609,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,302446,12981,131804,6944,21801,2245,58114,4702,25242,2456,26647,2887,170642,8638,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,107953,6316,51563,4614,7199,1622,23695,2952,10600,1799,10069,1804,56390,3901,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,7272,1473,4061,1163,460,316,2038,851,483,267,1080,522,3211,821,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,154362,7432,79127,5312,12987,2059,38460,3376,15848,2329,11832,1794,75235,4663,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,200715,8382,76713,5130,12599,1757,35861,3407,14690,1522,13563,2081,124002,5156,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,101168,6222,41042,3736,4947,1095,18583,2149,9972,1852,7540,1496,60126,4170,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,131463,7441,69676,4931,10088,1644,36048,3465,13128,1868,10412,1576,61787,4720,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
