GEO_ID,C14005_001E,C14005_001M,C14005_002E,C14005_002M,C14005_003E,C14005_003M,C14005_004E,C14005_004M,C14005_005E,C14005_005M,C14005_006E,C14005_006M,C14005_007E,C14005_007M,C14005_008E,C14005_008M,C14005_009E,C14005_009M,C14005_010E,C14005_010M,C14005_011E,C14005_011M,C14005_012E,C14005_012M,C14005_013E,C14005_013M,C14005_014E,C14005_014M,C14005_015E,C14005_015M,C14005_016E,C14005_016M,C14005_017E,C14005_017M,C14005_018E,C14005_018M,C14005_019E,C14005_019M,NAME,C14005_001MA,C14005_001EA,C14005_002EA,C14005_002MA,C14005_003MA,C14005_003EA,C14005_004MA,C14005_004EA,C14005_005MA,C14005_005EA,C14005_006MA,C14005_006EA,C14005_007EA,C14005_007MA,C14005_008MA,C14005_008EA,C14005_009MA,C14005_009EA,C14005_010MA,C14005_010EA,C14005_011MA,C14005_011EA,C14005_012MA,C14005_012EA,C14005_013MA,C14005_013EA,C14005_014MA,C14005_014EA,C14005_015EA,C14005_015MA,C14005_016MA,C14005_016EA,C14005_017MA,C14005_017EA,C14005_018EA,C14005_018MA,C14005_019MA,C14005_019EA,state
0400000US01,270890,5563,139647,3410,109795,3225,29852,2983,15341,1999,12059,1990,3282,1349,14511,2214,9091,1903,5420,1196,131243,4194,107113,4114,24130,2479,14692,1982,9869,1534,4823,1346,9438,1486,4245,1054,5193,1177,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46730,2116,24183,1792,18617,1719,5566,1204,3711,963,3183,903,528,282,1855,917,1410,904,445,234,22547,1756,19058,1927,3489,925,2090,710,1809,708,281,166,1399,533,682,368,717,401,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,343556,4412,178372,3299,137076,3956,41296,2820,23055,2234,17984,1945,5071,1197,18241,2445,12288,2101,5953,1315,165184,3681,133046,4498,32138,2440,19200,2336,13128,1817,6072,1322,12938,1883,6054,1242,6884,1353,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,161464,4621,84163,3182,67737,2760,16426,2205,11130,1835,9943,1866,1187,464,5296,1212,3501,1045,1795,638,77301,3337,63126,3169,14175,1681,9571,1361,6888,1262,2683,961,4604,1055,2311,778,2293,736,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2183461,11755,1124671,8356,911431,10656,213240,6643,129417,4904,101998,4827,27419,2650,83823,5181,51514,4514,32309,2962,1058790,8313,903699,10447,155091,6390,98100,4870,67412,3829,30688,2842,56991,4374,25033,3109,31958,2773,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,256659,4312,132626,3179,104423,3624,28203,2467,14056,1968,12353,1968,1703,677,14147,1631,8819,1255,5328,1185,124033,3101,105228,3310,18805,2148,9849,1517,7786,1440,2063,639,8956,1605,4935,1330,4021,991,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,197895,3495,100952,2494,88725,2755,12227,1216,7988,1271,6285,1157,1703,610,4239,853,1801,669,2438,798,96943,2121,87058,2495,9885,1616,6474,1315,5668,1219,806,472,3411,1078,1999,825,1412,598,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,48474,1492,24051,1122,19347,1332,4704,1012,1986,681,1741,607,245,235,2718,899,1638,687,1080,662,24423,1327,21195,1528,3228,870,2586,841,2044,732,542,419,642,456,642,456,0,261,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32873,2008,15898,1300,12469,1549,3429,1277,2567,1217,2196,1070,371,326,862,389,201,195,661,363,16975,1693,14412,1882,2563,749,1029,466,754,416,275,232,1534,557,496,254,1038,508,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,932643,8845,483262,6174,380874,7106,102388,4757,59262,4048,46893,3670,12369,1948,43126,3345,25279,2578,17847,1989,449381,5801,369058,6502,80323,5131,49573,4212,36583,3853,12990,2308,30750,3295,12991,2144,17759,2793,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
